journal_queue_ops,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
191,19,4,1,32,24,3
192,0,22,26,9,8,5
193,0,19,0,21,8,5
194,6,0,14,15,20,13
195,14,13,24,31,20,0
196,25,15,26,23,23,13
197,5,0,7,7,10,10
198,5,3,6,5,7,11
199,10,2,3,18,25,7
200,0,8,0,30,5,12
201,5,6,22,33,14,7
202,25,18,21,0,0,0
203,1,5,0,0,4,2
204,24,13,11,26,6,1
205,26,13,9,10,16,6
206,0,11,25,2,8,0
207,7,22,3,15,10,1
208,17,25,12,22,23,7
209,12,8,11,26,30,8
210,7,0,0,7,27,8
211,0,3,24,22,5,0
212,7,19,18,10,14,7
213,16,19,17,17,2,1
214,18,21,18,1,15,2
215,3,19,27,2,0,2
216,19,6,0,0,6,0
217,20,12,7,18,29,5
218,10,4,8,16,21,10
219,7,0,2,21,4,12
220,21,8,0,0,9,1
221,3,11,19,0,0,15
222,6,14,3,26,23,2
223,16,5,9,13,18,11
224,30,4,0,13,14,8
225,16,15,16,3,3,2
226,9,19,8,17,21,13
227,3,7,11,15,4,0
228,17,19,6,19,3,1
229,20,4,16,0,26,0
230,4,0,1,17,20,13
231,8,10,13,11,14,14
232,20,0,0,11,11,7
233,15,16,10,15,5,2
234,13,0,0,15,18,10
235,16,23,23,3,1,0
236,0,19,0,12,3,3
237,10,2,0,3,0,19
238,17,19,17,7,12,11
239,2,6,10,25,28,1
240,2,0,0,3,32,11
241,0,8,26,0,0,0
242,19,18,12,5,0,7
243,4,15,24,24,17,15
244,3,1,2,5,9,17
245,24,15,11,5,4,9
246,19,8,20,6,24,1
247,10,7,0,3,32,7
248,26,15,7,8,5,1
249,5,15,23,0,2,3
250,19,9,7,30,2,10
251,3,17,21,14,21,2
252,3,3,29,8,4,6
253,12,22,11,6,0,3
254,11,17,4,3,28,11
255,3,14,19,2,16,3
256,12,6,9,30,3,9
257,22,3,0,7,0,3
258,19,11,21,31,18,10
259,35,0,0,20,0,8
260,10,23,13,21,16,5
261,5,0,0,10,7,6
262,11,0,13,12,5,3
263,24,3,4,19,13,5
264,3,2,3,23,25,2
265,0,0,10,24,13,6
266,24,18,12,0,3,6
267,5,16,14,18,0,5
