op_in_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
103,95453184,95559680,144269312,94204035,62812160,15765504
104,95457280,95559680,144355328,95023235,63299584,15953920
105,95776768,95768576,144384000,95404163,63647744,16003072
106,96964608,97001472,146255872,95428739,63647744,16019456
107,97329152,97542144,146939904,96149635,64053248,16056320
108,97386496,97542144,147066880,96784515,64548864,16261120
109,97415168,97542144,147177472,97194115,64897024,16330752
110,98902016,98840576,148905984,97423491,64995328,16359424
111,99344384,99549184,149786624,97460355,64995328,16359424
112,99438592,99549184,149909504,98402435,65675264,16470016
113,99471360,99573760,149917696,98984067,66113536,16592896
114,100786176,101019648,151838720,99401859,66498560,16691200
115,101040128,101240832,152371200,99401859,66498560,16711680
116,101142528,101330944,152592384,99512451,66519040,16715776
117,101179392,101371904,152600576,100728963,67330048,16883712
118,102576128,102453248,154644480,101208195,67506176,16953344
119,102916096,102842368,155090944,101380227,67588096,16986112
120,103157760,103161856,155615232,101388419,67637248,16990208
121,103170048,103161856,155615232,102654083,68313088,17104896
122,103796736,103489536,156000256,103055491,68587520,17182720
123,104747008,104599552,157831168,103239811,68800512,17240064
124,105226240,105168896,158420992,103272579,68808704,17240064
125,105259008,105189376,158769152,103768195,69062656,17297408
126,105259008,105189376,158769152,104775811,69693440,17481728
127,106463232,106573824,159883264,105230467,70107136,17584128
128,106983424,107032576,161325056,105234563,70127616,17633280
129,107253760,107229184,161718272,105250947,70127616,17633280
130,107261952,107229184,161800192,106496131,70819840,17825792
131,107720704,107667456,162140160,106889347,71102464,17911808
132,108691456,108744704,164016128,107073667,71307264,17981440
133,109076480,109158400,164646912,107159683,71307264,17981440
134,109076480,109158400,164646912,107982979,71692288,18104320
135,109236224,109191168,164732928,108535939,72310784,18173952
136,110620672,110706688,166858752,108925059,72593408,18235392
137,110948352,111128576,167686144,108925059,72654848,18280448
138,110977024,111185920,167686144,109039747,72679424,18288640
139,111095808,111243264,167792640,110145667,73269248,18419712
140,112275456,112447488,169553920,110600323,73748480,18558976
141,112824320,112939008,170246144,110882947,73932800,18657280
142,112914432,113115136,170790912,110882947,73957376,18657280
143,112971776,113164288,170790912,111448195,74342400,18669568
144,113745920,113500160,171044864,112484483,74870784,18894848
145,114704384,114552832,172912640,112906371,75227136,18997248
146,114864128,114851840,173490176,112914563,75235328,18997248
147,114921472,114892800,173539328,113033347,75264000,19009536
148,115314688,114974720,173715456,114303107,76144640,19206144
149,116535296,116252672,175669248,114712707,76296192,19267584
150,116916224,116760576,176300032,114753667,76394496,19279872
151,116965376,116809728,176373760,114823299,76435456,19288064
152,116998144,116830208,176463872,116072579,77209600,19439616
153,118452224,118210560,178524160,116514947,77459456,19501056
154,118571008,118517760,179019776,116613251,77606912,19529728
155,118718464,118673408,179351552,116662403,77606912,19550208
156,118722560,118681600,179355648,117698691,78315520,19681280
157,119934976,119926784,180932608,118337667,78704640,19865600
158,120291328,120258560,181465088,118657155,79003648,19955712
159,120410112,120528896,182079488,118657155,79020032,19968000
160,120442880,120606720,182128640,119095427,79200256,20021248
161,121655296,121364480,183193600,119861379,79962112,20156416
162,121982976,122191872,184233984,120344707,80334848,20221952
163,122372096,122482688,184868864,120344707,80367616,20238336
164,122376192,122527744,184885248,120520835,80453632,20246528
165,122617856,122654720,184954880,121913475,81350656,20484096
166,123867136,123957248,186896384,122282115,81596416,20574208
167,124358656,124518400,187621376,122404995,81715200,20582400
168,124387328,124538880,187670528,122425475,81715200,20594688
