rxpck/s,node164,node165,node166
187,20285.0,14924.0,18321.0
188,17824.0,19403.0,11838.0
189,7827.0,12969.0,10403.0
190,16530.0,18533.0,18334.0
191,16778.0,9507.0,8832.0
192,14622.0,8632.0,9684.0
193,18560.0,13186.0,11372.0
194,14960.0,9073.0,21151.0
195,17115.0,18812.0,16357.4
196,12874.0,13533.0,18508.0
197,16296.0,15803.0,15557.0
198,17533.0,17815.0,13832.0
199,14957.0,8829.0,7988.0
200,19559.0,17199.0,13234.0
201,16563.0,16951.0,15364.0
202,11399.0,9385.0,16793.0
203,17065.0,18236.0,14499.0
204,13978.0,11676.0,17389.0
205,21857.0,17275.0,11954.0
206,18185.0,13768.0,8291.0
207,16534.0,14896.0,9742.0
208,16019.0,8445.0,12779.0
209,8768.0,21273.0,15230.0
210,17179.0,8623.0,11202.0
211,19435.0,8606.0,13663.0
212,13270.0,16179.0,18300.0
213,14522.0,7792.0,8321.0
214,14978.0,17370.0,14119.0
215,16807.0,17483.0,13603.0
216,12195.0,20717.0,9841.0
217,18982.0,13997.0,15186.0
218,15597.0,10805.0,15496.0
219,19103.0,13403.0,5442.0
220,17706.0,17846.0,13530.0
221,18169.0,9432.0,14309.0
222,16357.0,8329.0,12616.0
223,22873.0,15825.0,16798.0
224,18318.0,13345.0,10779.0
225,10939.0,9100.0,16489.0
226,11501.0,17003.0,16652.0
227,14289.0,15097.0,19984.0
228,16559.0,9371.0,13707.0
229,13156.0,15803.0,6527.0
230,15733.0,13187.0,2624.0
231,11839.0,16648.0,16895.0
232,20708.0,19425.0,13464.0
233,14959.0,4351.0,10952.0
234,10485.0,8921.0,15864.0
235,12045.0,21907.0,18440.0
236,17634.0,13138.0,25331.0
237,18434.0,7534.0,13784.0
238,19384.0,10805.0,12574.0
239,14661.0,3830.0,12552.0
240,21817.0,6424.0,14293.0
241,14511.0,3308.0,17799.0
242,18089.0,8080.0,15289.0
243,15788.0,8585.0,22447.0
244,15046.0,7910.0,16099.0
245,17904.0,18836.0,18082.0
246,16081.0,7301.0,4961.0
247,18136.0,7677.0,18567.0
248,22810.0,5809.0,13934.0
249,8512.0,7922.0,14088.0
250,20124.0,12240.0,15637.0
251,15125.0,12792.1,12603.0
252,25557.0,11496.0,12146.0
253,14242.0,18685.0,13504.0
254,15817.0,8426.0,11003.0
255,17727.0,11383.0,23264.0
256,13443.0,14202.0,17275.0
257,13338.0,13663.0,5585.0
258,16870.0,11714.0,12338.0
259,18368.0,14954.0,15630.0
260,16791.0,3561.0,5587.0
261,14626.0,0.0,14162.0
262,16185.0,6120.0,13490.0
263,18078.0,17072.0,12214.0
264,25933.0,8927.0,13660.0
265,15751.0,14039.0,17646.0
266,13463.0,6846.0,22275.0
267,18632.0,11250.0,7060.0
268,24309.0,17858.0,9746.0
269,17023.0,8914.0,19265.0
270,18500.0,8171.0,14123.0
271,12423.0,21441.0,11591.0
272,12340.0,12836.0,14342.0
273,19512.0,17340.0,17078.0
274,19849.0,16842.0,7699.0
275,10278.0,9472.0,10036.0
276,14713.0,10398.0,18147.0
277,15931.0,5105.0,12852.0
278,15621.0,11454.0,16409.0
279,14518.0,18321.0,20221.0
280,19291.0,18041.0,15863.0
281,19316.0,17628.0,8705.0
282,12950.0,13967.0,11500.0
283,18199.0,14217.0,13797.0
284,9729.0,15750.0,18261.0
285,14842.0,10905.0,10983.0
286,15590.0,16024.0,22647.0
287,19064.0,12078.0,9422.0
288,20748.0,20951.0,10158.0
289,21523.0,7753.0,11807.0
290,16131.0,16315.0,14109.0
291,19802.0,14182.0,12863.0
292,17322.0,15629.0,16220.0
293,18617.0,17202.0,21195.0
294,18466.0,13035.0,13840.0
295,20051.0,14711.0,16082.0
296,14150.0,17445.0,17361.0
297,8783.0,21233.0,8871.0
298,21254.0,16848.0,12341.0
299,17545.0,18545.0,16563.0
300,13979.0,11206.0,9719.0
301,21386.0,9124.0,8113.0
302,14889.0,19383.0,14305.0
303,19325.0,7937.0,14615.0
304,15223.0,14378.0,14037.0
305,17734.0,10925.0,11660.0
