kbinact,node156,node157
265,94932.0,91564.0
266,94944.0,91572.0
267,94956.0,91580.0
268,94976.0,91600.0
269,94980.0,91600.0
270,95000.0,91616.0
271,95008.0,91624.0
272,95024.0,91640.0
273,95036.0,91652.0
274,95044.0,91656.0
275,95068.0,91656.0
276,95072.0,91664.0
277,95088.0,91676.0
278,95096.0,91684.0
279,95104.0,91696.0
280,95128.0,91708.0
281,95140.0,91724.0
282,95140.0,91728.0
283,95156.0,91736.0
284,95164.0,91744.0
285,95192.0,91760.0
286,95196.0,91760.0
287,95212.0,91776.0
288,95228.0,91784.0
289,95236.0,91792.0
290,95252.0,91796.0
291,95264.0,91804.0
292,95276.0,91808.0
293,95292.0,91824.0
294,95296.0,91832.0
295,95316.0,91844.0
296,95324.0,91836.0
297,95340.0,91852.0
298,95348.0,91864.0
299,95360.0,91872.0
300,95380.0,91884.0
301,95396.0,91896.0
302,95408.0,91908.0
303,95416.0,91920.0
304,95432.0,91920.0
305,95448.0,91932.0
306,95456.0,91944.0
307,95472.0,91956.0
308,95476.0,91956.0
309,95492.0,91968.0
310,95512.0,91976.0
311,95520.0,91984.0
312,95532.0,91996.0
313,95548.0,92008.0
314,95560.0,92024.0
315,95576.0,92028.0
316,95584.0,92040.0
317,95600.0,92052.0
318,95608.0,92060.0
319,95628.0,92076.0
320,95644.0,92084.0
321,95652.0,92088.0
322,95664.0,92100.0
323,95676.0,92112.0
324,95684.0,92116.0
325,95708.0,92128.0
326,95720.0,92140.0
327,95736.0,92156.0
328,95740.0,92156.0
329,95752.0,92164.0
330,95772.0,92172.0
331,95784.0,92188.0
332,95796.0,92196.0
333,95812.0,92208.0
334,95820.0,92220.0
335,95840.0,92232.0
336,95844.0,92240.0
337,95860.0,92244.0
338,95868.0,92256.0
339,95884.0,92276.0
340,95892.0,92280.0
341,95904.0,92284.0
342,95916.0,92296.0
343,95928.0,92296.0
344,95944.0,92308.0
345,95960.0,92316.0
346,95972.0,92324.0
347,95984.0,92340.0
348,95992.0,92348.0
349,96008.0,92356.0
350,96028.0,92372.0
351,96036.0,92376.0
352,96056.0,92392.0
353,96056.0,92396.0
354,96068.0,92396.0
355,96088.0,92412.0
356,96096.0,92420.0
357,96112.0,92428.0
358,96124.0,92440.0
359,96140.0,92448.0
360,96156.0,92456.0
361,96164.0,92468.0
362,96176.0,92476.0
363,96188.0,92492.0
364,96200.0,92496.0
365,96224.0,92512.0
366,96232.0,92516.0
367,96244.0,92520.0
368,96252.0,92528.0
369,96272.0,92540.0
370,96284.0,92540.0
371,96300.0,92552.0
372,96308.0,92568.0
373,96316.0,92576.0
374,96328.0,92580.0
375,96348.0,92592.0
376,96352.0,92596.0
377,96372.0,92616.0
378,96380.0,92628.0
379,96396.0,92628.0
380,96408.0,92652.0
381,96420.0,92652.0
382,96432.0,92660.0
383,96444.0,92676.0
384,96460.0,92680.0
385,96480.0,92688.0
386,96488.0,92692.0
387,96500.0,92700.0
388,96508.0,92712.0
389,96524.0,92720.0
390,96536.0,92728.0
391,96556.0,92744.0
392,96556.0,92748.0
393,96568.0,92764.0
394,58532.0,54688.0
395,58524.0,54664.0
396,58536.0,54680.0
397,58548.0,54712.0
398,58552.0,54716.0
399,58568.0,54728.0
