op_w_rlat,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
201,1.898159,1.702203,1.864402
202,0.103715,0.075219,0.106746
203,0.168417,0.139038,0.116038
204,0.176366,0.202937,0.190995
205,0,0.296557,0.33072
206,0.241192,0.214876,0.257252
207,0.163578,0.133242,0.095961
208,0.244924,0.254954,0.219897
209,1.880607,0,0
210,0.08178,0.17311,0.145581
211,0.137369,0.108874,0.110414
212,0.102,0.117019,0.131605
213,1.496589,0,1.478594
214,0.210996,0.577439,0.119125
215,0.082637,0.090828,0.062463
216,0.13796,0.124542,0.114979
217,1.247264,0.554287,0
218,0.117044,0.228717,0.398541
219,0.139825,0.126184,0.081839
220,0.14161,0.115252,0.148178
221,0.454755,0.506802,0.244359
222,1.603677,2.261286,2.229941
223,0.08314,0.089927,0.137124
224,0.122275,0.10061,0.114067
225,0,0,0.104515
226,0,1.419375,0
227,0.169846,0.103696,0.215503
228,0.09766,0.13394,0.108368
229,0.283479,0.213914,0.141013
230,1.563285,1.566684,1.573522
231,0.120782,0.092065,0.163553
232,0.225297,0.087826,0.195011
233,0.177018,0.12667,0.104793
234,0,0.53696,0.52898
235,0.129899,0.247875,0.078373
236,0.101889,0.094201,0.127757
237,0.169085,0.144744,0.12918
238,1.681312,0,0
239,0.238259,0.187266,0.125192
240,0.143572,0.153236,0.16126
241,0.146192,0.113715,0.147244
242,0,0,0.19748
243,0.172377,0.087678,0.336469
244,0.107151,0.086117,0.075946
245,0.122994,0.103381,0.108844
246,0,0,0.2378
247,1.884338,1.974749,1.41697
248,0.080746,0.090238,0.152988
249,0.104302,0.120621,0.123993
250,0.773394,0.135308,0.09394
251,0,0,0
252,0.133437,0.08295,0.229757
253,0.141621,0.133066,0.137411
254,0.234258,0.162488,0.138674
255,1.976823,0,1.85986
256,0.123607,0.222164,0.157244
257,0.11003,0.11733,0.102067
258,0.128976,0.144234,0.122894
259,1.312097,0,0.138205
260,0.137997,0.203778,0.141121
261,0.115074,0.090926,0.0813
262,0.135042,0.189391,0.176248
263,0.217519,0.112496,0.10314
264,0.285318,2.097675,1.920785
265,0.073127,0.184283,0.113754
266,0.101148,0.112256,0.133456
267,1.145158,0.16988,0.155969
268,0.357274,0.787277,0.718088
269,0.08975,0.061346,0.072407
270,0.128474,0.104535,0.140098
271,0.186454,0.153929,0.108399
272,1.320324,1.314739,1.079995
273,0.176788,0.220323,0.104278
274,0.177044,0.145018,0.096934
275,0.125275,0.115104,0.137506
276,1.749129,0,1.343635
277,0.117546,0.184586,0.155397
278,0.116009,0.131768,0.150593
279,0.100783,0.121861,0.129243
280,0,0,0
281,0.169304,0.153715,0.153211
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
