queue_transaction_latency_avg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
99,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
100,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
101,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
102,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
103,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
104,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
105,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
106,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
107,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
108,0.0,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
109,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06
110,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
111,1e-06,0,1e-06,1e-06,0,1e-06,1e-06
112,1e-06,0,1e-06,0.0,1e-06,1e-06,1e-06
113,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
114,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
115,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
116,1e-06,2e-06,1e-06,1e-06,0,1e-06,1e-06
117,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
118,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
119,1e-06,1e-06,1.7e-05,1e-06,1e-06,1e-06,1e-06
120,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
121,1e-06,0,1e-06,1e-06,0,1e-06,1e-06
122,1e-06,1e-06,1e-06,0.0,1e-06,0.0,1e-06
123,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
124,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
125,1e-06,1e-06,1e-06,0,1e-06,1e-06,1e-06
126,0.0,1e-06,1e-06,0,1e-06,1e-06,1e-06
127,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
128,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
129,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
130,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
131,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
132,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
133,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
134,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
135,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
136,1e-06,0,1e-06,1e-06,1e-06,0,1e-06
137,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
138,1e-06,0.0,1e-06,0.0,1e-06,1e-06,1e-06
139,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
140,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
141,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
142,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
143,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
144,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
145,1e-06,0,1e-06,1e-06,1e-06,1e-06,0.0
146,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
147,1e-06,0,1e-06,0.0,1e-06,1e-06,1e-06
148,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
149,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
150,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
151,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
152,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
153,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
154,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
155,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
156,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
157,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
158,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
159,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
160,1e-06,1e-06,0,1e-06,1e-06,1e-06,1e-06
161,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
162,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
163,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
164,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
165,0.0,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
166,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
167,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
168,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06
169,1e-06,1e-06,0.0,1e-06,1e-06,1e-06,1e-06
170,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
171,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
172,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0.0
173,1e-06,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
174,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
175,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
176,0.0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
177,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
