apply_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
195,0.088348,0.089132,0.112699
196,0.17035,1.185792,0.603296
197,0.929416,0.420084,1.094071
198,0.047851,0.028639,0.037949
199,0.068952,0.070988,0.070674
200,0.329352,0.162869,0.072967
201,1.267633,0.85336,1.843813
202,0.059112,0.052597,0.056701
203,0.121631,0.101383,0.077622
204,0.09397,0.133732,0.124847
205,1.688467,0.332212,0.270313
206,0.070485,0.132966,0.142788
207,0.108474,0.108983,0.106245
208,0.245102,0.217971,0.128435
209,0.834414,0.804399,1.354311
210,0.062812,0.053283,0.04797
211,0.111491,0.166604,0.232653
212,0.079382,0.079297,0.092238
213,0,0,0
214,0.291111,0.422101,0.36054
215,0.049718,0.049312,0.049396
216,0.127204,0.075857,0.083103
217,1.223935,0.630358,0
218,0.06529,0.065918,0.761008
219,0.120468,0.07904,0.042667
220,0.113676,0.082741,0.069867
221,0,0,0.210345
222,1.368694,0,1.732017
223,0.043337,0.113677,0.046041
224,0.116456,0.076984,0.126621
225,0.95502,0,0.068353
226,1.153999,1.337576,0
227,0.033993,0.046656,0.134899
228,0.105557,0.113013,0.065843
229,0.270576,0.169255,0.176088
230,1.522756,0,0.334345
231,0.043848,0.069647,0.046209
232,0.245288,0.058605,0.173416
233,0.085109,0.155537,0.064123
234,0,0,0
235,0.105217,0.158639,0.106727
236,0.069749,0.059416,0.068606
237,0.113303,0.078282,0.088324
238,1.544411,1.549113,0
239,0.043114,0.038949,0.125437
240,0.074578,0.092212,0.125363
241,0.110175,0.082925,0.100283
242,0,0,0.139577
243,0.1045,0.368336,0.904127
244,0.070788,0.046547,0.033545
245,0.116099,0.063617,0.082684
246,0,0,0.308133
247,0,2.375955,0
248,0.148162,0.060499,0.055583
249,0.080069,0.104837,0.109351
250,0.57181,0.061136,0.07399
251,1.043401,2.067203,0
252,0.031626,0.040116,0.146578
253,0.089931,0.086934,0.079802
254,0.407418,0.120594,0.111734
255,0,1.320622,1.150314
256,0.054896,0.041778,0.049216
257,0.061233,0.088614,0.054492
258,0.081931,0.095037,0.100181
259,1.287781,0,0.109608
260,0.067215,0.123185,0.263893
261,0.073094,0.062231,0.043155
262,0.211571,0.137939,0.135738
263,0.152689,0.10828,0.126665
264,0.045188,1.460463,1.381428
265,0.082806,0.04893,0.040452
266,0.076675,0.071404,0.092901
267,0.731347,0.141674,0.112149
268,0.04845,0.181352,0.330052
269,0.052916,0.060762,0.044577
270,0.078889,0.078602,0.09285
271,0.157031,0.257512,0.073555
272,1.281149,1.172247,1.486533
273,0.03614,0.042757,0.036037
274,0.188872,0.099911,0.093741
275,0.162587,0.232619,0.083102
276,0,0.678109,1.120588
277,0.076613,0.051197,0.062199
278,0.112928,0.088832,0.0988
279,0.084758,0.165339,0.088613
280,1.208255,0.562111,1.99276
281,0.052611,0.032923,0.042011
282,0,0,0.012591
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
