wrqm/s,node156,node157
265,3045.36,2389.9
266,2854.9,3128.57
267,3175.79,2975.0
268,3010.0,3388.0
269,2679.8,2764.65
270,3332.29,3342.86
271,2898.99,2384.16
272,2431.96,2382.83
273,2665.66,2771.43
274,2709.9,2398.02
275,2261.0,2363.37
276,3245.45,3593.81
277,3478.35,3570.71
278,2989.0,3305.94
279,2585.71,3011.46
280,2906.06,2989.0
281,2940.0,2969.7
282,2945.83,2578.22
283,2707.14,3189.69
284,3346.0,2282.0
285,2142.42,3638.54
286,2978.57,2485.71
287,2453.47,3118.81
288,3792.86,3463.92
289,2285.71,2619.59
290,4571.88,3969.0
291,3431.37,3230.21
292,2569.07,3178.0
293,3549.0,3705.05
294,3311.0,3368.32
295,2735.05,2712.5
296,3221.43,2987.13
297,2927.27,2617.35
298,2275.0,2247.47
299,3622.68,3642.27
300,2590.0,2654.46
301,2625.0,2962.63
302,2672.73,2489.69
303,2269.7,2602.02
304,2814.0,2531.31
305,2178.57,2213.13
306,2820.79,2926.0
307,2316.49,2254.0
308,2183.17,2736.36
309,4277.78,3964.29
310,2597.94,2644.44
311,3095.88,3012.12
312,2662.75,3040.4
313,2503.03,2642.86
314,2564.29,2585.15
315,2961.0,3052.58
316,2614.29,2528.57
317,2677.32,2468.04
318,2247.0,2307.14
319,2562.0,2488.89
320,2554.64,2711.65
321,2552.53,2492.86
322,2353.92,2864.95
323,2212.0,2307.14
324,2442.86,2619.59
325,3010.0,2900.0
326,2474.75,2569.0
327,2764.65,2651.52
328,2007.14,2414.29
329,3325.0,2660.0
330,2389.9,2544.79
331,2555.0,2113.86
332,2065.0,2716.0
333,3080.0,2597.94
334,3778.57,2950.0
335,2985.71,4007.14
336,3591.92,2602.02
337,2388.66,2235.71
338,2066.02,2185.71
339,3192.86,3040.4
340,2728.57,2464.0
341,2756.7,3264.29
342,2990.91,3443.43
343,2969.7,2749.48
344,3413.4,3577.78
345,2751.49,2842.42
346,2706.19,2590.0
347,2464.0,2698.97
348,2442.86,2255.56
349,2121.0,2303.0
350,3485.42,3164.0
351,3332.0,2628.57
352,3199.0,2240.0
353,2594.95,3002.06
354,1883.0,1871.43
355,2457.29,2900.0
356,3075.76,2715.15
357,2657.14,2695.0
358,2307.92,3087.0
359,3557.73,3342.86
360,3009.28,3500.0
361,3285.71,3160.82
362,2585.71,2909.38
363,3549.49,3372.73
364,2492.0,1838.38
365,2742.86,2314.29
366,3825.74,4037.37
367,2571.43,2234.34
368,3795.88,3680.41
369,2966.34,2973.2
370,2542.86,2688.0
371,3312.87,3351.52
372,2428.57,2478.0
373,2521.43,2163.0
374,2771.72,3071.43
375,2539.22,3201.04
376,2757.14,2618.0
377,2821.0,2418.18
378,2695.0,2710.78
379,2349.5,2729.29
380,3164.29,3400.0
381,2375.76,2368.69
382,2499.0,2542.86
383,2814.14,3687.63
384,2569.0,2247.0
385,2980.41,2858.33
386,2453.54,2689.11
387,2719.79,2220.2
388,2757.58,2792.78
389,2171.43,2278.57
390,2786.14,2905.0
391,2250.0,2503.03
392,2599.01,2326.26
393,3637.11,3103.09
394,728.87,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
