journal_wr_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
111,32085.0,81920.0,44032.0
112,8192.0,12288.0,35498.0
113,28969.0,22800.0,28288.0
114,43610.0,39321.0,42325.0
115,72362.0,57344.0,49971.0
116,24576.0,22937.0,40960.0
117,30170.0,23831.0,29202.0
118,52565.0,47331.0,60269.0
119,60494.0,49152.0,61440.0
120,28672.0,32768.0,0
121,34406.0,26516.0,35310.0
122,40112.0,24250.0,26550.0
123,50688.0,46031.0,50097.0
124,57344.0,92842.0,43105.0
125,8192.0,0,8192.0
126,24870.0,25661.0,23778.0
127,63558.0,52792.0,39273.0
128,58307.0,38092.0,54494.0
129,24576.0,0,8192.0
130,27235.0,27355.0,41574.0
131,30565.0,26025.0,34369.0
132,41580.0,42449.0,47344.0
133,172032.0,0,139264.0
134,47513.0,49152.0,204800.0
135,30225.0,30352.0,26926.0
136,44208.0,47858.0,49459.0
137,45056.0,16384.0,180224.0
138,32768.0,31744.0,27306.0
139,27306.0,25828.0,26345.0
140,33077.0,37340.0,50176.0
141,53248.0,38373.0,46530.0
142,77824.0,8192.0,0
143,24432.0,26624.0,33450.0
144,35378.0,26425.0,26574.0
145,35498.0,37494.0,32347.0
146,94208.0,103765.0,45056.0
147,36408.0,46421.0,55003.0
148,28140.0,27237.0,29023.0
149,53589.0,39822.0,58660.0
150,54613.0,77824.0,51200.0
151,54613.0,53248.0,54613.0
152,32107.0,27957.0,31044.0
153,31322.0,44714.0,46148.0
154,23756.0,34952.0,47513.0
155,8192.0,8192.0,43690.0
156,27772.0,24423.0,26624.0
157,53540.0,48439.0,49524.0
158,51609.0,62162.0,55084.0
159,86016.0,32768.0,24576.0
160,32277.0,31948.0,41704.0
161,48364.0,26928.0,26715.0
162,49698.0,38034.0,41574.0
163,57344.0,49152.0,51882.0
164,29801.0,21425.0,8192.0
165,35964.0,29981.0,32339.0
166,72837.0,61312.0,47217.0
167,94208.0,49152.0,69632.0
168,27836.0,25626.0,31129.0
169,36044.0,29095.0,28957.0
170,53248.0,48449.0,45913.0
171,114688.0,24576.0,45511.0
172,32768.0,34343.0,38725.0
173,29689.0,24599.0,31150.0
174,47349.0,46731.0,54954.0
175,180224.0,81920.0,113322.0
176,23552.0,22528.0,16384.0
177,28696.0,25820.0,33557.0
178,39538.0,36945.0,50556.0
179,70997.0,36864.0,45296.0
180,32768.0,90931.0,40960.0
181,27425.0,30151.0,30112.0
182,46044.0,36310.0,74752.0
183,86835.0,36864.0,45494.0
184,55296.0,20480.0,75093.0
185,31008.0,28610.0,31967.0
186,29712.0,38281.0,35614.0
187,58026.0,42325.0,46284.0
188,106496.0,8192.0,49152.0
189,24873.0,24693.0,31878.0
190,52337.0,37667.0,39279.0
191,52565.0,45602.0,38260.0
192,0,155648.0,139264.0
193,26672.0,25410.0,34221.0
194,29296.0,24298.0,26972.0
195,52186.0,55680.0,57461.0
196,58982.0,20480.0,73728.0
197,43690.0,18724.0,43690.0
198,30595.0,23750.0,29642.0
199,46569.0,29050.0,31056.0
200,43776.0,36317.0,40773.0
201,28672.0,12288.0,106496.0
202,26266.0,23153.0,27149.0
203,29655.0,41524.0,37683.0
204,43165.0,32963.0,36164.0
205,196608.0,53248.0,45056.0
206,31463.0,24800.0,27648.0
207,48670.0,45658.0,36904.0
208,40082.0,73045.0,49633.0
209,21845.0,40960.0,65536.0
210,33242.0,26549.0,30079.0
211,61440.0,46316.0,69632.0
212,34230.0,48106.0,56123.0
213,122880.0,0,0
214,35295.0,27989.0,30181.0
215,29323.0,27662.0,28768.0
216,47816.0,40437.0,44131.0
217,53248.0,40960.0,57344.0
218,26040.0,27886.0,40237.0
219,41590.0,35192.0,32710.0
220,62501.0,48074.0,42617.0
221,0,0,72089.0
222,63078.0,81920.0,8192.0
223,33225.0,24766.0,34776.0
224,57667.0,39139.0,62146.0
225,53248.0,114688.0,57636.0
226,38229.0,24576.0,57344.0
227,27828.0,26537.0,27852.0
228,50720.0,39594.0,37640.0
229,63260.0,52428.0,47371.0
230,38229.0,8192.0,16384.0
231,30082.0,26331.0,31960.0
232,61755.0,38830.0,58833.0
233,36240.0,48241.0,40802.0
234,131072.0,8192.0,8192.0
235,31837.0,25103.0,32338.0
236,32067.0,30980.0,42325.0
237,64170.0,42130.0,41084.0
238,32768.0,49152.0,81920.0
239,25123.0,23881.0,27574.0
240,37179.0,41494.0,52077.0
241,43203.0,43057.0,38229.0
242,32768.0,122880.0,68949.0
243,29639.0,26624.0,25746.0
244,40638.0,30398.0,27487.0
245,34443.0,27422.0,33836.0
246,81920.0,57344.0,61440.0
247,0,49152.0,16384.0
248,31993.0,23121.0,31260.0
249,43154.0,40550.0,38961.0
250,77824.0,28160.0,48128.0
251,20480.0,8192.0,204800.0
252,26308.0,24372.0,26775.0
253,49078.0,43157.0,43225.0
254,57929.0,52284.0,52756.0
255,98304.0,20480.0,32768.0
256,27794.0,24084.0,27125.0
257,47360.0,40313.0,40374.0
258,71680.0,66593.0,64512.0
259,24576.0,32768.0,73045.0
260,27112.0,25542.0,27755.0
261,43174.0,33089.0,37554.0
262,60958.0,57002.0,43795.0
263,74313.0,53563.0,62385.0
264,29538.0,20480.0,45056.0
265,31693.0,22030.0,26599.0
266,39445.0,34781.0,39431.0
267,32768.0,27852.0,32768.0
268,28299.0,30521.0,43264.0
269,31638.0,28482.0,31885.0
270,52866.0,31597.0,35962.0
271,67174.0,56524.0,70451.0
272,26624.0,45056.0,35498.0
273,30171.0,27862.0,39835.0
274,68403.0,40960.0,45329.0
275,45800.0,43008.0,42496.0
276,61440.0,47786.0,76458.0
277,25526.0,21710.0,27483.0
278,40468.0,40960.0,56064.0
279,55854.0,43546.0,40014.0
280,32768.0,16384.0,25941.0
281,30244.0,28672.0,31875.0
282,0,0,4096.0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
