journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
99,0.013984,0.01191,0.005967,0.003912,0.003038,0.005823,0.008379
100,0.02286,0.018969,0.021673,0.007425,0.004864,0.008128,0.00823
101,0.022052,0.004625,0.012913,0.00384,0.004165,0.018732,0.013578
102,0.005182,0.004003,0.004287,0.009539,0.01059,0.020784,0.009747
103,0.021699,0.011517,0.008357,0.013172,0.018403,0.006078,0.003692
104,0.009917,0.02203,0.02111,0.008311,0.006778,0.011511,0.014786
105,0.017878,0.01811,0.009292,0.008809,0.012569,0.005858,0.005203
106,0.015708,0.011261,0.016321,0.010531,0.008653,0.006482,0.003712
107,0.015393,0.007591,0.014897,0.016752,0.009638,0.006155,0.015841
108,0.016771,0.014935,0.015183,0.003856,0.008938,0.010361,0.012198
109,0.01283,0.018608,0.026061,0.004874,0.005364,0.004086,0.004304
110,0.016256,0.007533,0.018615,0.00426,0.003264,0.006435,0.006221
111,0.008065,0,0.017121,0.003568,0,0.011422,0.008225
112,0.011757,0,0.019978,0.002892,0.003644,0.013604,0.010098
113,0.023006,0.021712,0.019632,0.011346,0.012109,0.012514,0.006934
114,0.006733,0.015485,0.019253,0.012198,0.017046,0.007845,0.011431
115,0.009236,0.018695,0.011966,0.002799,0.003607,0.014979,0.004204
116,0.015204,0.013603,0.020635,0.003266,0,0.011331,0.012729
117,0.02086,0,0.016423,0.004791,0.003169,0.00722,0.005728
118,0.014897,0.014427,0.00614,0.00701,0.006044,0.009343,0.013192
119,0.012204,0.005575,0.011183,0.005335,0.004355,0.005772,0.010151
120,0.010102,0.013022,0.020208,0.003103,0.002972,0.010907,0.006892
121,0.013968,0,0.019703,0.003302,0,0.00446,0.006964
122,0.021287,0.019148,0.020147,0.013537,0.017752,0.012313,0.007192
123,0.019518,0.017924,0.011311,0.005454,0.005298,0.003776,0.012516
124,0.007825,0.013863,0.019299,0.005235,0.013848,0.003551,0
