w/s,node164,node165,node166
227,130.0,167.5,242.5
228,161.667,262.5,251.5
229,147.667,256.0,69.0
230,195.0,188.5,127.0
231,127.333,358.0,245.5
232,226.0,158.5,250.0
233,168.0,117.5,173.0
234,120.0,299.5,237.5
235,136.0,286.5,334.0
236,218.333,159.5,371.5
237,198.667,180.5,180.5
238,208.333,50.5,206.5
239,162.0,105.5,236.0
240,234.667,91.0,227.0
241,162.333,84.0,278.5
242,172.667,144.5,300.5
243,184.667,114.5,291.0
244,162.667,282.5,264.5
245,201.333,183.5,276.0
246,167.333,150.0,64.5
247,195.333,55.5,307.0
248,225.667,176.5,255.0
249,93.6667,201.0,198.5
250,206.667,172.0,293.5
251,172.333,210.0,214.5
252,240.667,320.5,149.0
253,166.0,152.5,211.0
254,184.667,95.5,227.0
255,163.0,254.0,335.0
256,156.333,252.0,271.5
257,133.333,191.5,106.0
258,189.0,253.0,242.5
259,199.0,141.0,225.0
260,188.0,50.0,111.5
261,164.333,218.0,254.0
262,159.333,239.0,232.5
263,176.667,105.0,181.5
264,275.333,301.5,268.5
265,178.667,90.0,294.0
266,149.0,291.5,288.5
267,199.667,201.0,161.0
268,247.333,103.5,185.5
269,184.333,268.5,318.5
270,197.667,270.0,213.5
271,119.0,268.5,173.5
272,135.667,277.0,225.5
273,217.333,176.0,261.5
274,218.0,176.0,141.0
275,102.333,170.0,204.5
276,170.0,133.5,249.5
277,156.667,303.5,232.0
278,175.667,263.5,249.0
279,139.667,302.0,301.5
280,207.667,308.5,255.5
281,163.0,167.0,139.0
282,152.333,313.5,215.0
283,188.667,141.5,215.0
284,125.333,220.0,290.5
285,153.333,321.5,201.0
286,167.333,190.5,304.0
287,202.333,256.0,150.5
288,218.333,152.5,166.0
289,222.667,384.5,224.0
290,195.0,102.0,236.0
291,160.333,407.5,208.5
292,165.667,159.0,291.0
293,193.0,279.5,337.5
294,216.667,159.0,188.5
295,204.333,389.0,272.5
296,182.667,232.0,221.5
297,116.0,275.5,142.5
298,203.0,226.0,213.5
299,224.0,199.5,278.5
300,143.667,243.0,159.0
301,231.667,243.5,141.0
302,149.333,182.0,199.0
303,195.667,172.0,274.0
