%memused,node164,node165,node166
227,24.68,22.16,24.18
228,24.77,22.24,24.3
229,24.8,22.4,24.38
230,24.92,22.56,24.34
231,24.82,22.61,24.46
232,24.63,22.56,24.55
233,24.52,22.68,24.08
234,24.62,22.33,24.18
235,24.71,22.44,24.13
236,24.81,22.32,24.1
237,24.85,22.38,24.03
238,24.88,22.28,24.35
239,24.9,22.26,24.39
240,24.85,22.46,24.38
241,25.08,22.43,24.47
242,24.68,22.54,24.53
243,24.7,22.48,24.26
244,24.53,22.27,24.18
245,24.59,22.28,24.25
246,24.62,22.34,24.27
247,24.85,22.27,24.36
248,24.83,22.26,24.39
249,24.72,22.34,24.38
250,24.78,22.56,24.36
251,24.79,22.62,24.59
252,24.68,22.53,24.62
253,24.77,22.68,24.31
254,24.7,22.32,24.25
255,24.48,22.35,24.27
256,24.52,22.3,24.35
257,24.84,22.33,24.25
258,24.91,22.24,24.48
259,24.94,22.51,24.44
260,24.81,22.51,24.49
261,24.91,22.53,24.59
262,24.68,22.59,24.66
263,24.73,22.65,24.22
264,24.89,22.42,24.24
265,24.71,22.29,24.18
266,24.69,22.51,24.23
267,24.94,22.4,24.34
268,25.08,22.42,24.47
269,24.97,22.4,24.57
270,24.88,22.61,24.39
271,24.82,22.66,24.55
272,24.63,22.63,24.61
273,24.6,22.65,24.28
274,24.67,22.44,24.26
275,24.77,22.38,24.34
276,24.64,22.27,24.33
277,24.83,22.41,24.36
278,24.89,22.38,24.52
279,24.96,22.56,24.41
280,24.86,22.61,24.53
281,25.03,22.75,24.56
282,24.69,22.71,24.68
283,24.7,22.79,24.3
284,24.7,22.48,24.4
285,24.71,22.46,24.31
286,24.72,22.48,24.29
287,25.0,22.51,24.31
288,25.0,22.54,24.49
289,24.85,22.52,24.44
290,24.93,22.62,24.49
291,24.9,22.57,24.74
292,24.84,22.72,24.63
293,24.69,22.65,24.36
294,24.75,22.44,24.21
295,24.71,22.53,24.32
296,24.75,22.52,24.26
297,24.83,22.45,24.29
298,25.01,22.36,24.53
299,25.1,22.54,24.6
300,24.95,22.56,24.55
301,25.03,22.72,24.62
302,24.63,22.66,24.76
303,24.72,22.77,24.37
304,24.76,22.45,24.45
305,24.69,22.55,24.39
306,24.62,22.47,24.55
307,24.84,22.48,24.41
308,24.92,22.49,24.48
309,24.98,22.58,24.48
310,25.03,22.83,24.51
311,24.96,22.71,24.67
312,24.86,22.62,24.65
313,24.68,22.59,24.41
314,24.86,22.43,24.33
315,24.89,22.4,24.4
316,24.77,22.45,24.36
317,24.95,22.46,24.48
318,24.93,22.45,24.52
319,24.98,22.54,24.66
320,25.04,22.59,24.77
321,25.14,22.69,24.83
322,24.79,22.61,24.91
323,24.75,22.75,24.43
324,24.76,22.51,24.44
325,24.91,22.64,24.37
326,24.94,22.5,24.42
327,25.07,22.48,24.41
328,24.92,22.43,24.71
329,24.93,22.6,24.7
330,25.09,22.71,24.77
331,25.11,22.72,24.77
332,24.89,22.82,24.88
333,24.75,22.79,24.46
334,24.78,22.53,24.43
335,24.72,22.47,24.63
336,24.86,22.51,24.59
337,25.12,22.47,24.5
338,25.07,22.48,24.68
339,25.06,22.64,24.75
340,24.96,22.76,24.75
341,25.04,22.77,24.85
342,24.87,22.8,24.87
343,24.91,22.82,24.55
344,24.67,22.58,24.47
345,24.76,22.69,24.48
346,24.78,22.63,24.6
347,25.03,22.73,24.47
348,25.19,22.49,24.75
349,25.02,22.62,24.7
350,25.1,22.74,24.84
351,25.14,22.78,24.84
352,24.94,22.8,24.91
353,24.89,22.87,24.49
354,25.08,22.7,24.51
355,24.86,22.65,24.45
356,24.99,22.7,24.51
357,25.18,22.61,24.45
358,25.27,22.71,24.7
359,25.34,22.71,24.83
360,25.19,22.95,24.71
361,25.23,23.01,24.92
362,24.89,23.1,24.91
363,24.94,22.96,24.62
364,24.95,22.57,24.51
365,25.19,22.71,24.59
366,24.95,22.68,24.55
367,25.12,22.75,24.58
368,25.2,22.67,24.69
369,25.14,22.83,24.77
370,25.37,22.93,24.86
371,25.18,22.98,24.87
372,24.96,22.98,25.01
373,24.91,23.03,24.65
374,24.96,22.74,24.66
375,24.93,22.7,24.58
376,25.05,22.79,24.66
377,25.22,22.71,24.61
378,25.24,22.76,24.76
379,25.3,22.79,24.76
380,25.16,23.03,24.8
381,25.34,22.99,24.88
382,24.99,22.97,24.93
383,25.09,23.02,24.67
384,24.98,22.76,24.55
385,25.03,22.82,24.68
386,25.01,22.68,24.6
387,25.22,22.79,24.75
388,25.13,22.76,24.93
389,25.11,22.92,24.93
390,25.22,22.92,24.87
391,25.22,23.08,25.02
392,25.1,23.04,24.99
393,24.94,23.06,24.63
394,24.91,22.79,24.72
395,24.89,22.87,24.66
396,24.95,22.76,24.66
397,25.14,22.67,24.55
398,25.27,22.82,24.75
399,25.1,22.84,24.75
