op_w_process_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
196,0.211547,1.302653,0.615132
197,1.514175,1.102938,1.951938
198,0.089516,0.065231,0.221521
199,0.124868,0.126359,0.121665
200,0.298875,0.16639,0.123755
201,1.897274,1.701529,1.862884
202,0.0984,0.090166,0.100294
203,0.159986,0.152939,0.122305
204,0.167009,0.199986,0.183664
205,0,0.333141,0.323658
206,0.170982,0.158838,0.242188
207,0.142759,0.150234,0.089362
208,0.26279,0.281463,0.206846
209,1.09799,0,1.652379
210,0.095971,0.157967,0.135631
211,0.156301,0.173713,0.236905
212,0.111126,0.104147,0.123575
213,1.483148,0,1.477313
214,0.312364,0.466607,0.324519
215,0.075643,0.079818,0.074535
216,0.152199,0.12002,0.116274
217,1.267711,0.553749,0
218,0.127223,0.194452,0.812917
219,0.149901,0.10781,0.072629
220,0.138222,0.107822,0.132447
221,0.448373,0.505142,0.237918
222,1.602311,2.261086,1.937888
223,0.072153,0.133722,0.129762
224,0.125819,0.111423,0.133639
225,0.962227,0,0.093412
226,1.562182,1.456128,0
227,0.147345,0.095814,0.211706
228,0.120723,0.140283,0.102576
229,0.284987,0.236053,0.190089
230,1.558249,1.564946,1.384058
231,0.106615,0.086027,0.139959
232,0.258926,0.081944,0.190555
233,0.165676,0.172137,0.106277
234,0,0.53096,0.52707
235,0.117769,0.228554,0.14445
236,0.104589,0.098273,0.116878
237,0.139224,0.132258,0.122811
238,1.680224,0,0
239,0.200331,0.158997,0.16723
240,0.144429,0.155116,0.167188
241,0.147831,0.112054,0.148375
242,0,0,0.199484
243,0.152504,0.456495,0.944239
244,0.102956,0.078514,0.069329
245,0.140834,0.111461,0.115623
246,0,0,0.235964
247,1.882614,2.20031,1.412143
248,0.170829,0.097215,0.13996
249,0.100852,0.118354,0.132718
250,0.76796,0.137635,0.094219
251,0,2.11405,0
252,0.117358,0.074984,0.230415
253,0.135267,0.129974,0.128898
254,0.348106,0.151408,0.128903
255,1.975703,0,1.858791
256,0.112263,0.189882,0.132436
257,0.110111,0.114183,0.096692
258,0.116512,0.131471,0.130122
259,1.314647,0,0.13413
260,0.130937,0.199834,0.293733
261,0.101985,0.086213,0.07486
262,0.252642,0.213715,0.174455
263,0.203567,0.127305,0.146828
264,0.243621,2.095913,1.624351
265,0.098977,0.160705,0.105063
266,0.102841,0.107284,0.133316
267,1.135956,0.172668,0.158301
268,0.291452,0.522464,0.609963
269,0.077086,0.081987,0.065
270,0.121084,0.116167,0.143755
271,0.183063,0.149086,0.105589
272,1.315083,1.308843,1.105645
273,0.145402,0.189105,0.090735
274,0.208221,0.141944,0.125078
275,0.179418,0.253788,0.133588
276,1.748755,0,1.342
277,0.116149,0.186674,0.14081
278,0.13787,0.116081,0.118644
279,0.114362,0.124516,0.12659
280,1.307437,0,2.18028
281,0.150282,0.142437,0.129905
282,0,0,0
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
