await,node156,node157
319,21.62,22.7
320,22.58,20.18
321,21.93,22.88
322,23.2,19.7
323,25.29,24.73
324,22.96,21.96
325,18.33,19.32
326,22.91,21.9
327,20.14,21.05
328,28.57,23.75
329,17.54,20.8
330,23.53,23.16
331,21.65,24.94
332,27.01,21.13
333,18.16,22.36
334,14.73,18.14
335,19.29,14.67
336,15.62,21.77
337,23.98,25.57
338,26.09,26.0
339,17.64,18.47
340,20.76,22.36
341,21.03,17.56
342,18.44,16.4
343,19.15,20.55
344,16.79,15.85
345,20.21,19.76
346,20.98,21.39
347,22.77,21.4
348,23.11,23.72
349,26.11,25.51
350,16.81,17.22
351,16.48,21.96
352,17.58,24.06
353,21.84,19.8
354,29.38,29.89
355,23.8,19.57
356,17.95,20.82
357,21.55,20.71
358,23.81,18.07
359,16.18,16.9
360,19.09,15.91
361,17.14,18.26
362,21.66,19.83
363,16.13,16.66
364,22.06,29.98
365,21.09,25.01
366,14.3,13.92
367,22.26,24.96
368,15.1,15.86
369,18.63,19.19
370,22.31,20.9
371,16.72,16.69
372,23.32,22.45
373,22.78,25.63
374,20.31,18.6
375,20.81,18.16
376,20.94,21.3
377,19.79,22.99
378,20.85,20.19
379,23.37,20.73
380,17.77,16.55
381,23.69,24.17
382,22.38,22.25
383,19.82,15.63
384,21.82,24.44
385,19.07,20.41
386,23.12,20.69
387,21.32,25.17
388,20.17,20.58
389,26.29,24.43
390,19.77,19.49
391,25.54,22.71
392,21.14,23.54
393,15.87,11.46
394,7.04,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
