wMB/s,node164,node165,node166
216,4.0,13.865,8.04
217,9.71333,11.265,6.0
218,10.9167,0.0,12.68
219,5.51333,10.09,0.0
220,5.4,4.76,5.36
221,6.66667,14.655,16.045
222,4.62667,10.52,4.635
223,11.99,2.75,15.11
224,6.71667,2.0,0.0
225,1.26333,8.0,11.455
226,5.33333,17.65,14.885
227,2.66667,4.645,6.0
228,15.6,11.91,14.97
229,7.32667,4.0,0.975
230,3.01,8.0,4.0
231,1.33333,16.27,10.705
232,6.67,8.015,1.695
233,11.3267,7.13,8.415
234,7.35333,4.015,10.43
235,3.48667,12.725,10.0
236,1.08333,7.57,15.765
237,8.0,13.245,11.04
238,7.19,13.735,6.0
239,12.1467,0.865,13.795
240,9.04667,0.0,4.0
241,3.96667,2.0,8.0
242,5.90333,8.575,17.96
243,5.87333,9.44,4.14
244,17.4467,3.225,16.0
245,6.20667,8.005,5.25
246,2.66667,2.0,4.28
247,3.1,9.005,20.15
248,9.33333,0.0,4.235
249,12.6733,8.92,10.69
250,6.35333,2.0,10.315
251,0.0,7.41,6.0
252,6.67,10.315,7.36
253,8.0,10.94,6.285
254,6.35,8.9,6.0
255,16.0,0.83,20.85
256,6.01667,10.01,5.22
257,0.833333,5.385,2.0
258,4.50333,18.09,13.325
259,5.33333,8.485,6.0
260,13.5433,0.0,8.565
261,5.29333,0.75,5.325
262,0.0,7.69,6.47
263,4.91667,10.875,11.845
264,10.5833,10.995,3.785
265,18.3833,1.96,19.64
266,8.37333,6.0,6.315
267,4.6,6.0,4.0
268,4.76,7.18,10.455
269,10.5267,12.13,5.72
270,9.48667,9.64,9.965
271,17.06,6.395,11.505
272,1.33667,12.78,4.0
273,1.95333,7.22,7.695
274,5.33333,10.61,12.41
275,2.66667,9.125,0.44
276,16.1133,0.0,12.66
277,4.52667,9.61,6.42
278,4.58333,8.785,10.44
279,1.83333,16.3,13.85
280,6.66667,13.685,7.76
281,15.3433,4.0,12.935
282,7.75667,6.0,2.0
283,0.0,8.455,6.125
284,4.48,14.545,17.495
285,2.66667,12.36,6.0
286,11.6333,4.34,12.71
287,10.2533,7.22,6.035
288,0.626667,4.0,4.0
289,6.65,14.005,8.865
290,7.71,11.835,4.755
291,5.63,11.68,8.0
292,15.3833,5.845,15.725
293,5.07333,8.83,10.92
294,3.43,6.095,6.0
295,7.53,17.875,10.95
296,5.33333,14.39,6.0
297,14.5667,4.0,8.85
298,7.50333,10.005,6.0
299,0.0766667,8.01,12.0
300,4.0,15.5,12.945
301,9.37,10.29,2.28
302,15.9467,0.0,11.33
303,7.89333,5.61,1.85
304,0.0,4.0,6.285
305,2.5,8.855,16.99
306,6.66667,10.305,8.0
307,5.24333,6.51,6.295
308,17.3333,8.805,12.155
309,0.526667,10.32,4.67
310,3.36667,12.315,7.73
311,4.00333,17.745,8.07
312,5.04333,10.12,8.01
313,16.49,8.0,12.43
314,4.62,2.0,4.515
315,0.0,3.05,3.535
316,1.75,19.1,16.095
317,9.28,11.605,5.16
318,13.07,0.0,16.69
319,7.20667,2.0,4.0
320,0.833333,0.0,4.0
321,4.08333,11.52,17.835
322,7.08333,7.145,5.37
323,11.78,0.005,20.91
324,12.61,0.16,7.8
325,0.22,2.15,6.0
326,4.0,7.125,16.825
327,4.0,8.32,8.945
328,5.57333,11.9,1.315
329,19.39,0.0,11.375
330,0.93,4.0,6.0
331,7.44,5.39,9.25
332,2.66667,8.62,11.89
333,4.21333,8.55,4.135
334,16.08,2.0,16.32
335,9.2,10.0,2.0
336,3.96,2.0,4.005
337,8.00333,17.205,12.56
