op_queue_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
166,278216,0,280504,105189,0,280512,280504
167,35063,0,0,0,0,350630,0
168,70126,35063,0,175315,0,0,175315
169,0,0,0,0,245441,280504,105189
170,280504,105192,0,0,0,0,0
171,35063,280512,0,0,0,0,0
172,70126,0,0,280504,210378,210378,175320
173,210378,280504,0,0,0,0,35063
174,245441,280504,0,210384,0,0,70126
175,70126,0,0,0,35064,280512,245441
176,280504,280504,0,0,0,0,280512
177,0,0,105189,0,0,0,0
178,0,278209,70126,0,173020,280504,175310
179,173020,0,0,0,0,0,284080
180,0,140252,280504,70126,70126,70126,0
181,0,0,175315,0,0,0,245441
182,0,0,0,0,0,0,210378
183,280512,0,350630,0,0,35064,0
184,0,243146,280504,140252,0,105189,0
185,0,0,140252,0,0,0,0
186,105189,0,140252,245445,0,0,245441
187,280504,0,176596,35063,245441,0,490882
188,490882,0,0,70126,210378,278209,0
189,0,175320,0,0,0,0,280512
190,0,105189,175315,0,0,0,0
191,210378,0,0,278216,210378,245441,0
192,0,280504,280504,35063,0,105192,105189
193,0,105189,0,280512,35064,0,210378
194,280504,0,0,205788,0,245448,275908
195,0,70128,280512,0,0,0,70128
196,0,0,278216,0,140252,0,453530
197,0,0,0,0,105189,0,0
198,280504,210372,0,35063,0,280504,0
199,0,245441,0,140252,0,0,0
200,0,280512,280504,0,0,0,105189
201,35063,0,280504,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,105189,0
204,70128,0,35063,70126,243146,280504,280504
205,0,0,0,0,0,0,0
206,0,0,280504,0,0,0,0
207,0,0,0,0,70126,0,0
208,0,0,0,0,0,284080,280504
209,0,280504,280504,0,273614,0,0
210,280504,0,140249,70126,0,0,280504
211,0,0,0,0,315563,0,280512
212,70126,0,280512,35063,0,0,0
213,280512,280512,0,0,0,280504,70126
214,280504,0,280504,35063,278209,280504,280504
215,280504,0,0,0,0,0,0
216,0,0,0,280504,278209,35062,0
217,0,0,278209,315567,0,0,0
218,0,0,0,0,0,0,0
219,0,0,0,35063,0,280504,280512
220,0,0,0,280504,140252,0,0
221,0,278209,0,0,0,105192,280504
222,175315,284080,0,0,0,0,0
223,280512,0,280504,0,0,315567,210384
224,0,0,490882,284088,280504,0,0
225,0,0,140256,0,0,0,245441
226,0,243152,0,284080,210378,0,0
227,0,0,140256,280504,280504,0,105189
228,0,0,278209,70126,0,0,0
229,0,280504,280512,0,0,0,0
230,0,0,0,280496,0,280504,278209
231,280504,0,280504,210378,0,35062,0
232,245441,210378,0,245441,280504,0,0
233,35064,0,0,0,0,0,0
234,0,0,0,0,0,0,280504
235,0,278216,35063,35064,0,105192,0
236,0,105189,0,0,175315,0,0
237,0,0,0,0,0,210384,280504
238,0,280512,280504,0,385693,105189,35063
239,140252,0,280504,35063,0,0,35063
240,102894,0,280504,0,0,0,0
241,105189,0,0,0,0,280504,280512
242,280504,0,280512,140256,35063,0,278209
243,280512,0,70126,0,0,280504,280512
244,280504,0,143828,210378,105189,105189,210378
245,0,0,0,243146,280512,0,0
246,0,280504,280504,0,70126,0,0
247,108765,0,0,0,0,105189,0
248,140256,0,173020,140252,0,105189,0
249,245441,70126,0,0,0,280504,0
250,280504,0,140252,0,0,210378,105189
251,35063,175315,280504,0,0,0,0
252,280512,280512,0,0,0,70126,0
253,0,0,0,35063,0,70126,105189
254,0,0,275920,0,0,280504,418461
255,0,280512,245441,143828,0,140256,0
256,280504,280504,0,0,0,175315,0
257,245441,280496,0,0,35063,0,0
258,0,210378,280512,0,0,105189,424332
259,0,0,0,0,0,175315,0
260,0,0,0,35063,0,210378,0
261,70126,0,0,105189,0,140252,0
262,0,175315,245441,0,210378,0,35063
263,0,0,0,35064,280504,280504,280504
264,175310,280504,0,0,0,0,173020
265,0,0,105189,245444,0,0,0
266,0,284080,280504,0,210378,0,0
267,0,0,70126,0,0,0,35063
268,280504,0,210378,70126,0,0,35063
269,278209,280504,0,0,175315,0,0
270,0,0,35063,0,0,0,0
271,280504,0,0,35063,0,0,0
272,0,0,0,67831,35063,0,0
273,0,0,0,0,280496,0,280504
274,0,0,0,418461,0,0,0
275,0,70126,280504,0,0,175320,280504
276,140252,0,175315,280504,245441,486292,0
277,0,0,175315,0,0,0,35063
278,0,0,0,0,0,0,0
279,280504,70124,0,0,0,0,140252
280,0,140256,0,0,0,0,210378
281,0,0,245441,280512,280504,0,0
282,245441,0,0,0,0,278209,233966
283,70126,0,0,0,0,0,0
284,0,0,0,0,0,0,0
285,249017,0,0,140252,245441,420756,70124
286,175315,0,0,0,0,0,245441
287,0,280504,280504,70126,0,280504,0
288,0,210378,280504,315567,0,0,0
289,70126,0,0,35063,0,0,0
290,0,0,0,245441,0,0,0
291,278216,240851,0,35063,0,0,245441
292,0,0,0,0,105189,175320,0
293,280504,280512,280512,0,0,0,70128
294,280504,0,280504,0,0,175315,0
295,0,0,280504,0,108765,70126,35063
296,245441,0,245441,245441,0,35063,0
297,70126,0,0,280504,280512,0,0
298,0,0,0,0,175315,280512,280504
299,140252,0,0,0,0,0,0
300,213954,0,280504,0,0,0,70126
301,35063,0,178891,0,0,0,0
302,0,0,0,280504,210378,243146,140252
303,280504,210384,280504,0,0,245434,280504
304,245441,280504,0,0,284080,0,0
305,0,0,0,0,0,0,0
306,0,0,385693,0,0,0,0
307,0,0,0,0,105192,0,0
308,280504,0,249017,0,70128,0,0
309,280504,0,0,0,0,280504,0
310,0,0,0,0,0,0,35063
311,0,0,0,0,0,0,0
312,0,35063,0,280504,243146,35063,0
313,0,284080,105189,0,280504,0,243146
314,424332,0,280504,105189,0,0,0
315,0,35063,0,284080,211659,280504,284088
316,140252,0,0,0,0,0,0
317,0,0,0,280504,213954,35064,0
318,0,208083,284080,0,0,0,140252
319,175315,0,0,0,0,0,0
320,280512,0,278209,0,210378,0,0
321,245434,0,280504,0,0,210378,35063
322,0,0,140252,0,0,67831,35063
323,0,0,245441,0,0,0,0
324,245441,175315,0,70126,0,278209,280512
325,140256,280498,0,0,0,105189,0
326,483997,0,245448,0,0,0,70126
327,0,0,453528,0,0,245441,210378
328,0,175315,280504,245448,140252,0,0
329,105189,0,0,67831,0,280512,280504
330,0,280504,280504,0,0,0,0
331,35063,0,0,0,0,0,0
332,0,284080,70126,0,0,0,0
333,0,280504,249017,0,0,208083,0
334,0,135660,0,210378,0,0,178891
335,0,0,0,0,0,346040,0
336,280504,0,0,0,0,280504,280504
337,245441,0,0,0,0,284088,0
338,0,0,0,280504,280504,0,245434
339,280504,280504,0,210372,0,0,0
340,0,0,0,0,0,0,0
341,280504,0,140256,0,0,284080,140252
342,175315,0,0,0,0,0,0
343,315568,35063,0,280504,0,210378,0
