w/s,node156,node157
319,362.0,355.56
320,365.98,389.32
321,363.64,354.08
322,336.27,409.28
323,316.0,329.59
324,348.98,374.23
325,430.0,414.29
326,353.54,367.0
327,394.95,379.8
328,286.73,344.9
329,475.0,379.0
330,341.41,363.54
331,365.0,301.98
332,296.0,388.0
333,439.0,371.13
334,539.8,421.43
335,426.53,572.45
336,513.13,371.72
337,341.24,319.39
338,295.15,312.24
339,456.12,434.34
340,389.8,352.0
341,393.81,466.33
342,432.32,491.92
343,419.19,392.78
344,487.63,512.12
345,393.07,405.05
346,386.6,372.0
347,352.0,383.51
348,348.98,322.22
349,305.0,329.0
350,495.83,452.0
351,476.0,375.51
352,457.0,320.0
353,370.71,428.87
354,269.0,268.37
355,351.04,413.27
356,439.39,387.88
357,379.59,385.0
358,329.7,441.0
359,510.31,477.55
360,427.84,500.0
361,470.41,451.55
362,368.37,415.62
363,507.07,481.82
364,356.0,262.63
365,391.84,330.61
366,546.53,576.77
367,367.35,319.19
368,542.27,525.77
369,423.76,424.74
370,363.27,385.0
371,473.27,477.78
372,346.94,354.0
373,360.2,311.0
374,395.96,436.73
375,362.75,457.29
376,393.88,374.0
377,403.0,345.45
378,385.0,387.25
379,335.64,389.9
380,453.06,485.71
381,340.4,338.38
382,355.0,366.33
383,402.02,524.74
384,367.0,320.0
385,425.77,408.33
386,350.51,384.16
387,388.54,317.17
388,393.94,398.97
389,312.24,325.51
390,396.04,415.0
391,321.43,357.58
392,371.29,332.32
393,519.59,451.55
394,112.37,0.0
395,0.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
