kbinact,node152
0,233552.0
1,233552.0
2,233552.0
3,233552.0
4,233552.0
5,233556.0
6,233552.0
7,233552.0
8,233552.0
9,233552.0
10,233552.0
11,233552.0
12,233552.0
13,233552.0
14,233552.0
15,233552.0
16,233552.0
17,233552.0
18,233552.0
19,233552.0
20,233556.0
21,233552.0
22,233552.0
23,233552.0
24,233552.0
25,233552.0
26,233552.0
27,233552.0
28,233552.0
29,233552.0
30,233552.0
31,233552.0
32,233552.0
33,233552.0
34,233552.0
35,233552.0
36,233552.0
37,233552.0
38,233552.0
39,233556.0
40,233552.0
41,233552.0
42,233552.0
43,233552.0
44,233552.0
45,233556.0
46,233552.0
47,233552.0
48,233552.0
49,233552.0
50,233552.0
51,233552.0
52,233552.0
53,233552.0
54,233552.0
55,233552.0
56,233552.0
57,233556.0
58,233552.0
59,233552.0
60,233552.0
61,233552.0
62,233552.0
63,233556.0
64,233552.0
65,233552.0
66,233552.0
67,233552.0
68,233552.0
69,233552.0
70,233552.0
71,233552.0
72,233556.0
73,233552.0
74,233552.0
75,233556.0
76,233556.0
77,233556.0
78,233552.0
79,233552.0
80,233552.0
81,233552.0
82,233552.0
83,233552.0
84,233552.0
85,233552.0
86,233552.0
87,233552.0
88,233552.0
89,233552.0
90,233552.0
91,233552.0
92,233552.0
93,233556.0
94,233552.0
95,233552.0
96,233556.0
97,233552.0
98,233552.0
99,233552.0
100,233552.0
101,233552.0
102,233552.0
103,233552.0
104,233552.0
105,233552.0
106,233552.0
107,233552.0
108,233552.0
109,233552.0
110,233552.0
111,233552.0
112,233552.0
113,233552.0
114,233556.0
115,233556.0
116,233552.0
117,233552.0
118,233552.0
119,233552.0
120,233552.0
121,233552.0
122,233552.0
123,233552.0
124,233552.0
125,233552.0
126,233552.0
127,233552.0
128,233552.0
129,233552.0
130,233552.0
131,233552.0
132,233556.0
133,233552.0
134,233552.0
135,233552.0
136,233556.0
137,233552.0
138,233552.0
139,233552.0
140,233552.0
141,233552.0
142,233552.0
143,233552.0
144,233552.0
145,233552.0
146,233552.0
147,233552.0
148,233552.0
149,233552.0
150,233556.0
151,233556.0
152,233552.0
153,233552.0
154,233552.0
155,233552.0
156,233552.0
157,233552.0
158,233552.0
159,233552.0
160,233552.0
161,233552.0
162,233552.0
163,233552.0
164,233552.0
165,233552.0
166,233552.0
167,233556.0
168,233556.0
169,233556.0
170,233556.0
171,233560.0
172,233556.0
173,233552.0
174,233552.0
175,233552.0
176,233552.0
177,233552.0
178,233552.0
179,233552.0
180,233552.0
181,233552.0
182,233552.0
183,233552.0
184,233552.0
185,233552.0
186,233552.0
187,233552.0
188,233552.0
189,233556.0
190,233552.0
191,233552.0
192,233552.0
193,233552.0
194,233552.0
195,233552.0
196,233552.0
197,233552.0
198,233552.0
199,233552.0
200,233552.0
201,233552.0
202,233552.0
203,233552.0
204,233552.0
205,233552.0
206,233556.0
207,233552.0
208,233552.0
209,233552.0
210,233552.0
211,233552.0
212,233552.0
213,233552.0
214,233552.0
215,233552.0
216,233552.0
217,233552.0
218,233552.0
219,233552.0
220,233552.0
221,233552.0
222,233552.0
223,233552.0
224,233552.0
225,233556.0
226,233552.0
227,233552.0
228,233552.0
229,233552.0
230,233552.0
231,233552.0
232,233552.0
233,233552.0
234,233552.0
235,233556.0
236,233556.0
237,233552.0
238,233552.0
239,233552.0
240,233552.0
241,233552.0
242,233552.0
243,233552.0
244,233556.0
245,233552.0
246,233552.0
247,233552.0
248,233552.0
249,233552.0
250,233552.0
251,233556.0
252,233552.0
253,233552.0
254,233552.0
255,233552.0
256,233552.0
257,233552.0
258,233552.0
259,233552.0
260,233552.0
261,233552.0
262,233556.0
263,233560.0
264,233552.0
265,233552.0
266,233552.0
267,233552.0
268,233552.0
269,233552.0
270,233552.0
271,233552.0
272,233556.0
273,233552.0
274,233552.0
275,233552.0
276,233552.0
277,233552.0
278,233552.0
279,233552.0
280,233552.0
281,233552.0
282,233556.0
283,233552.0
284,233552.0
285,233552.0
286,233552.0
287,233552.0
288,233552.0
289,233552.0
290,233552.0
291,233552.0
292,233552.0
293,233556.0
294,233552.0
295,233552.0
296,233552.0
297,233552.0
298,233552.0
299,233552.0
300,233552.0
301,233556.0
302,233552.0
303,233552.0
304,233552.0
305,233552.0
306,233552.0
307,233552.0
308,233552.0
309,233552.0
310,233552.0
311,233552.0
312,233552.0
313,233552.0
314,233552.0
315,233552.0
316,233548.0
317,233548.0
318,233548.0
319,233548.0
320,233548.0
321,233552.0
322,233548.0
323,233548.0
324,233548.0
325,233548.0
326,233548.0
327,233548.0
328,233548.0
329,233548.0
330,233548.0
331,233548.0
332,233548.0
333,233548.0
334,233548.0
335,233548.0
336,233552.0
337,233548.0
338,233548.0
339,233548.0
340,233548.0
341,233548.0
342,233548.0
343,233548.0
344,233548.0
345,233548.0
346,233548.0
347,233548.0
348,233548.0
349,233548.0
350,233552.0
351,233548.0
352,233552.0
353,233552.0
354,233548.0
355,233552.0
356,233548.0
357,233548.0
358,233548.0
359,233548.0
360,233548.0
361,233548.0
362,233548.0
363,233548.0
364,233548.0
365,233548.0
366,233548.0
367,233548.0
368,233548.0
369,233548.0
370,233548.0
371,233548.0
372,233548.0
373,233552.0
374,233548.0
375,233548.0
376,233548.0
377,233548.0
378,233548.0
379,233548.0
380,233548.0
381,233548.0
382,233548.0
383,233548.0
384,233548.0
385,233548.0
386,233548.0
387,233548.0
388,233548.0
389,233548.0
390,233548.0
391,233548.0
392,233552.0
393,233548.0
394,233548.0
395,233548.0
396,233548.0
397,233548.0
398,233548.0
399,233548.0
