stat_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
1,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
2,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
3,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
4,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
5,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
6,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
7,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
8,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
9,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
10,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
11,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
12,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
13,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
14,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
15,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
16,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
17,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
18,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
19,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
20,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
21,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
22,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
23,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
24,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
25,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104,72709423104
