await,node153,node154
259,104.913,4.64333
260,0.0,457.87
261,670.117,377.01
262,53.97,0.0
263,0.0,0.906667
264,23.79,7.29
265,2.77667,1.54667
266,133.743,68.84
267,52.99,517.787
268,476.697,294.523
269,67.6867,231.03
270,0.0,1.25
271,2.12667,2.05667
272,27.9167,26.8867
273,2.01,4.60667
274,8.42333,17.3033
275,0.0,916.257
276,1212.91,69.71
277,256.727,0.0
278,53.0367,0.84
279,2.24,1.96333
280,2.61667,1.69
281,4.07333,20.8333
282,80.07,332.147
283,334.103,833.683
284,799.15,401.7
285,5.05,0.666667
286,1.04667,1.62333
287,2.74333,3.60333
288,3.78,5.55
289,3.52667,81.8167
290,89.0967,216.057
291,697.087,552.407
292,437.447,530.08
293,0.0,0.0
294,1.31667,1.36333
295,2.76,1.74667
296,9.05333,4.16
297,34.0233,30.92
298,436.077,468.387
299,568.493,747.163
300,123.293,383.357
301,0.333333,0.893333
302,2.82667,2.03333
303,2.91,1.81333
304,8.55333,3.06333
305,99.1233,119.17
306,0.0,1227.21
307,602.417,121.73
308,3.17667,0.0
309,1.78,1.46667
310,38.34,1.27
311,104.82,1.62333
312,14.25,52.5967
313,2.22667,0.0
314,664.0,414.913
315,222.777,0.713333
316,18.06,0.813333
317,1.78333,1.27333
318,2.32333,2.18333
319,11.0533,31.7333
320,44.8667,0.0
321,260.793,797.833
322,427.853,678.36
323,23.04,0.833333
324,1.62,55.1133
325,9.72,6.05
326,2.78667,29.01
327,7.22667,52.5267
328,308.893,337.353
329,1094.06,1052.43
330,259.333,175.67
331,0.333333,1.34333
332,2.22667,4.42667
333,4.8,2.57333
334,8.57667,3.23333
335,41.7133,152.36
336,511.393,666.38
337,1379.83,404.033
338,454.033,0.0666667
339,0.0,1.15
340,3.32667,4.52667
341,2.56667,1.73667
342,36.4533,7.42667
343,29.7667,443.603
344,610.56,320.413
345,534.593,583.58
346,103.44,0.12
347,0.0,0.74
348,3.62667,1.92667
349,3.15,1.87
350,2.65333,7.54
351,98.5333,310.413
352,440.367,877.493
353,620.667,525.577
354,105.313,0.0
355,0.0,1.08
356,3.51,14.1867
357,2.40333,1.71667
358,10.05,2.61
359,5.11667,240.08
360,289.107,717.697
361,228.89,257.813
362,0.333333,0.0
363,1.50667,1.97667
364,2.48,1.92667
365,29.6567,3.06
366,43.4767,99.25
367,254.9,654.747
368,388.42,347.157
369,71.0233,0.0
370,0.443333,1.42
371,70.3167,50.7767
372,22.7767,1.25667
373,2.40667,16.8367
374,10.21,437.81
375,389.817,426.113
376,148.183,0.556667
377,38.1167,71.07
378,1.13,1.32667
379,2.62667,25.13
380,2.8,9.69667
381,26.15,190.033
382,320.373,442.253
383,340.527,741.68
384,122.193,0.0
385,0.0,1.01333
386,6.18,1.14
387,5.33667,3.06
388,27.4033,91.6733
389,160.53,447.117
390,659.827,599.913
391,118.0,25.99
392,0.0,0.396667
393,3.54,1.73333
394,6.80667,2.43667
395,46.48,1.82
396,17.51,171.33
397,495.287,409.877
398,374.973,475.867
399,13.74,0.0
