stat_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
0,16344154112,16344154112,16344154112
1,16344154112,16344154112,16344154112
2,16344154112,16344154112,16344154112
3,16344154112,16344154112,16344154112
4,16344154112,16344154112,16344154112
5,16344154112,16344154112,16344154112
6,16344154112,16344154112,16344154112
7,16344154112,16344154112,16344154112
8,16344154112,16344154112,16344154112
9,16344154112,16344154112,16344154112
10,16344154112,16344154112,16344154112
11,16344154112,16344154112,16344154112
12,16344154112,16344154112,16344154112
13,16344154112,16344154112,16344154112
14,16344154112,16344154112,16344154112
15,16344154112,16344154112,16344154112
16,16344154112,16344154112,16344154112
17,16344154112,16344154112,16344154112
18,16344154112,16344154112,16344154112
19,16344154112,16344154112,16344154112
20,16344154112,16344154112,16344154112
21,16344154112,16344154112,16344154112
22,16344154112,16344154112,16344154112
23,16344154112,16344154112,16344154112
24,16344154112,16344154112,16344154112
25,16344154112,16344154112,16344154112
26,16344154112,16344154112,16344154112
27,16344154112,16344154112,16344154112
28,16344154112,16344154112,16344154112
29,16344154112,16344154112,16344154112
30,16344154112,16344154112,16344154112
31,16344154112,16344154112,16344154112
32,16344154112,16344154112,16344154112
33,16344154112,16344154112,16344154112
34,16344154112,16344154112,16344154112
35,16344154112,16344154112,16344154112
36,16344154112,16344154112,16344154112
37,16344154112,16344154112,16344154112
38,16344154112,16344154112,16344154112
39,16344154112,16344154112,16344154112
40,16344154112,16344154112,16344154112
41,16344154112,16344154112,16344154112
42,16344154112,16344154112,16344154112
43,16344154112,16344154112,16344154112
44,16344154112,16344154112,16344154112
45,16344154112,16344154112,16344154112
46,16344154112,16344154112,16344154112
47,16344154112,16344154112,16344154112
48,16344154112,16344154112,16344154112
49,16344154112,16344154112,16344154112
50,16344154112,16344154112,16344154112
51,16344154112,16344154112,16344154112
52,16344154112,16344154112,16344154112
53,16344154112,16344154112,16344154112
54,16344154112,16344154112,16344154112
55,16344154112,16344154112,16344154112
56,16344154112,16344154112,16344154112
57,16344154112,16344154112,16344154112
58,16344154112,16344154112,16344154112
59,16344154112,16344154112,16344154112
60,16344154112,16344154112,16344154112
61,16344154112,16344154112,16344154112
62,16344154112,16344154112,16344154112
63,16344154112,16344154112,16344154112
64,16344154112,16344154112,16344154112
65,16344154112,16344154112,16344154112
66,16344154112,16344154112,16344154112
67,16344154112,16344154112,16344154112
68,16344154112,16344154112,16344154112
69,16344154112,16344154112,16344154112
70,16344154112,16344154112,16344154112
71,16344154112,16344154112,16344154112
72,16344154112,16344154112,16344154112
73,16344154112,16344154112,16344154112
74,16344154112,16344154112,16344154112
75,16344154112,16344154112,16344154112
76,16344154112,16344154112,16344154112
77,16344154112,16344154112,16344154112
78,16344154112,16344154112,16344154112
79,16344154112,16344154112,16344154112
80,16344154112,16344154112,16344154112
81,16344154112,16344154112,16344154112
82,16344154112,16344154112,16344154112
83,16344154112,16344154112,16344154112
84,16344154112,16344154112,16344154112
85,16344154112,16344154112,16344154112
86,16344154112,16344154112,16344154112
87,16344154112,16344154112,16344154112
88,16344154112,16344154112,16344154112
89,16344154112,16344154112,16344154112
90,16344154112,16344154112,16344154112
91,16344154112,16344154112,16344154112
92,16344154112,16344154112,16344154112
93,16344154112,16344154112,16344154112
94,16344154112,16344154112,16344154112
95,16344154112,16344154112,16344154112
96,16344154112,16344154112,16344154112
97,16344154112,16344154112,16344154112
98,16344154112,16344154112,16344154112
99,16344154112,16344154112,16344154112
100,16344154112,16344154112,16344154112
101,16344154112,16344154112,16344154112
102,16344154112,16344154112,16344154112
103,16344154112,16344154112,16344154112
104,16344154112,16344154112,16344154112
105,16344154112,16344154112,16344154112
106,16344154112,16344154112,16344154112
107,16344154112,16344154112,16344154112
108,16344154112,16344154112,16344154112
109,16344154112,16344154112,16344154112
110,16344154112,16344154112,16344154112
111,16344154112,16344154112,16344154112
112,16344154112,16344154112,16344154112
113,16344154112,16344154112,16344154112
114,16344154112,16344154112,16344154112
115,16344154112,16344154112,16344154112
116,16344154112,16344154112,16344154112
117,16344154112,16344154112,16344154112
118,16344154112,16344154112,16344154112
119,16344154112,16344154112,16344154112
120,16344154112,16344154112,16344154112
121,16344154112,16344154112,16344154112
122,16344154112,16344154112,16344154112
123,16344154112,16344154112,16344154112
124,16344154112,16344154112,16344154112
125,16344154112,16344154112,16344154112
126,16344154112,16344154112,16344154112
127,16344154112,16344154112,16344154112
128,16344154112,16344154112,16344154112
129,16344154112,16344154112,16344154112
130,16344154112,16344154112,16344154112
131,16344154112,16344154112,16344154112
132,16344154112,16344154112,16344154112
133,16344154112,16344154112,16344154112
134,16344154112,16344154112,16344154112
135,16344154112,16344154112,16344154112
136,16344154112,16344154112,16344154112
137,16344154112,16344154112,16344154112
138,16344154112,16344154112,16344154112
139,16344154112,16344154112,16344154112
140,16344154112,16344154112,16344154112
141,16344154112,16344154112,16344154112
142,16344154112,16344154112,16344154112
143,16344154112,16344154112,16344154112
144,16344154112,16344154112,16344154112
145,16344154112,16344154112,16344154112
146,16344154112,16344154112,16344154112
147,16344154112,16344154112,16344154112
148,16344154112,16344154112,16344154112
149,16344154112,16344154112,16344154112
150,16344154112,16344154112,16344154112
151,16344154112,16344154112,16344154112
152,16344154112,16344154112,16344154112
153,16344154112,16344154112,16344154112
154,16344154112,16344154112,16344154112
155,16344154112,16344154112,16344154112
156,16344154112,16344154112,16344154112
157,16344154112,16344154112,16344154112
158,16344154112,16344154112,16344154112
159,16344154112,16344154112,16344154112
160,16344154112,16344154112,16344154112
161,16344154112,16344154112,16344154112
162,16344154112,16344154112,16344154112
163,16344154112,16344154112,16344154112
164,16344154112,16344154112,16344154112
165,16344154112,16344154112,16344154112
166,16344154112,16344154112,16344154112
167,16344154112,16344154112,16344154112
168,16344154112,16344154112,16344154112
169,16344154112,16344154112,16344154112
170,16344154112,16344154112,16344154112
171,16344154112,16344154112,16344154112
172,16344154112,16344154112,16344154112
173,16344154112,16344154112,16344154112
174,16344154112,16344154112,16344154112
175,16344154112,16344154112,16344154112
176,16344154112,16344154112,16344154112
177,16344154112,16344154112,16344154112
178,16344154112,16344154112,16344154112
179,16344154112,16344154112,16344154112
180,16344154112,16344154112,16344154112
181,16344154112,16344154112,16344154112
182,16344154112,16344154112,16344154112
183,16344154112,16344154112,16344154112
184,16344154112,16344154112,16344154112
185,16344154112,16344154112,16344154112
186,16344154112,16344154112,16344154112
187,16344154112,16344154112,16344154112
188,16344154112,16344154112,16344154112
189,16344154112,16344154112,16344154112
190,16344154112,16344154112,16344154112
191,16344154112,16344154112,16344154112
192,16344154112,16344154112,16344154112
193,16344154112,16344154112,16344154112
194,16344154112,16344154112,16344154112
195,16344154112,16344154112,16344154112
196,16344154112,16344154112,16344154112
197,16344154112,16344154112,16344154112
198,16344154112,16344154112,16344154112
199,16344154112,16344154112,16344154112
200,16344154112,16344154112,16344154112
201,16344154112,16344154112,16344154112
202,16344154112,16344154112,16344154112
203,16344154112,16344154112,16344154112
204,16344154112,16344154112,16344154112
205,16344154112,16344154112,16344154112
206,16344154112,16344154112,16344154112
207,16344154112,16344154112,16344154112
208,16344154112,16344154112,16344154112
209,16344154112,16344154112,16344154112
210,16344154112,16344154112,16344154112
211,16344154112,16344154112,16344154112
212,16344154112,16344154112,16344154112
213,16344154112,16344154112,16344154112
214,16344154112,16344154112,16344154112
215,16344154112,16344154112,16344154112
216,16344154112,16344154112,16344154112
217,16344154112,16344154112,16344154112
218,16344154112,16344154112,16344154112
219,16344154112,16344154112,16344154112
220,16344154112,16344154112,16344154112
221,16344154112,16344154112,16344154112
222,16344154112,16344154112,16344154112
223,16344154112,16344154112,16344154112
224,16344154112,16344154112,16344154112
225,16344154112,16344154112,16344154112
226,16344154112,16344154112,16344154112
227,16344154112,16344154112,16344154112
228,16344154112,16344154112,16344154112
229,16344154112,16344154112,16344154112
230,16344154112,16344154112,16344154112
231,16344154112,16344154112,16344154112
232,16344154112,16344154112,16344154112
233,16344154112,16344154112,16344154112
234,16344154112,16344154112,16344154112
235,16344154112,16344154112,16344154112
236,16344154112,16344154112,16344154112
237,16344154112,16344154112,16344154112
238,16344154112,16344154112,16344154112
239,16344154112,16344154112,16344154112
240,16344154112,16344154112,16344154112
241,16344154112,16344154112,16344154112
242,16344154112,16344154112,16344154112
243,16344154112,16344154112,16344154112
244,16344154112,16344154112,16344154112
245,16344154112,16344154112,16344154112
246,16344154112,16344154112,16344154112
247,16344154112,16344154112,16344154112
248,16344154112,16344154112,16344154112
249,16344154112,16344154112,16344154112
250,16344154112,16344154112,16344154112
251,16344154112,16344154112,16344154112
252,16344154112,16344154112,16344154112
253,16344154112,16344154112,16344154112
254,16344154112,16344154112,16344154112
255,16344154112,16344154112,16344154112
256,16344154112,16344154112,16344154112
257,16344154112,16344154112,16344154112
258,16344154112,16344154112,16344154112
259,16344154112,16344154112,16344154112
260,16344154112,16344154112,16344154112
