kbinact,node164,node165,node166
189,1025488.0,1041564.0,1058880.0
190,1023072.0,1036028.0,1066204.0
191,1027064.0,1032964.0,1059900.0
192,1026024.0,1038820.0,1057064.0
193,1031060.0,1047612.0,1057940.0
194,1024408.0,1057040.0,1055920.0
195,1033832.0,1041836.0,1066876.0
196,1025512.0,1042232.0,1046976.0
197,1013736.0,1040120.0,1057524.0
198,1032064.0,1044328.0,1069312.0
199,1021832.0,1051924.0,1057528.0
200,1023368.0,1057080.0,1051424.0
201,1020300.0,1043488.0,1059976.0
202,1014380.0,1044232.0,1059756.0
203,1019684.0,1050052.0,1071800.0
204,1029048.0,1043688.0,1071504.0
205,1028656.0,1040480.0,1074472.0
206,1022820.0,1043508.0,1081936.0
207,1023052.0,1044500.0,1065300.0
208,1016080.0,1044848.0,1058516.0
209,1020872.0,1052540.0,1058468.0
210,1025824.0,1051720.0,1062256.0
211,1038060.0,1038164.0,1073044.0
212,1031420.0,1041004.0,1069136.0
213,1030912.0,1042248.0,1066360.0
214,1031740.0,1056816.0,1064104.0
215,1039348.0,1056480.0,1065716.0
216,1036108.0,1043520.0,1063608.0
217,1038752.0,1040076.0,1067108.0
218,1027236.0,1036420.0,1072140.0
219,1039992.0,1047880.0,1082716.0
220,1031168.0,1047540.0,1076456.0
221,1027840.0,1048248.0,1072472.0
222,1025940.0,1032976.0,1078972.0
223,1021920.0,1046740.0,1073940.0
224,1020600.0,1052536.0,1081576.0
225,1029956.0,1056084.0,1083120.0
226,1030104.0,1051296.0,1069532.0
227,1028388.0,1046172.0,1076148.0
228,1024580.0,1048396.0,1075252.0
229,1033152.0,1058424.0,1075708.0
230,1046572.0,1051740.0,1064460.0
231,1043712.0,1049936.0,1065728.0
232,1044216.0,1055672.0,1064780.0
233,1033724.0,1057296.0,1063972.0
234,1042024.0,1052420.0,1070672.0
235,1050040.0,1061008.0,1074768.0
236,1062548.0,1050672.0,1063440.0
237,1054820.0,1043444.0,1064596.0
238,1045932.0,1038256.0,1078340.0
239,1052864.0,1025132.0,1070492.0
240,1048608.0,1032608.0,1071360.0
241,1054000.0,1036600.0,1073120.0
242,1051636.0,1044888.0,1073412.0
243,1053600.0,1038404.0,1074632.0
244,1032116.0,1029400.0,1073012.0
245,1034416.0,1036144.0,1074580.0
246,1030488.0,1043332.0,1073700.0
247,1035016.0,1046860.0,1078280.0
248,1035240.0,1037880.0,1079196.0
249,1030068.0,1039932.0,1067732.0
250,1030672.0,1054592.0,1068448.0
251,1039720.0,1051972.0,1081472.0
252,1042244.0,1041992.0,1084756.0
253,1055144.0,1041064.0,1088684.0
254,1050776.0,1045740.0,1069408.0
255,1028728.0,1043252.0,1078744.0
256,1034040.0,1046208.0,1084852.0
257,1044968.0,1043972.0,1081692.0
258,1045532.0,1038672.0,1080828.0
259,1044016.0,1045180.0,1076724.0
260,1046368.0,1037488.0,1078408.0
261,1049072.0,1042864.0,1072244.0
262,1056364.0,1060564.0,1072732.0
263,1057324.0,1063932.0,1074516.0
264,1058952.0,1057344.0,1075520.0
265,1039840.0,1045644.0,1070360.0
266,1049472.0,1053808.0,1078152.0
267,1057232.0,1049424.0,1081480.0
268,1063496.0,1052468.0,1074356.0
269,1051608.0,1045332.0,1074724.0
270,1025736.0,1051192.0,1065444.0
271,1030596.0,1063588.0,1068848.0
272,1036028.0,1054708.0,1078932.0
273,1039084.0,1053032.0,1073108.0
274,1042112.0,1058124.0,1075208.0
275,1050868.0,1048764.0,1081536.0
276,1028012.0,1043252.0,1076168.0
277,1034064.0,1055296.0,1081888.0
278,1047176.0,1059684.0,1079132.0
279,1044280.0,1062360.0,1071392.0
280,1038604.0,1054860.0,1080892.0
281,1036508.0,1052148.0,1079960.0
282,1041220.0,1062936.0,1079508.0
283,1040552.0,1065596.0,1071452.0
284,1048476.0,1062076.0,1081448.0
285,1044304.0,1053848.0,1083916.0
286,1038916.0,1053196.0,1077164.0
287,1046548.0,1058956.0,1090956.0
288,1042816.0,1053004.0,1088092.0
289,1040904.0,1056180.0,1076672.0
290,1048500.0,1046516.0,1082148.0
291,1049784.0,1046864.0,1079128.0
292,1039840.0,1062532.0,1074864.0
293,1039940.0,1057624.0,1082244.0
294,1054148.0,1047596.0,1070284.0
295,1053432.0,1060772.0,1075484.0
296,1052216.0,1064764.0,1076584.0
297,1039452.0,1048672.0,1071680.0
298,1049708.0,1050120.0,1078888.0
299,1063880.0,1051984.0,1083020.0
300,1058268.0,1049456.0,1073204.0
301,1055204.0,1058684.0,1080652.0
302,1038972.0,1055152.0,1081644.0
303,1041360.0,1060308.0,1086716.0
304,1042560.0,1063224.0,1091632.0
305,1038620.0,1073508.0,1084816.0
306,1039608.0,1064536.0,1088608.0
307,1047632.0,1059636.0,1086312.0
308,1035312.0,1070184.0,1073036.0
309,1037536.0,1068036.0,1069380.0
310,1042916.0,1069252.0,1075560.0
311,1049968.0,1066380.0,1070164.0
312,1061948.0,1047092.0,1072880.0
313,1044812.0,1051520.0,1067736.0
314,1057864.0,1057588.0,1071648.0
315,1062100.0,1059044.0,1078832.0
316,1056720.0,1058180.0,1081848.0
317,1062020.0,1051908.0,1091660.0
318,1050904.0,1052756.0,1080852.0
319,1044800.0,1054220.0,1085708.0
320,1056480.0,1053112.0,1095268.0
321,1055348.0,1055012.0,1091868.0
322,1063796.0,1054944.0,1091496.0
323,1046244.0,1058816.0,1079832.0
324,1058936.0,1064948.0,1074028.0
325,1066968.0,1071748.0,1076524.0
326,1068648.0,1068244.0,1073268.0
327,1069776.0,1059860.0,1082924.0
328,1048620.0,1058744.0,1083396.0
329,1045144.0,1062476.0,1092012.0
330,1063220.0,1065452.0,1098732.0
331,1052728.0,1058484.0,1089188.0
332,1053032.0,1064964.0,1096120.0
333,1056712.0,1060056.0,1090760.0
334,1056792.0,1057092.0,1086552.0
335,1053664.0,1058180.0,1093232.0
336,1071020.0,1056348.0,1101804.0
337,1070168.0,1057328.0,1083708.0
338,1065180.0,1052200.0,1096248.0
339,1057876.0,1055260.0,1095128.0
340,1050292.0,1054960.0,1100020.0
341,1045628.0,1068524.0,1092864.0
342,1059632.0,1072036.0,1087228.0
343,1059216.0,1068784.0,1082688.0
344,1041028.0,1073008.0,1084464.0
345,1050408.0,1075780.0,1093452.0
346,1059772.0,1079244.0,1095596.0
347,1068408.0,1073620.0,1089112.0
348,1068548.0,1053192.0,1093008.0
349,1058504.0,1049472.0,1089112.0
350,1058800.0,1059128.0,1094684.0
351,1072908.0,1060256.0,1091328.0
352,1065332.0,1066932.0,1092084.0
353,1059620.0,1071056.0,1092060.0
354,1064924.0,1066816.0,1092780.0
355,1052128.0,1069004.0,1089328.0
356,1068656.0,1069896.0,1094520.0
357,1076080.0,1072772.0,1089392.0
358,1076800.0,1081272.0,1092276.0
359,1062600.0,1068104.0,1094112.0
360,1057472.0,1079380.0,1096552.0
361,1062284.0,1086532.0,1102244.0
362,1055700.0,1088624.0,1104276.0
363,1056924.0,1075956.0,1097616.0
364,1066196.0,1061904.0,1099680.0
365,1076600.0,1073424.0,1095912.0
366,1058912.0,1080400.0,1093168.0
367,1061668.0,1079616.0,1102100.0
368,1064252.0,1077696.0,1099796.0
369,1061820.0,1065100.0,1104196.0
370,1063112.0,1074572.0,1099368.0
371,1048004.0,1082248.0,1101604.0
372,1057380.0,1088500.0,1105728.0
373,1058680.0,1088996.0,1099096.0
374,1058872.0,1073104.0,1099232.0
375,1060076.0,1079704.0,1101584.0
376,1055124.0,1073132.0,1107192.0
377,1073556.0,1065288.0,1108816.0
378,1074544.0,1070736.0,1100296.0
379,1071148.0,1081116.0,1097252.0
380,1064416.0,1077132.0,1093648.0
381,1059892.0,1076416.0,1090140.0
382,1060640.0,1068716.0,1096872.0
383,1075912.0,1071080.0,1105568.0
384,1071416.0,1059004.0,1096328.0
385,1070328.0,1064732.0,1104176.0
386,1072700.0,1063484.0,1103072.0
387,1051908.0,1071100.0,1109816.0
388,1053940.0,1076952.0,1115904.0
389,1054396.0,1074828.0,1110784.0
390,1059804.0,1070104.0,1115688.0
391,1065444.0,1074704.0,1117684.0
392,1057160.0,1080204.0,1098476.0
393,1053464.0,1079908.0,1100232.0
394,1053816.0,1082544.0,1105252.0
395,1053972.0,1091476.0,1094568.0
396,1054096.0,1076040.0,1094232.0
397,1054356.0,1060584.0,1090520.0
398,1054540.0,1060616.0,1090540.0
399,1054720.0,1060880.0,1090836.0
