loadavg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
162,1137,1137,1137,1083,1083,1055,1055
163,1137,1137,1137,1083,1083,1055,1055
164,1137,1137,1137,1061,1083,1083,1083
165,1174,1174,1174,1061,1061,1083,1083
166,1174,1174,1174,1061,1061,1083,1083
167,1174,1174,1174,1061,1061,1083,1083
168,1174,1152,1174,1048,1061,1108,1083
169,1152,1152,1152,1048,1061,1108,1108
170,1152,1152,1152,1048,1048,1108,1108
171,1152,1152,1152,1048,1048,1108,1108
172,1152,1152,1152,1048,1048,1107,1108
173,1152,1152,1156,1048,1052,1107,1107
174,1156,1152,1156,1048,1052,1107,1107
175,1156,1156,1156,1048,1052,1107,1107
176,1156,1156,1175,1056,1056,1123,1107
177,1156,1156,1175,1056,1056,1123,1107
178,1175,1156,1175,1056,1056,1123,1123
179,1175,1175,1175,1056,1056,1123,1123
180,1175,1175,1175,1056,1056,1123,1123
181,1175,1175,1175,1056,1056,1145,1123
182,1175,1175,1153,1056,1056,1145,1123
183,1153,1153,1153,1056,1035,1145,1123
184,1153,1153,1153,1056,1035,1145,1145
185,1153,1153,1141,1040,1040,1145,1145
186,1153,1153,1141,1040,1040,1145,1145
187,1141,1153,1141,1040,1040,1214,1145
188,1141,1141,1141,1040,1040,1214,1214
189,1141,1162,1141,1029,1040,1228,1214
190,1162,1162,1162,1029,1029,1228,1214
191,1162,1162,1162,1029,1029,1228,1228
192,1162,1162,1162,1029,1029,1228,1228
193,1205,1162,1205,1029,1029,1228,1228
194,1205,1162,1205,1029,1019,1218,1228
195,1205,1162,1205,1029,1019,1218,1228
196,1205,1205,1205,1019,1019,1218,1218
197,1197,1205,1205,1019,1019,1218,1218
198,1197,1197,1205,1019,1033,1218,1218
199,1197,1197,1205,1019,1033,1233,1218
200,1197,1197,1197,1033,1033,1233,1233
201,1197,1197,1197,1033,1033,1233,1233
202,1197,1197,1197,1033,1033,1233,1233
203,1213,1197,1197,1033,1031,1233,1246
204,1213,1213,1213,1031,1031,1246,1246
205,1213,1212,1213,1031,1031,1246,1246
206,1213,1212,1213,1031,1019,1246,1246
207,1212,1212,1213,1031,1019,1246,1246
208,1212,1212,1213,1019,1019,1246,1246
209,1212,1187,1212,1019,1019,1246,1246
210,1212,1187,1187,1019,1019,1250,1250
211,1212,1187,1187,1019,1019,1270,1250
212,1187,1187,1187,1011,1019,1270,1250
213,1187,1164,1187,1011,1011,1270,1270
214,1187,1164,1187,1011,1011,1270,1270
215,1187,1164,1187,1018,1018,1270,1270
216,1164,1164,1164,1018,1018,1270,1270
217,1164,1164,1164,1018,1018,1270,1270
218,1164,1143,1164,1018,1018,1270,1313
219,1143,1143,1143,1018,1018,1304,1313
220,1143,1143,1143,1018,1018,1304,1313
221,1143,1143,1143,1008,1018,1304,1304
222,1143,1195,1143,1008,1008,1304,1304
223,1143,1195,1195,1008,1008,1304,1304
224,1143,1195,1195,1016,1016,1304,1319
225,1195,1195,1196,1016,1016,1319,1319
226,1195,1195,1196,1016,1016,1319,1319
227,1196,1195,1196,1016,1016,1319,1319
228,1196,1196,1196,1016,1022,1319,1334
229,1196,1196,1196,1016,1022,1319,1334
230,1196,1196,1220,1022,1022,1319,1334
231,1196,1196,1220,1022,1022,1334,1334
232,1220,1196,1220,1022,1022,1334,1334
233,1220,1220,1220,1022,1022,1334,1347
234,1220,1187,1220,1013,1022,1334,1347
235,1220,1187,1220,1013,1022,1334,1347
236,1187,1187,1220,1011,1022,1351,1347
237,1187,1187,1187,1011,1011,1351,1351
238,1187,1164,1187,1011,1011,1351,1351
239,1187,1164,1187,1011,1011,1351,1351
240,1164,1164,1187,1027,1011,1351,1351
241,1164,1164,1164,1027,1011,1323,1351
242,1164,1164,1164,1027,1011,1323,1323
243,1164,1142,1142,1027,1027,1323,1323
244,1142,1142,1142,1027,1027,1323,1323
245,1142,1142,1142,1033,1033,1323,1323
246,1142,1142,1123,1033,1033,1323,1323
247,1123,1123,1123,1033,1033,1329,1323
248,1123,1123,1123,1033,1033,1329,1323
249,1123,1123,1123,1022,1033,1329,1329
250,1123,1123,1123,1022,1033,1359,1359
251,1113,1113,1113,1022,1022,1359,1359
252,1113,1113,1113,1022,1022,1359,1359
253,1113,1113,1113,1022,1022,1359,1359
254,1113,1113,1113,1028,1028,1359,1338
255,1113,1113,1112,1028,1028,1338,1338
256,1112,1113,1112,1028,1028,1338,1338
257,1112,1112,1112,1028,1028,1338,1338
258,1191,1112,1112,1028,1034,1338,1338
259,1191,1112,1112,1034,1034,1338,1319
260,1191,1112,1112,1034,1034,1338,1319
261,1191,1191,1191,1034,1034,1338,1319
262,1191,1191,1191,1034,1034,1319,1319
263,1208,1191,1191,1034,1015,1319,1326
264,1208,1191,1208,1034,1015,1319,1326
265,1208,1191,1208,1034,1015,1319,1326
266,1208,1208,1208,1015,1015,1326,1326
267,1215,1208,1208,1015,1038,1292,1326
268,1215,1208,1208,1015,1038,1292,1292
269,1215,1208,1208,1038,1038,1292,1292
270,1215,1215,1215,1038,1038,1292,1292
271,1215,1215,1215,1038,1038,1292,1260
272,1215,1198,1198,1038,1059,1292,1260
273,1215,1198,1198,1038,1059,1260,1260
274,1215,1198,1198,1059,1059,1260,1260
275,1182,1198,1198,1118,1118,1260,1260
276,1182,1182,1198,1118,1118,1264,1260
277,1182,1182,1182,1118,1118,1264,1260
278,1182,1182,1182,1118,1118,1264,1264
279,1182,1182,1182,1118,1118,1264,1264
280,1152,1182,1182,1109,1118,1234,1264
281,1152,1182,1152,1109,1118,1234,1264
282,1152,1182,1152,1109,1109,1234,1234
283,1152,1139,1152,1109,1109,1234,1234
284,1139,1139,1152,1109,1109,1234,1234
285,1139,1139,1139,1148,1109,1208,1208
286,1139,1139,1139,1148,1148,1208,1208
287,1139,1139,1139,1148,1148,1208,1208
288,1139,1139,1144,1144,1148,1208,1208
289,1139,1144,1144,1144,1148,1208,1208
290,1139,1144,1144,1144,1148,1208,1271
291,1144,1165,1144,1144,1144,1271,1271
292,1144,1165,1144,1133,1144,1271,1271
293,1165,1165,1144,1133,1144,1271,1271
294,1165,1165,1144,1133,1144,1271,1271
295,1165,1165,1168,1133,1144,1265,1271
296,1168,1165,1168,1154,1133,1265,1271
297,1168,1165,1168,1154,1133,1265,1265
298,1168,1165,1168,1154,1133,1265,1265
299,1168,1165,1168,1154,1154,1265,1265
300,1168,1170,1170,1154,1154,1236,1236
301,1168,1170,1170,1158,1158,1236,1236
302,1170,1170,1170,1158,1158,1236,1236
303,1170,1170,1170,1158,1158,1249,1236
304,1170,1170,1237,1158,1158,1249,1249
305,1237,1170,1237,1129,1129,1249,1249
306,1237,1237,1237,1129,1129,1249,1269
307,1237,1237,1237,1129,1129,1249,1269
308,1237,1237,1258,1129,1129,1269,1269
309,1237,1258,1258,1129,1129,1269,1269
310,1258,1258,1258,1129,1129,1269,1264
311,1258,1258,1258,1159,1159,1264,1264
