subop_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
109,0.012756,0,0.027615,0.003676,0,0,0.005807
110,0.020896,0,0.017387,0,0.004154,0.008584,0.00885
111,0.009688,0,0.017715,0.004337,0,0,0.008622
112,0.018153,0,0.018703,0.003675,0.004651,0.010776,0.005418
113,0,0.018811,0.014648,0.012507,0.007031,0.012859,0.005183
114,0.00526,0.016646,0,0.013125,0.013358,0.007187,0.02368
115,0.009455,0,0.013231,0.00353,0.004603,0,0.003953
116,0.016097,0,0.025461,0.00409,0,0.017248,0.011509
117,0.018907,0,0.013788,0.007176,0.004059,0.009164,0.008434
118,0,0.015338,0.00966,0.008571,0.007339,0.010024,0.014877
119,0,0,0.016219,0.00608,0.005979,0.006708,0
120,0.012436,0.014365,0.019693,0.003561,0.004023,0.011846,0.005238
121,0.014974,0,0,0.004049,0,0.005615,0.007057
122,0.026801,0.010372,0,0.009035,0.018808,0.015105,0
123,0.020983,0.016466,0,0.004933,0,0.004556,0.014062
124,0.010815,0.014711,0,0.006432,0,0.00462,0
125,0,0.02019,0,0,0.003853,0.024268,0.014395
126,0.020369,0.023269,0,0,0.005042,0.009583,0.016011
127,0.015865,0.010317,0.021919,0.004227,0.004499,0.00464,0
128,0,0.011524,0.014888,0.006914,0.004115,0.005486,0
129,0.0114,0,0.007287,0.005294,0.00985,0,0.004128
130,0.020617,0.014564,0.01353,0.005913,0,0.010983,0.009335
131,0.018345,0.004369,0,0.004154,0.00439,0.014838,0
132,0.019814,0,0.011466,0.011969,0.020359,0.025025,0
133,0.022725,0,0.007381,0.005654,0,0.014373,0.012375
134,0.015616,0.004193,0,0.006547,0,0.015428,0.017231
135,0.004567,0.006633,0,0.005164,0.01064,0.011892,0
136,0.011526,0,0,0.006912,0.013349,0,0.004022
137,0,0.019476,0.006592,0.009518,0,0.0153,0.007648
138,0.025064,0.018051,0.018978,0.004099,0.003738,0,0.005348
139,0.024231,0,0.022964,0.014908,0.008889,0,0.009797
140,0,0.004128,0,0.023967,0.011293,0,0
141,0,0.00649,0.017262,0.01031,0,0,0.018452
142,0,0,0.020489,0.00854,0.008382,0,0.006255
143,0.025672,0.018625,0,0.008492,0.006059,0.006543,0.01155
144,0,0.017912,0,0.005052,0,0.007718,0.005306
145,0.011632,0,0,0.025031,0.00967,0.012278,0.018023
146,0,0.020113,0.020631,0.00827,0.014311,0,0.005206
147,0,0,0.016282,0.01008,0.006036,0,0.004698
148,0,0,0.006181,0.00487,0,0.011229,0.008186
149,0.004139,0.019364,0.020463,0.00504,0.014806,0,0
150,0,0.013227,0.019432,0.007704,0.005243,0.00545,0
151,0.018099,0.013195,0.018109,0.010667,0.011698,0.004201,0.007482
152,0.009841,0,0.003393,0.013366,0.010074,0.007156,0.005351
153,0.018157,0.00729,0.019424,0.006177,0.023155,0.016842,0.017901
154,0.006222,0.017203,0.004942,0.010513,0.016495,0,0.003523
155,0.011753,0,0.010673,0.006171,0.009144,0,0.003996
156,0.005673,0,0.006496,0.004253,0,0,0.00654
157,0.007262,0.014859,0.006263,0.006954,0.005996,0.004554,0.007592
158,0.017008,0,0,0.007611,0.010826,0.00388,0.004295
159,0,0,0.005178,0.003807,0.010092,0.004996,0.007414
160,0,0.02427,0,0.007751,0.00408,0.008807,0.017912
161,0,0,0,0.007561,0.008957,0.019185,0.005573
162,0,0.020217,0,0.004861,0,0.010391,0
163,0,0.018592,0,0.01744,0.009614,0.010104,0.011845
164,0.005385,0.02265,0.017654,0.004951,0.005152,0.004714,0.009931
165,0.006569,0.020851,0,0.006114,0,0.004872,0.006058
166,0.005202,0.006669,0.009499,0.011644,0.009712,0.014944,0.00891
167,0.009521,0.00896,0,0.008337,0.018829,0.011319,0.010812
168,0.020563,0.012247,0.011419,0.013264,0.011806,0,0.011463
169,0,0.014542,0.014182,0.00409,0.015457,0.004268,0.022531
170,0,0.015007,0.015764,0.007527,0.010777,0.004038,0.016525
171,0.014623,0.016237,0.009891,0.005462,0.010716,0.012103,0.015541
172,0.005699,0,0,0,0.009097,0.005589,0.007986
173,0,0.022816,0.020911,0.011145,0.008668,0.009538,0.007571
174,0.005212,0.013877,0.015064,0.003975,0.004581,0,0
175,0.019397,0.019495,0,0.009574,0.002927,0.004743,0
176,0.017255,0.014401,0.00968,0.005608,0,0.012249,0
177,0.018623,0,0.011527,0.004052,0.008729,0.008242,0.007629
178,0.011038,0,0,0,0.004413,0.008168,0.009458
179,0.004846,0,0.015158,0.004179,0.00631,0.004436,0.010289
180,0.008867,0.01807,0.028881,0,0.011931,0.004902,0.008929
181,0,0,0,0.006413,0,0.012679,0.005807
182,0.014441,0.008984,0.023402,0.003921,0.008588,0.004147,0.014048
183,0.011719,0,0.016384,0.003646,0,0,0.007782
184,0,0.011601,0.009992,0.003586,0.005479,0.007029,0.008277
185,0,0,0.004526,0.007502,0.013097,0.003626,0.004631
186,0,0.014668,0.004242,0.004967,0.018818,0,0.018454
187,0.015449,0.021143,0,0.00692,0.012627,0.005318,0.016454
188,0.009774,0.018985,0,0.004217,0.008088,0.019667,0.008308
189,0,0.006332,0,0.005894,0.005225,0.007363,0.005527
190,0.017417,0.004847,0,0,0.007462,0.010395,0
191,0.024972,0.023494,0,0.005004,0,0.013775,0.009323
192,0.015403,0.021198,0,0.006466,0,0.014386,0.014601
193,0,0.003569,0,0.007179,0.009253,0,0.007817
194,0.015717,0.017973,0.01552,0.003855,0,0.008819,0.004361
195,0.020001,0.01868,0.015145,0,0.003654,0.016279,0.014162
196,0.016519,0.003932,0.022578,0.008213,0.009754,0.010198,0.019721
197,0.010737,0,0.00394,0.004882,0,0.004867,0
198,0.020093,0,0,0.008405,0.009182,0,0
199,0.006119,0.04065,0.006361,0.004616,0.004186,0.006605,0.016997
200,0.025785,0.021,0.033648,0.008293,0.009898,0.012973,0.008265
201,0.013589,0.014416,0,0,0,0,0
202,0,0.006333,0,0.006408,0.00597,0.00368,0.006881
203,0.004629,0,0.014569,0.007186,0.044603,0.008655,0.016169
204,0.014609,0.022413,0.022716,0.023668,0.010053,0.004805,0.020528
205,0,0,0,0,0.006721,0,0
206,0.020788,0,0.007702,0.005088,0.005878,0,0.00424
207,0,0.00799,0,0.009191,0.014156,0,0.008297
208,0,0,0.047457,0.016252,0.009852,0.016355,0.005076
209,0.024562,0,0.023573,0.00537,0.009919,0,0.005352
210,0,0,0,0,0.006136,0,0.014019
211,0.017459,0.005185,0,0.003988,0.00396,0.005811,0.005338
212,0.012723,0.026377,0,0.005338,0.006288,0,0.006568
213,0,0.013991,0.020962,0.026175,0.008915,0.009532,0.018677
214,0,0,0.010676,0.006828,0.033803,0.017317,0.009293
215,0,0,0.005053,0.005904,0.007984,0.003705,0
216,0,0,0,0.004048,0.018765,0.012272,0.006676
217,0.016608,0.017986,0.024476,0.010242,0.025845,0,0.011907
218,0.004229,0.007403,0,0.014142,0.003852,0,0
219,0.011664,0,0.004562,0.006178,0.003652,0.004323,0
220,0,0,0,0.006064,0.003641,0.013109,0
221,0.018784,0.019293,0.020014,0.003982,0.005318,0.01042,0
222,0.017501,0.018987,0.022435,0.007812,0,0.016322,0.012676
223,0.008556,0,0.010915,0.019341,0.013447,0.004768,0.012682
224,0.014972,0,0.008606,0.006929,0.008721,0.016266,0.009106
225,0.023143,0.019236,0.004631,0.005293,0.006629,0,0.004245
226,0.008782,0,0,0.014407,0.023066,0,0.010094
227,0,0,0.011218,0.007084,0.00918,0,0.004529
228,0,0.020489,0,0.004257,0,0.021955,0.010125
229,0,0.011234,0,0.009939,0.004503,0.007215,0
230,0,0.007547,0,0.010215,0.004027,0.019306,0.011386
231,0,0.018862,0,0.015383,0.012162,0.008462,0
232,0.013775,0.010158,0.006194,0.010705,0.007974,0,0.00985
233,0.004333,0.009251,0,0,0,0.007178,0.009237
234,0,0.019603,0.004196,0.012453,0,0.005065,0.004288
235,0.012943,0.010951,0,0.009981,0.0047,0.014972,0.015407
236,0.005069,0.004515,0.004158,0.006454,0,0.01597,0.016606
237,0,0.014174,0.007132,0.003788,0.004474,0,0.010658
238,0,0.014068,0.015859,0.004812,0.004847,0.006517,0.010319
239,0.031819,0,0.014859,0.004125,0.004981,0.014283,0.006808
240,0.00891,0.012111,0.016732,0.006914,0.003539,0.019123,0.004801
241,0.013284,0,0.007384,0.007582,0.015466,0.009376,0.01216
242,0.012475,0.010674,0.016113,0.008812,0.009851,0,0.014159
243,0.021267,0,0.016816,0.008448,0.004598,0.004083,0.004044
244,0.019614,0.021318,0,0.008489,0.007839,0.013747,0.020249
245,0,0.008711,0.006541,0.02135,0.015165,0.009025,0
246,0.013865,0,0.017835,0.004167,0.009219,0.004872,0
247,0.014411,0,0,0.004198,0,0.015324,0
248,0.024145,0.02024,0.020942,0.010323,0.004407,0.010099,0.005025
249,0.004208,0.008496,0,0.004205,0.010294,0.011423,0
250,0.0054,0,0,0.003848,0,0,0.010504
251,0.012177,0.015261,0,0,0.004737,0.011619,0
252,0.016631,0.02576,0.013507,0.003718,0,0.009307,0.009455
253,0.016431,0.007875,0.013188,0.014552,0.016584,0,0.01655
254,0,0.017467,0.009316,0.014322,0.003658,0.012901,0.006478
255,0.010596,0.019647,0.010947,0.00501,0.003838,0.004982,0.00805
256,0.014581,0.024186,0,0,0.004092,0.014233,0.003875
257,0.020255,0.016329,0,0.009382,0.003616,0,0.00333
258,0.010444,0.018177,0,0.006326,0,0,0.043769
259,0,0.011486,0,0,0.008209,0,0.00414
260,0.01255,0.004563,0,0.003937,0,0.006666,0.014162
261,0.010299,0.008004,0,0.004334,0,0.007774,0.007547
262,0.004764,0,0.010992,0.012226,0.009651,0.008665,0
263,0.012811,0.020539,0.00861,0.013725,0.012183,0.020751,0.004431
264,0.015903,0.012308,0.00609,0.004306,0,0.004393,0.008801
265,0,0,0.005264,0.00438,0.0042,0.015173,0.006928
266,0.004256,0,0,0.006517,0.003553,0,0.006817
267,0.004016,0.007503,0,0.005092,0.013798,0.015959,0.009966
268,0.01641,0.018834,0.013437,0.003314,0.014137,0.003997,0.005159
269,0.0207,0,0.015926,0.011335,0.007346,0.010582,0.005543
270,0.010873,0.01448,0,0.003713,0,0.005046,0
271,0,0.026648,0,0.011552,0.018635,0.00613,0
272,0.008904,0.011414,0,0.007317,0.010927,0.007559,0
273,0,0,0.004677,0.006762,0.013859,0,0.004731
274,0,0,0.01772,0.004474,0,0,0.008496
275,0.006594,0.018668,0.019121,0.018029,0.004044,0.003863,0.019928
276,0.019449,0.017746,0.028534,0.009413,0.024986,0.007662,0
277,0,0,0.015015,0.003757,0,0.005861,0.004932
278,0.015776,0,0,0.011829,0.008112,0,0.00615
279,0.019545,0.006066,0,0.010424,0.007566,0,0.004642
280,0,0,0.013827,0.014526,0.00871,0,0.00487
281,0,0,0,0.004986,0.012698,0.016461,0.00868
282,0,0,0.007627,0,0.010097,0.005375,0.004034
283,0,0,0,0.011843,0.008017,0.031684,0
284,0,0.004891,0.020933,0.004176,0.003962,0,0.005253
285,0.004381,0.0077,0,0.010135,0.015961,0.00469,0.007942
286,0.0045,0.025401,0.029421,0.014454,0.01797,0.005986,0.004034
287,0.010672,0.018457,0.020545,0.008005,0.012736,0,0.004969
288,0.012376,0.014903,0.011699,0.004251,0,0.015091,0.013902
289,0.003636,0,0.005526,0.006719,0.005951,0.004265,0.004338
290,0.020328,0.021655,0.011095,0.012243,0.0047,0,0
291,0.021351,0.018922,0.018743,0.010319,0.00632,0.004578,0
292,0.016701,0.018607,0.006665,0.011,0.006285,0.019956,0.003037
293,0.01306,0.014448,0,0.004201,0,0.00886,0.015588
294,0.019257,0,0,0.00421,0.005471,0.004178,0.010669
295,0,0,0.019555,0.006666,0.007021,0.004638,0.006557
296,0,0,0.018691,0.00675,0.020561,0,0.003975
297,0,0.004607,0,0.013465,0.01453,0,0.006025
298,0,0,0,0.00394,0.014131,0.011022,0.011359
299,0,0,0,0.004644,0,0,0.010362
300,0.012338,0.006479,0.018093,0,0.004918,0.010297,0.010535
301,0.003987,0.009804,0.004585,0.008446,0.009448,0.015778,0.014163
302,0,0.01885,0.019281,0.010284,0.016742,0.012121,0
303,0.024151,0.013011,0.016303,0.007573,0.009454,0,0
304,0.006025,0.022561,0.0064,0,0.003872,0.004417,0.005401
305,0,0.017693,0.012783,0,0.005173,0.00587,0.013862
306,0,0.018143,0.008999,0.009917,0.005813,0.003245,0
307,0.010434,0,0.009553,0,0,0.003655,0.003985
308,0.015366,0.020553,0.026035,0.012373,0,0.004712,0.003975
309,0.022228,0.011235,0.010538,0.010278,0.007608,0.011714,0.008732
310,0.005888,0.004611,0.005968,0.004402,0.004446,0.005033,0.00826
311,0.012412,0.008097,0.005697,0.012977,0.004084,0.003973,0.004709
312,0,0.02158,0.006481,0.013396,0.021067,0.020301,0.004518
313,0.009398,0,0.01972,0.010961,0.007175,0.004409,0.007917
314,0.009885,0,0,0.007519,0.00813,0.014611,0.012495
315,0.020512,0,0.021745,0.010688,0,0.015713,0
316,0.005294,0.021262,0,0.007706,0.008199,0,0.005246
317,0.020827,0,0,0.016448,0.021131,0.020456,0
318,0.018713,0,0,0.015626,0,0.004554,0
319,0.010155,0.018441,0.02152,0.003731,0.004479,0.005956,0.007681
320,0.02146,0.012398,0.007412,0.01282,0.004453,0.01321,0
321,0.022455,0,0.015009,0,0,0.005958,0.011055
322,0,0.006461,0.015809,0,0.017022,0,0.020008
323,0.010302,0,0.011683,0.0035,0,0.009197,0.014369
324,0,0.017896,0,0.003896,0.003923,0,0.011577
325,0.027662,0.020464,0,0.00426,0,0.018057,0.008674
326,0.017677,0.018393,0,0.003895,0.004044,0.023445,0.013609
327,0,0.020575,0,0.017677,0.003916,0.020486,0.021648
328,0.007013,0.020232,0,0.005406,0,0,0.010026
329,0.009778,0.007252,0,0.003609,0.0057,0,0.008837
330,0.014116,0,0.015525,0.004085,0,0,0.005172
331,0.016263,0.019423,0.008695,0.003954,0,0.017843,0.019943
332,0.021349,0.008292,0.019375,0.012293,0.00715,0.004672,0
333,0,0,0.010163,0.009071,0.00681,0.011825,0
334,0.017592,0,0,0.004054,0.007683,0.004967,0.004108
335,0.009127,0,0,0.009419,0,0.012782,0.011363
336,0.01971,0.009268,0.020818,0.004159,0.003765,0.019122,0.007357
337,0.013042,0,0.012721,0.004391,0.019202,0,0.013073
338,0.012412,0.015209,0,0.004549,0.014501,0.011564,0.008598
339,0,0.070365,0,0.003596,0.004172,0.004168,0
340,0.005172,0.009325,0,0.024722,0.009726,0.011726,0
341,0,0,0.010625,0.009697,0,0.005509,0.005352
342,0,0.00665,0,0.004169,0.00418,0.0056,0
343,0.017116,0.014923,0.023646,0.009494,0.011342,0.004319,0
344,0.006011,0.004993,0,0.003983,0.004292,0.015077,0.003458
345,0,0,0.014336,0.005041,0,0,0.01099
346,0.014507,0,0.003956,0,0.004141,0.00992,0.004446
347,0.021148,0.015832,0,0.010897,0.019211,0.003738,0
348,0,0.008476,0.00912,0.005021,0,0.004077,0.004111
349,0,0,0,0.007082,0.008899,0.006858,0.012503
350,0,0,0.020798,0.009228,0.008642,0,0.003968
351,0,0,0.006371,0.014184,0.008289,0,0.003651
352,0,0.008229,0,0.004503,0.011643,0.009325,0.009544
353,0.011918,0.007832,0.014511,0,0.008502,0,0.006489
354,0.020129,0.00947,0.003917,0.014777,0.01091,0.005863,0.055515
355,0.016481,0.004816,0.018062,0.003958,0.004812,0,0.009113
356,0.020316,0,0.004213,0.005956,0.01774,0.004383,0.008146
357,0.017327,0.017138,0.014316,0.012476,0.01009,0.004804,0.009366
358,0.021449,0.017988,0.01871,0.011823,0.008445,0.005554,0.008237
359,0.014016,0.020593,0.007833,0.011743,0.013615,0,0.004283
360,0.02163,0,0.017565,0.006308,0.009041,0.007204,0.004332
361,0.015957,0,0,0.012896,0.007411,0,0.012494
362,0,0,0,0.00888,0.043979,0.016726,0
363,0,0,0.019614,0.011078,0.008431,0.00554,0
364,0,0.004451,0.012628,0.005223,0.012257,0.010178,0.01111
365,0,0.006309,0,0.005725,0.011205,0.01234,0
366,0,0,0,0.006972,0.012927,0,0.004033
367,0.006277,0,0,0.011738,0.004415,0.009107,0.01042
368,0.008072,0.013915,0.010332,0.008366,0.013423,0,0.005038
369,0,0.013743,0,0.004204,0,0.012214,0.004046
370,0,0.015508,0.015673,0.008417,0,0.004383,0.005591
371,0.004672,0,0,0.015191,0.008971,0.009673,0.007601
372,0.010935,0,0.006475,0.005624,0.010312,0.014321,0.01587
373,0,0.026308,0.005262,0.01282,0.009664,0,0
374,0.018818,0.021929,0.022756,0,0.00496,0.007791,0.008955
375,0.018078,0,0.019003,0,0.004086,0,0.008926
376,0.00719,0.015586,0.021788,0.005934,0.006996,0.004092,0
377,0.015228,0.012873,0.011088,0.004129,0.008589,0.004237,0.00574
378,0.015006,0.027299,0.021167,0.004541,0.004131,0,0.0062
379,0.022243,0,0.011102,0.003779,0.014443,0.00447,0.006177
380,0,0.010682,0.013863,0,0.004044,0,0.006434
381,0.013922,0,0.01115,0.011853,0,0.006361,0.018003
382,0.006017,0,0.023935,0.010388,0.006134,0.006494,0.006695
383,0.010635,0.016491,0.021749,0.006198,0.008754,0.008433,0.011107
384,0.004633,0,0,0.010653,0.008336,0.00917,0.012857
385,0.016609,0,0,0.006331,0.011448,0.00408,0.017661
386,0.028668,0,0,0.005163,0.005543,0,0.010062
387,0.011962,0.007756,0.019962,0.004326,0.007161,0.010229,0.012308
388,0.008614,0.018194,0.010337,0.004051,0.003845,0,0
389,0.005774,0,0.007876,0.012506,0.007937,0.003877,0.005417
390,0,0.00444,0.004016,0.004181,0.010346,0.019444,0
391,0.017187,0,0.030398,0,0.008499,0.01759,0.013548
392,0,0.017835,0,0,0,0,0.00849
393,0.013465,0.012165,0,0,0.004228,0.006365,0.007783
394,0.00515,0.023866,0,0.006811,0,0.005661,0.008213
395,0.007133,0.01104,0,0.007136,0.004283,0.007738,0.008802
396,0.008949,0.016582,0,0.008387,0.008028,0,0.012399
397,0.019202,0.015865,0.006504,0.004001,0.003977,0.015982,0.004576
398,0.007154,0,0.004713,0.010506,0.013835,0.007554,0.008279
399,0,0.027225,0.019141,0.008493,0,0,0.015243
400,0.019033,0.014583,0.010352,0.013065,0.009301,0,0.008598
401,0,0,0.012643,0,0.004384,0,0.008558
402,0.003931,0,0,0.00385,0,0.004442,0.013389
403,0.003838,0.006842,0,0.016187,0.014065,0.009974,0.01457
404,0,0.031733,0.021384,0.012313,0.008603,0.020019,0
405,0.011514,0,0.008456,0.009499,0.005077,0.012373,0.011288
406,0.022039,0.008956,0,0.004616,0,0.009675,0
407,0,0,0,0.004027,0,0.005211,0.004942
408,0.019099,0.009373,0,0.00509,0.004486,0,0.017158
409,0.020293,0,0.004199,0.004932,0.024728,0.011952,0.010185
410,0,0.00946,0,0,0.004572,0.004046,0
411,0.010078,0,0.00557,0.01041,0.007609,0.004738,0
412,0.013064,0.019974,0,0.004136,0.008457,0.004332,0.004743
413,0,0,0.01793,0.003895,0.005994,0.006345,0
414,0.01935,0,0.003792,0.007063,0.013253,0.004147,0
415,0.016289,0.006951,0,0.003498,0.007614,0.021268,0
416,0,0,0.01741,0.006937,0,0,0.008227
417,0,0,0,0,0.008269,0.013677,0.004296
418,0,0,0.004566,0.00694,0.013234,0.004421,0
419,0,0,0,0.004976,0,0.003894,0.01087
420,0,0.004503,0.01889,0.005381,0.004633,0.017782,0.014368
421,0.010438,0.009673,0,0.012757,0.007464,0,0.004268
422,0.017002,0.015899,0.012328,0.018803,0.017761,0,0.003641
423,0,0,0.009078,0.024477,0.011453,0,0.003854
424,0.010861,0.017913,0.0079,0.003596,0.004202,0.015038,0.010892
425,0.00407,0,0.005161,0.015942,0.006441,0,0.004193
426,0.017685,0.019051,0.022268,0.01698,0.018629,0.00454,0
427,0.018261,0.016826,0.018532,0.00677,0.013047,0,0.009642
428,0.019727,0.020668,0.006589,0.00509,0.004707,0.00588,0.019394
429,0.018124,0,0.018399,0.009598,0.017687,0.004564,0.017228
430,0.031616,0,0,0.00547,0.009449,0,0.007215
431,0,0,0,0.004388,0.011214,0.015456,0.005195
432,0,0,0.020031,0.007623,0.00667,0.003995,0.011631
433,0,0.004423,0.020924,0.004813,0.003873,0,0.011938
