journal_wr_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
99,38257.0,38395.0,38429.0,47559.0,38043.0,40490.0,43019.0
100,41652.0,43177.0,38240.0,50649.0,40630.0,39157.0,40061.0
101,37481.0,40948.0,40960.0,38395.0,44470.0,40889.0,40201.0
102,38926.0,42776.0,40896.0,41096.0,42427.0,39064.0,39519.0
103,38291.0,44145.0,52403.0,41636.0,40381.0,46330.0,38723.0
104,42480.0,39273.0,37513.0,46264.0,43433.0,40040.0,41427.0
105,42337.0,42399.0,44570.0,41003.0,39703.0,42190.0,41548.0
106,47339.0,37781.0,42618.0,39006.0,41993.0,48645.0,39853.0
107,41779.0,41781.0,41956.0,42203.0,39340.0,44160.0,39822.0
108,42659.0,41900.0,39175.0,36864.0,42325.0,44333.0,41023.0
109,39694.0,39666.0,38601.0,39407.0,38240.0,36935.0,39823.0
110,41514.0,41427.0,38510.0,39355.0,40410.0,45387.0,45265.0
111,51792.0,0,38797.0,39355.0,0,41775.0,40971.0
112,40841.0,0,39906.0,40364.0,41075.0,47293.0,42852.0
113,40057.0,39526.0,45675.0,43954.0,42060.0,43607.0,40717.0
114,42677.0,40246.0,41369.0,38899.0,40669.0,40992.0,39376.0
115,41221.0,40184.0,42041.0,38804.0,45193.0,42325.0,39371.0
116,41623.0,41793.0,42210.0,42650.0,0,42605.0,45707.0
117,38735.0,0,38317.0,43061.0,41520.0,41806.0,39359.0
118,38940.0,41102.0,45451.0,42546.0,42984.0,43904.0,42987.0
119,50551.0,38395.0,43640.0,39080.0,39921.0,39407.0,38995.0
120,44813.0,43872.0,38960.0,40960.0,39192.0,40699.0,42003.0
121,41402.0,0,42079.0,43204.0,0,52623.0,44915.0
122,40033.0,40639.0,40083.0,41320.0,37781.0,39497.0,38586.0
123,40294.0,38557.0,38921.0,38573.0,39226.0,40712.0,42504.0
124,43523.0,38569.0,41354.0,42354.0,38710.0,42767.0,0
125,47662.0,38566.0,42544.0,0,38502.0,39445.0,46661.0
126,38898.0,40448.0,39234.0,0,40286.0,42046.0,39332.0
