op_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
104,0.42432,1.061779,1.515899,0.146355,0.161551,0.079918
105,0.08105,0.083263,0.115353,0.495539,0,0.130254
106,0.158511,0.15877,0.147464,0.142387,0.580921,0.352828
107,0.080586,0,0.109758,0.081626,0.067626,0.053087
108,1.970687,0,1.706619,0.126114,0.181558,0.151444
109,0.155167,0.137388,0.161913,0.1569,0.140847,0.105515
110,0.13237,0.142743,0.136781,2.12934,0,0
111,0.177457,0,0.157975,0.088047,0.211801,0.32782
112,1.316293,2.249805,2.042557,0.13223,0.10118,0.057575
113,0.127654,0.173291,0.173431,0.131693,0.140313,0.112998
114,0.134132,0.136501,0.171039,0,0,0.261018
115,0.186848,0.190509,0.184625,1.809687,2.141447,2.227865
116,2.230344,1.1789,1.537926,0.065269,0.081054,0.079093
117,0.124653,0.105518,0.162534,0.169735,0.179036,0.085763
118,0.158307,0.147959,0.186582,0.183123,0.173746,0.127443
119,0.168141,0.172948,0.181599,1.603559,1.983962,1.143764
120,1.994306,0,0,0.228535,0.109533,0.081746
121,0.306683,0.6598,0.437538,0.167618,0.098129,0.084265
122,0.112845,0.079305,0.082178,0.193679,0.191779,0.086836
123,0.130318,0.115201,0.132537,1.955405,2.0105,0
124,0.352434,0.283333,0.140658,0.191279,0.351772,0.97497
125,0,0,0,0.10352,0.080695,0.051639
126,0.167791,0.2803,0.194176,0.143047,0.10293,0.103161
127,0.139345,0.129668,0.098232,0.508714,0.316016,0.136519
128,0.167484,0.15578,0.157691,2.560217,0,0
129,1.696272,0,1.672527,0.095435,0.244436,0.314405
130,0.191369,0.304831,0.380997,0.138047,0.150996,0.113798
131,0.092062,0.086512,0.087537,0.176439,0.155404,0.131585
132,0.139848,0.171225,0.18496,1.653072,0,0
133,0,0,0,0.182316,0.29618,0.411977
134,0.88158,1.640356,1.872357,0.102531,0.074184,0.065498
135,0.080336,0.11582,0.13353,0.190708,0.159923,0.146811
136,0.143891,0.12827,0.169612,0.000309,0.189193,0.143398
137,0.901351,0.895949,0,1.537317,1.655856,1.690523
138,1.189311,1.390941,2.433537,0.059158,0.128481,0.062478
139,0.065091,0.077354,0.083524,0.153536,0.1073,0.100795
140,0.130338,0.127865,0.154954,0.149913,0.143429,0.104238
141,0.211581,0.085372,0.167774,0,0.88314,0
142,2.230446,1.761556,0,0.260525,0.252534,2.147196
143,0.172016,0.382429,0.525644,0.089366,0.090263,0.064318
144,0.096404,0.088986,0.082933,0.134911,0.119611,0.078238
145,0.225103,0.240896,0.193218,0.426832,0.4142,0
