rxkB/s,node164,node165,node166
187,25636.6,20187.1,23080.0
188,21981.2,27087.2,13988.0
189,10730.9,17704.2,13236.3
190,20554.1,24113.6,24828.6
191,22026.2,12904.1,11363.9
192,19100.1,11380.6,12186.2
193,24404.9,18042.5,13785.0
194,17522.2,12893.6,26956.3
195,22608.8,26079.8,21234.5
196,16130.0,18421.2,23273.9
197,19503.4,20573.0,19248.0
198,21868.8,23954.6,19125.7
199,18926.9,12659.0,11388.6
200,24248.9,24547.9,15997.4
201,21058.9,22357.6,18875.2
202,13978.7,12729.8,21976.1
203,21216.8,24777.3,19019.4
204,18821.1,14770.1,23315.2
205,26944.9,22442.2,15593.7
206,21733.9,18902.4,11618.6
207,20209.8,21249.6,12962.6
208,20106.2,12036.5,16400.1
209,10411.1,28811.0,19376.3
210,22077.9,12280.2,14967.3
211,23972.6,11440.6,18060.1
212,17723.6,20407.2,24926.3
213,19680.5,10032.5,11534.2
214,18477.2,24231.3,17534.8
215,21580.8,24067.2,16252.3
216,16547.1,27167.7,12548.0
217,25344.7,17459.5,19529.3
218,21416.5,12825.4,20686.1
219,23709.7,17368.0,6692.71
220,24628.0,23898.8,17795.8
221,22043.1,11824.2,17630.0
222,20088.6,10910.6,17167.3
223,27378.8,21700.4,23047.1
224,22936.8,18203.6,14475.1
225,13450.0,12285.5,22707.7
226,14535.9,23515.5,22974.6
227,17091.9,20762.2,24608.3
228,19709.7,13382.6,18746.3
229,16485.4,22551.0,8380.92
230,21411.3,17070.8,3581.41
231,15813.2,22233.0,21288.5
232,26405.3,26927.5,16046.1
233,20242.5,5054.48,13874.7
234,13887.2,12047.6,20360.6
235,15248.9,27885.9,23590.2
236,25305.1,16888.0,32556.1
237,22811.7,8874.47,17699.1
238,25118.8,13477.4,17492.2
239,19495.6,4421.03,16790.4
240,28321.9,9148.61,18205.0
241,18895.5,4573.18,22700.3
242,24099.9,11096.3,20420.0
243,21015.7,11579.8,28056.9
244,20021.0,10642.8,20071.7
245,22111.3,24709.3,22544.5
246,20492.4,10427.3,6601.76
247,22956.4,9940.63,23782.5
248,28848.6,7318.89,19984.9
249,11068.8,11192.3,18340.9
250,25108.5,17368.7,19857.9
251,18888.1,16726.0,16451.5
252,32804.8,13403.3,17217.6
253,19769.5,24486.3,19377.9
254,21222.7,11479.0,12957.9
255,23172.3,13549.6,28796.0
256,17069.2,18497.1,23097.7
257,18239.5,17127.4,7862.33
258,20614.1,14921.3,16784.9
259,22944.6,20588.9,20129.9
260,21874.8,4937.55,7513.22
261,19054.1,0.0,18939.9
262,19973.6,7985.84,16702.8
263,23102.3,24058.5,15586.4
264,34272.2,12666.8,17973.6
265,19418.1,18952.1,22127.3
266,17530.9,8715.97,28684.2
267,24874.7,14935.8,9964.07
268,33091.7,23304.4,12310.1
269,21638.3,11638.0,23851.2
270,22787.2,10664.5,17391.4
271,15553.1,29335.3,14457.4
272,15686.9,18147.2,18911.6
273,25045.6,22397.2,21735.0
274,26201.2,22409.9,10250.4
275,13745.0,12695.9,11833.4
276,18176.5,14105.9,23160.2
277,19016.5,6911.35,16296.8
278,20536.2,16022.6,21598.7
279,17972.0,25254.4,24920.4
280,23162.5,24516.3,20628.0
281,24522.6,23605.4,12434.6
282,16124.0,18972.3,15368.4
283,22983.6,20103.2,16511.9
284,12643.0,21091.0,23878.4
285,17848.4,15167.9,14860.3
286,20239.8,20945.4,28944.0
287,24509.7,16431.6,12434.6
288,25269.2,26938.6,13535.4
289,25381.3,10480.2,16258.4
290,20741.2,22322.0,18271.0
291,24264.9,20248.1,16841.7
292,21250.6,21582.3,20697.4
293,23704.9,23558.6,27980.5
294,25711.5,17189.7,19130.3
295,24376.8,18200.8,21161.7
296,18636.0,24041.6,20595.3
297,11861.5,29502.1,10826.8
298,27856.0,21788.0,16080.1
299,24484.8,23885.1,22154.3
300,17621.5,13290.0,12399.1
301,28870.5,12199.4,11161.9
302,18534.0,25706.3,17790.5
303,23653.0,9982.16,19184.7
304,18055.6,19157.6,18949.8
305,21327.0,15078.4,15780.0
306,21833.7,12922.9,20080.0
307,6834.4,13152.2,14647.4
308,15755.0,6389.81,24461.0
309,21069.5,24750.7,17141.9
310,25276.3,15794.3,13527.8
311,20178.2,18032.5,10884.1
312,17293.8,35988.3,21571.4
313,21812.0,20278.8,12564.2
314,25393.9,20423.3,14136.1
315,9346.45,20265.2,22027.4
