journal_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
88,650194522,464584716,634783509,733052156,674394267,794021573,1082101525
89,665011887,464584716,657237166,744091235,678876154,807795616,1089401342
90,672052208,464584716,678956600,755388788,689391510,816967543,1094451388
91,672052208,475062851,701655083,760581451,707384594,825433095,1106566432
92,685518875,482536870,707993742,774149073,714748680,832345798,1130316866
93,694503430,482712255,720057232,784238887,732705328,845517007,1130316866
94,704332495,496010239,722754810,792934474,752882331,856752283,1143793811
95,709798847,504992485,736282297,803309644,764135888,874171356,1148270157
96,721418195,511127609,737994143,814073980,773275052,886614806,1166206021
97,727388437,522710396,751468779,823924177,777596798,899812530,1175183649
98,734894098,527449495,763206387,835604125,795556800,906126615,1194223983
99,743876598,531943055,773859742,846790562,811136184,910621314,1202107421
100,750826687,536434178,778349823,862235613,813524996,926047622,1209258812
101,761822843,540902211,787325019,873681885,826495742,937550724,1220708610
102,766316275,554375580,795465417,878173008,835970333,946532970,1233506280
103,771679705,563353555,797985301,892204386,848362200,951025360,1249970655
104,775650558,576199369,822134515,900576911,854879846,958934538,1255975974
105,797736931,576834331,828663707,915405696,867383264,972662301,1264958348
106,806709941,581305940,841153150,930014783,876359850,982400078,1278424790
107,820012985,585794754,856052089,936465600,884736551,990582922,1287397677
108,824781377,597467876,863592602,940948876,894391145,1013638422,1292164798
109,830260665,607190315,872566878,941264578,907764343,1027290752,1304744037
110,844196962,617222562,874990836,954417980,916843851,1029293717,1323294687
111,851750850,626202499,882648409,958909103,925713939,1043702620,1336761354
112,878449582,626202499,890543268,963397917,925713939,1052484431,1351041936
113,891924218,626202499,897029162,967884422,928486289,1063182099,1367602523
114,896421226,632967967,911960869,972863286,933845101,1071386991,1383309500
115,912477706,642188952,917466916,985139529,943671604,1081138847,1390577719
116,920464063,648641036,930936934,985841069,952653850,1083071658,1402258585
117,933167030,653120614,936195155,999994280,952653850,1101817875,1412644261
118,941303038,653120614,949749512,1017204350,956368661,1107777614,1423261393
119,944007543,657617750,967617749,1026179796,967304941,1128839827,1435397343
120,953704480,662104255,980111271,1029340302,975088684,1143563381,1439954004
121,968780071,675533874,984814123,1032188734,984068621,1148438042,1454649408
122,985545144,675533874,991686215,1044204413,984068621,1156625718,1475852971
123,996315275,682450084,998275031,1053123657,988559744,1161879328,1488733607
124,1005504756,689012084,1006382891,1066218558,997547086,1166358906,1498305109
125,1022082773,697995597,1009639416,1089045273,1002035900,1187817619,1498305109
126,1031031763,701259025,1020712428,1089045273,1010454605,1193294446,1518428905
127,1036469965,702490296,1033735681,1089045273,1027917741,1214396476,1529721615
128,1044505132,718358654,1038678187,1098011477,1042435577,1236289217,1529721615
129,1048996255,733917188,1047810550,1104774636,1051408587,1247120392,1534212738
130,1066171848,738406002,1056613040,1119229083,1060388398,1251012788,1538705128
131,1075930503,745761894,1065594244,1133915285,1061968130,1262794564,1545932257
132,1084901204,750492896,1074568521,1138401790,1071081448,1276269264,1552176188
133,1094434404,757175526,1092768523,1146578532,1078340303,1283137657,1556662693
134,1102192531,760824904,1099840448,1166571958,1079666302,1295938300,1573121408
135,1111283584,765309100,1101489067,1174533694,1082826808,1302853327,1574633295
136,1119774752,778777979,1103032455,1184145219,1092744588,1323406815,1583593718
137,1134285410,778777979,1110461035,1192528950,1109745963,1323406815,1589060070
138,1142849157,783274987,1128367802,1201172413,1116101010,1332375207,1606815489
139,1153730543,787769686,1139955080,1205726763,1127706287,1336865288,1618183171
140,1161245568,787804763,1150823640,1214667005,1139291875,1339493754,1634146092
141,1165708983,802953985,1157458036,1219194472,1158891187,1341351793,1641966179
142,1170130077,814692418,1166545450,1227793180,1163582490,1352758025,1653257723
143,1174696199,822482046,1182806669,1249634494,1170229915,1359302528,1668900333
144,1182698725,829836773,1195702644,1253728225,1181525159,1368283732,1678248892
145,1194401213,832646509,1204667807,1274839761,1186007046,1377803520,1704781153
146,1215424058,832646509,1209160197,1284514241,1194974269,1399229318,1709272276
147,1220470753,846124751,1213653757,1295455261,1201287087,1408250217,1718246553
148,1230276502,846124751,1232020926,1302369448,1219969949,1408636064,1741109716
149,1233848718,851557293,1249547414,1321901085,1221899184,1417604456,1758650059
150,1250935906,859061687,1252838992,1338275567,1226394010,1426592587,1763976079
