stat_bytes_avail,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
431,59355631616,62463918080,57248026624,56951185408,56575221760,57121165312,54008115200
432,59355631616,62462947328,57248026624,56951185408,56575221760,57121165312,54005760000
433,59353731072,62462783488,57248026624,56951185408,56578236416,57120235520,54005760000
434,59353731072,62462783488,57248026624,56951185408,56578236416,57120235520,54005760000
435,59353731072,62462783488,57245773824,56951185408,56578236416,57120235520,54010347520
436,59353731072,62462783488,57245229056,56954040320,56577146880,57120235520,54010347520
437,59352440832,62467215360,57245229056,56954040320,56576757760,57117540352,54009217024
438,59352440832,62467215360,57245229056,56954040320,56576757760,57117540352,54009217024
439,59352440832,62467215360,57245229056,56954040320,56576757760,57117540352,54009217024
440,59352440832,62467215360,57244184576,56951054336,56575561728,57125621760,54009217024
441,59352440832,62467235840,57244184576,56951054336,56575561728,57125621760,54009217024
442,59352461312,62467235840,57244184576,56951054336,56575561728,57125621760,54006157312
443,59352461312,62467235840,57244184576,56954908672,56575561728,57125142528,54006157312
444,59352461312,62467235840,57244184576,56954908672,56574201856,57125142528,54006157312
445,59352461312,62467235840,57244184576,56954908672,56574201856,57125142528,54004572160
446,59352461312,62467235840,57244184576,56954908672,56574201856,57125142528,54004572160
447,59352461312,62467235840,57244184576,56954908672,56574201856,57123315712,54004572160
448,59352461312,62467235840,57244184576,56952393728,56571101184,57122832384,54004572160
449,59352461312,62467235840,57244184576,56952393728,56571101184,57122402304,54011629568
450,59352461312,62467235840,57244184576,56952393728,56571101184,57122402304,54011052032
451,59352461312,62467235840,57244184576,56951001088,56571101184,57122402304,54011052032
452,59352461312,62467239936,57244184576,56951001088,56578453504,57122402304,54011052032
453,59352461312,62467239936,57244184576,56951001088,56578453504,57122402304,54011052032
454,59352461312,62467239936,57244184576,56951001088,56578453504,57119633408,54011052032
455,59352461312,62467239936,57244184576,56951001088,56578453504,57119633408,54008954880
456,59352461312,62467239936,57244184576,56954920960,56577232896,57119633408,54008954880
457,59352461312,62467239936,57244184576,56954585088,56576335872,57119633408,54008000512
458,59352461312,62467239936,57244184576,56954585088,56576335872,57119633408,54008000512
459,59352461312,62467239936,57244184576,56954585088,56576335872,57122865152,54008000512
460,59352461312,62467239936,57244184576,56952553472,56576335872,57122865152,54008000512
461,59352461312,62467239936,57244184576,56952553472,56575520768,57122095104,54012338176
462,59352461312,62467239936,57244184576,56952553472,56575520768,57122095104,54012338176
463,59352461312,62467239936,57244184576,56952553472,56575520768,57122095104,54012338176
464,59352461312,62467239936,57244184576,56952553472,56575520768,57122095104,54012338176
465,59352461312,62467239936,57244184576,56952553472,56575520768,57122095104,54012338176
466,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012338176
467,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
468,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
469,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
470,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
471,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
472,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
473,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
474,59352461312,62467239936,57244184576,56952553472,56575520768,57122119680,54012358656
475,59352461312,62467239936,57244184576,56952553472,56575520768,57122123776,54012358656
476,59352461312,62467239936,57244184576,56952553472,56575520768,57122123776,54012358656
477,59352461312,62467239936,57244184576,56952557568,56575520768,57122123776,54012358656
478,59352461312,62467239936,57244184576,56952557568,56575520768,57122123776,54012358656
479,59352461312,62467239936,57244184576,56952557568,56575520768,57122123776,54012358656
480,59352461312,62467239936,57244184576,56952557568,56575520768,57122123776,54012358656
