commitcycle_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
154,0,0,0,0.305504,0,0,0
155,0,0,0,0,0.224033,0.27603,0
156,0.241795,0.285899,0,0,0,0,0
157,0,0,0.324398,0,0,0,0.250582
158,0,0,0,0.317142,0,0,0
159,0,0,0,0,0.213683,0.235841,0
160,0.247266,0,0,0,0,0,0
161,0,0.250322,0.251728,0,0,0,0
162,0,0,0,0,0,0,0.303134
163,0,0,0,0.265791,0,0,0
164,0,0,0,0,0.348789,0.294404,0
165,0.251352,0.26988,0,0,0,0,0
166,0,0,0.300432,0,0,0,0
167,0,0,0,0.272407,0,0,0.30847
168,0,0,0,0,0.300516,0.280602,0
169,0.285675,0.2878,0,0,0,0,0
170,0,0,0.309683,0,0,0,0
171,0,0,0,0,0,0,0.317077
172,0,0,0,0.287115,0,0,0
173,0.232549,0,0,0,0.253569,0.246345,0
174,0,0.238698,0,0,0,0,0
175,0,0,0.277248,0,0,0,0
176,0,0,0,0.223711,0,0,0.282283
177,0,0,0,0,0.260355,0,0
178,0.253893,0.263375,0,0,0,0.279578,0
179,0,0,0.251531,0,0,0,0
180,0,0,0,0,0,0,0.282074
181,0,0,0,0.239546,0,0,0
182,0.310001,0.221695,0,0,0.284244,0.288571,0
183,0,0,0.228694,0,0,0,0
184,0,0,0,0,0,0,0
185,0,0,0,0.243865,0,0,0.286528
186,0.278269,0,0,0,0.292567,0,0
187,0,0.271498,0,0,0,0.267378,0
188,0,0,0.295098,0,0,0,0
189,0,0,0,0,0,0,0.252632
190,0,0,0,0.291212,0,0,0
191,0.316491,0.288462,0,0,0.310165,0.257353,0
192,0,0,0.215667,0,0,0,0
193,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0.239474
195,0.292983,0.263636,0,0.287166,0,0,0
196,0,0,0.242314,0,0.242936,0.309499,0
197,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0.23074
199,0,0,0,0.215802,0,0,0
200,0.300144,0.283033,0,0,0.244184,0.356916,0
201,0,0,0.258201,0,0,0,0
202,0,0,0,0,0,0,0
203,0,0,0,0,0,0,0.228491
204,0.207326,0.2652,0,0.298704,0,0,0
205,0,0,0.263428,0,0.273954,0.294432,0
206,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0
208,0.233756,0,0,0.214722,0,0,0.287427
209,0,0.308506,0.328858,0,0.306762,0,0
210,0,0,0,0,0,0.346464,0
211,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0.307114
213,0.261495,0.241725,0,0.257936,0,0,0
214,0,0,0.288045,0,0.289704,0.255965,0
215,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0
217,0.232247,0.284191,0,0.26656,0,0,0.331161
218,0,0,0.300783,0,0.247258,0,0
219,0,0,0,0,0,0.258478,0
220,0,0,0,0,0,0,0
221,0.231427,0,0,0,0,0,0.245787
222,0,0.30625,0.275781,0.310247,0,0,0
223,0,0,0,0,0.219013,0.31512,0
224,0,0,0,0,0,0,0
225,0.267612,0,0,0,0,0,0
226,0,0.288803,0,0.27476,0,0,0.246102
227,0,0,0.262868,0,0.232635,0,0
228,0,0,0,0,0,0.418377,0
229,0,0,0,0,0,0,0
230,0.241852,0.21251,0,0,0,0,0.292307
231,0,0,0.219028,0.257321,0,0,0
232,0,0,0,0,0.287003,0.212336,0
233,0,0,0,0,0,0,0
234,0.226573,0,0,0,0,0,0
