op_process_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0.000135,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0.000136,0,0.000123,0,0,0.000206,0
4,0.000198,0,0,0,0.000194,0,0
5,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0
7,0.000155,0,0.000142,0,0,0,0
8,0.000122,0,0,0,0.000158,0.00016,0
9,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0
11,0.000212,0,0.000162,0,0,0,0
12,0.000126,0,0,0,0.000252,0.00017,0
13,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0
15,0.000124,0,0.000215,0,0,0,0
16,0.000143,0,0,0,0,0.000201,0
17,0,0,0,0,0.000144,0,0
18,0,0,0,0,0,0,0
19,0,0,0.000118,0,0,0,0
20,0.000174,0,0,0,0,0.000179,0
21,0,0,0,0,0.000151,0,0
22,0,0,0,0,0,0,0
23,0,0,0.000193,0,0,0,0
24,0.000169,0,0,0,0,0,0
25,0,0.004921,0,0,0.000203,0.00018,0
26,0.021567,0.007151,0.013439,0,0,0,0
27,0.020361,0.015166,0.0097,0.008093,0,0.00531,0.015211
28,0.019924,0.006443,0.021166,0,0.01775,0.012616,0.023721
29,0.031772,0.014534,0.016901,0,0.000169,0.013637,0.026788
30,0.012319,0,0.018524,0,0.011831,0,0.016914
31,0.02557,0.029869,0.017229,0,0.019578,0.005883,0
32,0.014773,0,0.013899,0.00744,0,0.01407,0.008201
33,0.022235,0,0.013016,0,0.010456,9.8e-05,0.029409
34,0,0,0.007045,0.009226,0.024541,0,0.014975
35,0.007035,0,0.015452,0.009589,0.006754,0.014706,0.016927
36,0.017677,0,0,0.007927,0.02855,0.020306,0.014114
37,0.019614,0.018403,0.023626,0.020834,0.014267,0.02112,0.011477
38,0.015025,0.009695,0.051166,0.011324,0.025255,0.015311,0.014251
39,0.01673,0,0.024276,0.018432,0.015878,0.013332,0.019821
40,0.02576,0.011991,0.027022,0.015895,0.007741,0.023397,0.007327
41,0.01361,0.021792,0.015321,0.020338,0.017991,0.020008,0.018456
42,0.020594,0,0.023019,0,0.000184,0.01701,0.02234
43,0,0.020354,0.023824,0,0,0.011714,0.022588
44,0.025602,0.016306,0.000167,0,0.010275,0.020112,0.017884
45,0.01216,0.021436,0.022954,0.018021,0.01993,0.019253,0.017579
46,0.011479,0,0.022035,0,0,0.013476,0.021308
47,0.022655,0.01957,0.02238,0,0.000138,0.017466,0.019607
48,0.018591,0.020995,0.020817,0.014809,0,0,0.02321
49,0.01786,0.006634,0.023319,0.024788,0,0.013375,0.018354
50,0,0.019187,0.013535,0,0.01809,0,0.020237
51,0.019719,0.019149,0.015815,0,0.018202,0.000107,0.020279
52,0.000143,0,0.01577,0.007142,0,0.023763,0.013255
53,0.014397,0.024648,0,0.019228,0,0.021514,0.015796
54,0.020051,0,0.020804,0.00977,0.020997,0.006918,0.010901
55,0.024307,0,0.025656,0.016373,0.018597,0.020491,0.031597
56,0.020285,0.010423,0.021352,0,0.017178,0.018685,0.021399
57,0.019646,0.022125,0.02366,0.020656,0,0.009429,0
58,0.018473,0,0.023604,0,0.011476,0.013304,0
59,0.022916,0,0.021186,0.010729,0.020732,0.022071,0.013812
60,0.01565,0,0.01839,0.024055,0,0.010637,0
61,0.022423,0.014773,0.024041,0,0.008557,0.021405,0.007492
62,0.022033,0.024363,0,0,0,0.02105,0.013124
63,0.019586,0.019131,0.009112,0.008982,0,0,0.020958
64,0.019549,0.022034,0.021415,0.007409,0.020698,0.015243,0
65,0.022452,0.009536,0.011341,0.015717,0,0.013085,0.022972
66,0.006899,0.025739,0.013507,0.020101,0.015472,0,0.013128
67,0,0.020192,0.021885,0,0.007594,0.019526,0.012985
68,0.013582,0.018172,0.012659,0,0.020612,0.013674,0.01945
69,0.018174,0,0.018711,0.009148,0,0.019473,0.020683
70,0.025485,0,0.020014,0.017671,0.015422,0.019043,0.017276
71,0.019431,0,0.020471,0.019148,0.010322,0.020497,0.020646
72,0.007852,0,0.01236,0.0226,0.000111,0.014121,0
73,0.018832,0.011562,0.008728,0,0,0.018587,0.012346
74,0.000117,0.023923,0.023373,0,0.018264,0.020679,0.023607
75,0.015572,0.02045,0.010224,0.010988,0,0.016353,0
76,0.019703,0.022195,0.016354,0.017717,0.011292,0.018959,0.020123
77,0.011761,0.022521,0.011803,0,0.018468,0.021288,0.011611
78,0.014371,0,0.015466,0,0.017333,0,0.016255
79,0.012842,0.021129,0.029643,0,0,0.018993,0.023356
80,0.021262,0.015881,0.013944,0,0.011194,0.020485,0.021535
81,0.022007,0.008092,0.014455,0.011795,0.000183,0.014706,0
82,0.012384,0.020552,0.008518,0,0.014494,0.016566,0.014566
83,0.00893,0,0.02782,0.012403,0,0,0.022355
84,0.02111,0.018229,0.022515,0,0.006515,0.02457,0.01708
85,0.000136,0.021287,0.01688,0,0.003757,0.011932,0
86,0.000135,0.012025,0.019212,0,0.010227,0.022155,0.011544
87,0.01494,0.015497,0.018825,0.012865,0,0,0.012981
88,0.010653,0,0.008197,0.022879,0,0.024262,0.022908
89,0.000158,0,0.014196,0.018853,0.019528,0.021373,0.034539
90,0.00011,0.010968,0.012552,0,0.016632,0.000121,0.016265
91,0.01884,0.022666,0.024078,0.025806,0,0.020885,0.013203
92,0.016293,0,0.01055,0.017844,0.015301,0.010601,0
93,0.018759,0.019796,0.022039,0.006001,0.011549,0.013392,0
94,0.021057,0.014714,0.017613,0.018987,0.02008,0.011116,0
95,0.013967,0,0.020924,0.018975,0.017326,0.009118,0
96,0.006541,0.020072,0.017489,0.020839,0.015443,0.014688,0.013292
97,0.015369,0.058663,0.016318,0,0.010381,0.022539,0.011588
98,0.011528,0,0.019709,0,0.016548,0.020136,0.016566
99,0,0,0.012276,0,0,0.014211,0
100,0.021448,0,0.025658,0,0.01854,0.011561,0.012517
101,0.022757,0,0.016347,0.020113,0.013276,0.020512,0.020309
102,0.021246,0.010528,0.022338,0.020691,0,0,0.022431
103,0.022496,0.01328,0.022437,0,0.034516,0.015502,0.013417
104,0.011795,0,0,0.020263,0.020615,0.019237,0.018693
105,0.027468,0,0.017532,0.018944,0.023257,0.018411,0.013096
106,0.017754,0.015054,0.019331,0.024111,0.023174,0.018879,0.021313
107,0.022546,0,0.022292,0.018161,0.015166,0.013371,0.015486
108,0,0.023293,0.026303,0,0.021563,0.020204,0.017626
109,0.019168,0.019987,0.018197,0.022666,0.010167,0.019282,0.009007
110,0.029405,0.013992,0.020682,0.024181,0.010057,0.013947,0.015514
111,0.01166,0,0.019627,0,0.000145,0.023765,0.0304
112,0.016714,0,0.021537,0,0,0.017632,0.020764
113,0.024192,0.024271,0.023341,0.022498,0.016712,0.019247,0.02065
114,0.014732,0.01571,0.020184,0.020658,0.021735,0.019614,0.018185
115,0.013846,0.022124,0.022075,0,0,0.017218,0.024154
116,0,0.014792,0.028918,0.02065,0.000177,0.017197,0.015482
117,0.02377,0,0.024298,0.016147,0,0.009116,0.022012
118,0.034143,0,0.009733,0.02358,0.018135,0.013425,0.015073
119,0.014938,0.019749,0.006838,0,0.019932,0,0.023752
120,0.012035,0,0.022159,0.020242,0.013793,0.000166,0.018442
121,0,0,0.021141,0.012149,0,0.006884,0.011986
122,0.021806,0.025128,0.021189,0.020817,0,0.023894,0.019797
123,0.022599,0.019815,0.021073,0.023392,0.019316,0,0.028353
124,0.011631,0,0.020055,0.012714,0.015038,0.008875,0
125,0.021462,0,0.023483,0,0.02008,0.016874,0.023565
126,0.025624,0,0.01993,0,0.017696,0.017002,0.022195
127,0.023714,0.020043,0.020382,0.016922,0.013443,0.016373,0
128,0.023157,0.008453,0,0,0.023882,0.015686,0.027635
