subop,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,0,3,0,5,2,2,2
1,0,3,0,5,2,2,2
2,0,3,0,5,2,2,2
3,0,3,0,5,2,2,2
4,0,3,0,5,2,2,2
5,0,3,0,5,2,2,2
6,0,3,0,5,2,2,2
7,0,3,0,5,2,2,2
8,0,3,0,5,2,2,2
9,0,3,0,5,2,2,2
10,0,3,0,5,2,2,2
11,0,3,0,5,2,2,2
12,0,3,0,5,2,2,2
13,0,3,0,5,2,2,2
14,0,3,0,5,2,2,2
15,0,3,0,5,2,2,2
16,0,3,0,5,2,2,2
17,0,3,0,5,2,2,2
18,0,3,0,5,2,2,2
19,0,3,0,5,2,2,2
20,0,3,0,5,2,2,2
21,0,3,0,5,2,2,2
22,0,3,0,5,2,2,2
23,0,3,0,5,2,2,2
24,0,3,0,5,2,2,2
25,0,3,0,5,2,2,2
26,0,3,255,5,2,2,2
27,127,128,255,5,2,2,2
28,251,128,319,5,2,74,140
29,251,133,376,151,129,505,337
30,251,250,376,502,340,505,419
31,251,375,376,637,623,755,645
32,251,503,405,996,749,882,799
33,386,739,503,1619,958,949,1013
34,505,848,627,1682,1124,1118,1266
35,630,1038,627,2120,1381,1138,1266
36,884,1304,750,2241,1749,1390,1266
37,884,1567,878,2743,1749,1518,1266
38,884,1631,878,2852,1757,1646,1389
39,884,1756,1500,2852,1993,1773,1512
40,1263,1756,1678,2852,2177,2119,1641
41,1390,1884,1751,2975,2249,2150,1889
42,1390,2028,1985,3103,2328,2277,2013
43,1518,2259,2032,3103,2372,2277,2340
44,1787,2259,2110,3352,2372,2403,2419
45,1896,2259,2236,3479,2499,2531,2801
46,2142,2259,2363,3680,2624,2657,2891
47,2267,2259,2363,3732,2868,2657,3016
48,2395,2259,2491,4114,2877,2784,3138
49,2517,2387,2491,4366,2877,2861,3320
50,2583,2515,2491,4489,3195,3123,3519
51,2971,2515,2738,4582,3331,3520,3519
52,3142,2515,2878,4615,3503,3660,3648
53,3142,2628,3168,4782,3503,3848,4148
54,3142,2632,3422,4867,3627,3914,4264
55,3142,2784,3489,5267,3627,4039,4274
56,3735,3010,3489,5374,3627,4407,4399
57,3772,3135,3489,5374,3772,4448,4674
58,3869,3137,3489,5399,4120,4780,4780
59,4130,3264,3489,5499,4120,5037,4780
60,4130,3507,3489,5751,4376,5159,4780
61,4385,3507,3489,6000,4502,5240,4941
62,4385,4008,3617,6460,4629,5410,5028
63,4513,4008,3951,6634,4796,5463,5028
64,4765,4008,4114,6866,4877,5661,5155
65,4992,4136,4114,7140,4877,5905,5401
66,5014,4136,4242,7140,5080,6028,5401
67,5258,4136,4494,7267,5372,6028,5401
68,5510,4260,4494,7508,5372,6035,5654
69,5510,4386,4494,7626,5562,6155,5905
70,5705,4386,4494,7876,6113,6155,5905
71,5752,4514,4556,7999,6365,6155,6033
72,5752,4514,4618,8117,6365,6155,6336
73,5908,4641,4744,8368,6739,6338,6413
74,6004,4764,4744,8624,6858,6400,6669
75,6004,4790,4800,8898,6858,6625,6669
76,6004,4891,4999,9254,7074,6866,6795
77,6131,4891,4999,9379,7257,6904,7043
78,6131,5017,4999,9660,7489,6904,7379
79,6333,5017,4999,10110,7489,7157,7416
80,6385,5143,5124,10549,7617,7157,7416
81,6385,5143,5252,10864,7793,7338,7416
82,6385,5143,5252,11111,7997,7657,7541
83,6508,5162,5379,11290,8247,7922,7921
84,6508,5498,5507,11665,8247,8021,8191
85,6508,5648,5632,12026,8497,8021,8289
86,6700,5648,5751,12847,8501,8021,8460
87,6757,5648,5885,13231,8678,8021,8910
88,7021,6013,5885,13231,9007,8266,8990
89,7299,6013,6265,13480,9130,8389,9035
90,7502,6013,6390,13558,9250,8522,9161
91,7502,6056,6641,13699,9529,8768,9289
92,7630,6140,6673,13997,9741,8833,9412
93,7757,6145,6768,14130,9741,8929,9412
94,7757,6267,6768,14327,9869,9002,9793
95,7757,6267,6768,14493,9997,9250,9908
96,7757,6439,6768,14579,10118,9453,10406
97,7885,6647,6895,14814,10118,9698,10533
98,7885,6775,6895,15134,10370,9751,10910
99,8011,6903,7021,15455,10679,9751,10910
100,8206,7030,7021,15878,10751,10003,11106
101,8381,7147,7144,16193,10989,10131,11282
102,8381,7528,7245,16193,11129,10258,11406
103,8381,7650,7272,16451,11476,10384,11533
104,8381,7753,7855,16676,11634,10451,11533
105,8758,7776,8040,16962,11762,10726,11533
106,8883,7893,8145,17303,11762,10871,11533
107,8883,7893,8395,17429,11887,10871,11652
108,8885,8214,8395,17429,12014,10999,11785
109,9035,8265,8519,17438,12261,11380,11889
110,9395,8265,8580,17680,12261,11380,12160
111,9513,8265,8670,17680,12386,11506,12285
112,9755,8265,8774,17806,12386,11506,12651
113,9882,8265,8821,17931,12464,11632,12755
114,9882,8321,8899,18055,12513,11728,13058
115,10009,8519,8899,18285,12638,11884,13145
116,10176,8519,9147,18310,12892,11884,13270
117,10531,8519,9167,18680,12892,12006,13377
118,10635,8519,9431,18920,12986,12123,13559
119,10635,8647,9661,19047,13266,12329,13775
120,10635,8647,9891,19137,13391,12745,13775
121,10777,9009,9903,19175,13518,12883,13971
122,11241,9009,9903,19301,13518,13013,14397
123,11267,9077,9903,19427,13645,13129,14397
124,11391,9137,9903,19650,13645,13251,14522
125,11644,9390,9903,19930,13645,13597,14522
126,11644,9474,9903,19930,13772,13629,14748
127,11771,9517,9903,19930,14114,13955,15026
128,11899,9835,10028,20056,14148,14197,15026
129,11899,10023,10272,20243,14271,14375,15026
130,12275,10023,10398,20517,14524,14375,15152
131,12402,10104,10525,20930,14524,14557,15279
132,12527,10148,10525,21055,14696,14629,15279
133,12776,10148,10846,21181,14899,14752,15279
134,12876,10148,10904,21467,14899,14973,15613
135,13014,10272,10904,21612,14899,14992,15658
136,13030,10400,10904,21684,15174,15241,15658
137,13283,10400,10904,21817,15400,15241,15682
138,13283,10528,11027,22052,15400,15366,15919
139,13324,10655,11093,22177,15647,15366,16034
140,13537,10655,11155,22305,15955,15366,16161
141,13537,10781,11155,22431,16387,15366,16161
142,13537,10908,11338,22675,16387,15366,16411
143,13537,10908,11409,22899,16560,15366,16661
144,13664,10951,11409,23007,16884,15618,16770
145,13664,11035,11409,23542,16884,15727,16906
146,13910,11035,11409,23668,17130,16107,17033
147,13910,11162,11537,23921,17180,16107,17282
148,13910,11162,11664,24104,17504,16107,17407
149,13910,11162,11783,24649,17504,16355,17660
150,14031,11268,11786,25104,17631,16355,17660
151,14031,11542,11912,25418,17851,16474,17660
152,14143,11668,12037,25606,18004,16716,17785
153,14275,11668,12162,25780,18249,16921,18156
154,14331,11995,12288,26170,18259,17215,18283
155,14648,12033,12414,26483,18387,17215,18534
156,14921,12033,12661,27085,18508,17215,18655
157,15027,12033,12840,27699,18508,17215,18868
158,15154,12157,13049,27797,19011,17283,19160
159,15280,12157,13049,27979,19132,17481,19284
160,15280,12157,13176,28048,19259,17708,19411
161,15280,12283,13176,28186,19493,17881,19538
162,15280,12283,13176,28628,19745,17959,19662
163,15280,12411,13176,28690,19745,18087,19662
164,15280,12496,13176,28935,19866,18214,19988
165,15406,12660,13303,29130,19997,18341,20040
166,15534,12783,13303,29189,19997,18467,20336
167,15548,13032,13429,29316,20122,18722,20653
168,15830,13267,13429,29507,20249,18950,20898
169,15908,13405,13552,29819,20602,18950,21116
170,15908,13583,13680,30066,20626,19086,21149
171,15908,13651,14028,30293,20754,19204,21273
172,15983,13774,14440,30830,20890,19332,21513
173,16397,13774,14440,30830,21135,19456,21550
174,16397,13887,14568,31163,21388,19582,21766
175,16483,14024,14812,31330,21724,19582,21766
176,16735,14165,14812,31661,21763,19821,21766
177,16777,14276,15064,31952,21763,19993,21766
178,16904,14276,15190,32079,21954,20075,21887
179,17237,14276,15190,32079,22140,20326,22004
180,17276,14276,15289,32206,22263,20475,22259
181,17525,14404,15315,32206,22265,20571,22496
182,17525,14404,15315,32322,22265,20698,22558
183,17803,14529,15318,32450,22392,20826,22768
184,18150,14529,15570,32631,22392,20826,23142
185,18150,14654,15978,32702,22639,20960,23263
186,18150,14654,16236,32942,22765,21078,23391
187,18150,14780,16318,33200,22836,21078,23452
188,18613,14907,16318,33446,22899,21177,23646
189,18769,15159,16318,33575,23012,21201,23896
190,18769,15246,16318,33828,23262,21676,24020
191,18895,15279,16318,33828,23512,21906,24020
192,19149,15456,16318,33995,23512,22193,24449
193,19401,15535,16318,34088,23512,22335,24676
194,19401,15661,16318,34555,23639,22335,24771
195,19524,15935,16570,34570,23639,22458,24893
196,19651,16043,16830,34570,23779,22832,25078
197,19836,16169,16948,34698,24140,23058,25272
198,19945,16169,17075,34741,24140,23463,25272
199,20024,16169,17075,35033,24393,23463,25272
200,20398,16180,17217,35325,24516,23799,25347
201,20486,16296,17322,35824,24768,23840,25519
202,20651,16421,17322,35824,24768,23840,25519
203,20651,16549,17322,35951,24894,23896,25773
204,20775,16549,17339,36323,24904,24209,25885
205,20903,16676,17450,36325,25076,24453,25896
206,20903,16676,17450,36325,25240,24453,25896
207,21031,16676,17577,36577,25381,24453,26018
208,21031,16916,17577,36830,25509,24453,26265
209,21031,16916,17607,36996,26135,24579,26387
210,21158,16916,17828,37204,26264,24579,26415
211,21158,16916,17828,37204,26490,24579,26723
212,21208,17035,17828,37290,26645,24707,26873
213,21411,17124,17828,37827,26770,24707,26982
214,21411,17161,17912,37900,27000,24984,27060
215,21411,17161,18074,38445,27019,25080,27250
216,21411,17161,18200,38461,27332,25103,27250
217,21411,17161,18200,38728,27385,25327,27470
218,21539,17285,18327,39209,27513,25327,27866
219,21585,17657,18327,39459,27640,25327,27866
220,21792,17657,18578,39799,27768,25578,27866
221,21792,17657,18578,39924,27896,25702,27866
222,21954,17821,18700,40219,28147,25951,27866
