journal_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
195,0.079611,0.085426,0.107757
196,0.158508,1.182287,0.598656
197,0.915338,0.418781,1.091809
198,0.042977,0.024207,0.033944
199,0.062073,0.065418,0.066417
200,0.324454,0.157139,0.069192
201,1.265839,0.851692,1.834451
202,0.054227,0.048962,0.051783
203,0.115944,0.095502,0.075339
204,0.089108,0.129015,0.116203
205,1.685123,0.32469,0.256992
206,0.036417,0.078489,0.137037
207,0.097523,0.104873,0.049449
208,0.242477,0.213784,0.122345
209,0.827504,0.795358,1.350739
210,0.056131,0.048976,0.042853
211,0.106237,0.157327,0.219225
212,0.075212,0.061847,0.084339
213,0,0,0
214,0.286823,0.418862,0.356438
215,0.041693,0.044489,0.044273
216,0.119075,0.071417,0.078853
217,1.212016,0.617474,0
218,0.057753,0.060028,0.754746
219,0.11346,0.065707,0.035944
220,0.108254,0.077124,0.064808
221,0,0,0.206799
222,1.365537,0,1.726075
223,0.037415,0.106115,0.041004
224,0.104025,0.072662,0.116323
225,0.944037,0,0.063764
226,1.150858,1.334094,0
227,0.025092,0.039288,0.127807
228,0.099477,0.107461,0.059427
229,0.260868,0.163671,0.161298
230,1.51607,0,0.328153
231,0.037914,0.048124,0.03907
232,0.241087,0.047557,0.1698
233,0.078573,0.149228,0.059865
234,0,0,0
235,0.09526,0.153447,0.100727
236,0.064958,0.053809,0.065165
237,0.103297,0.072441,0.080709
238,1.541444,1.546096,0
239,0.036911,0.033772,0.116182
240,0.071965,0.088315,0.124179
241,0.106158,0.076661,0.093186
242,0,0,0.136115
243,0.099696,0.332882,0.89982
244,0.065573,0.037692,0.028633
245,0.110541,0.057582,0.075541
246,0,0,0.300305
247,0,2.374219,0
248,0.139186,0.054525,0.043779
249,0.073593,0.099554,0.104362
250,0.568281,0.056192,0.063734
251,1.037544,2.064072,0
252,0.0271,0.035535,0.140143
253,0.085895,0.079223,0.073913
254,0.40001,0.113307,0.1046
255,0,1.317163,1.14615
256,0.048302,0.035307,0.036601
257,0.057239,0.082792,0.049969
258,0.077805,0.090482,0.098858
259,1.277145,0,0.074084
260,0.056439,0.117496,0.257766
261,0.064473,0.054039,0.032993
262,0.204908,0.134303,0.125707
263,0.14916,0.102257,0.115013
264,0.040978,1.456065,1.376076
265,0.071221,0.044228,0.034755
266,0.070676,0.066283,0.085484
267,0.728874,0.138201,0.107738
268,0.042318,0.174017,0.32154
269,0.048618,0.056136,0.038807
270,0.074179,0.071734,0.087203
271,0.153564,0.254566,0.069415
272,1.279751,1.168098,1.478489
273,0.027641,0.038258,0.031607
274,0.179677,0.097251,0.089263
275,0.158089,0.227415,0.078809
276,0,0.676602,1.116133
277,0.072951,0.04621,0.050429
278,0.104597,0.081443,0.088633
279,0.077192,0.153652,0.076874
280,1.204251,0.560786,1.976673
281,0.046623,0.026637,0.035524
282,0,0,0.011977
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
