journal_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
224,386628655,347304024,384542197
225,388315079,348699864,385943609
226,388417411,348706260,386545552
227,388513348,348840576,386581105
228,392202418,352209960,390202509
229,393956385,353566668,391875346
230,394516389,354187080,392765852
231,394567555,354187080,392772247
232,398147908,356498304,396330499
233,398788246,357918972,396822969
234,400083774,359710608,398492230
235,400096564,359710608,398492230
236,403482217,361623768,402112354
237,405359774,364347156,403897493
238,406067641,365000304,404873210
239,406176370,365121828,404956350
240,409852644,368430072,408639690
241,410614505,369169188,409385161
242,411935626,370535868,410888889
243,412031564,370555056,411103524
244,414978729,371732676,411659936
245,416611187,375038100,415230982
246,418335242,376314480,417048101
247,418392802,376320876,417348695
248,418392802,376365648,417348695
249,423081147,380231856,421786737
250,424962276,381485472,423009809
251,425083798,381786840,423649380
252,425115778,381895572,423655775
253,428856756,385340952,427133720
254,430939725,386724000,428784557
255,431320652,387335196,429699891
256,431327047,387450324,429866178
257,435038896,390272472,432902820
258,436215732,391405320,434534466
259,437499986,393088980,436080144
260,437723838,393088980,436339545
261,440992857,394889832,438069943
262,442189629,397526496,440668087
263,443063798,398054544,441545048
264,443457519,398592564,442185377
265,444677052,398669316,442210958
266,447651121,402099084,445688865
267,449911111,403779168,447816545
268,449946667,403900692,447950852
269,451117862,404646960,448459685
270,454035107,408006372,451698140
271,455830272,409209576,453134344
272,456086102,409670088,453626810
273,456128053,409740444,453767520
274,459741159,413228532,456948431
275,460790071,413484372,458493365
276,461583900,414357804,459332698
277,461667046,414428160,459511778
278,465541600,417749952,462996056
279,467135661,419061888,464371876
280,467596160,419707884,465610568
281,467653723,419733468,465655338
282,470037304,422002740,468191588
283,470037304,422002740,468193732
284,470037304,422002740,468193732
285,470037304,422002740,468193732
286,470037304,422002740,468193732
287,470037304,422002740,468193732
288,470037304,422002740,468193732
289,470037304,422002740,468193732
290,470037304,422002740,468193732
291,470037304,422002740,468193732
292,470037304,422002740,468193732
293,470037304,422002740,468193732
294,470037304,422002740,468193732
295,470037304,422002740,468193732
296,470037304,422002740,468193732
297,470037304,422002740,468193732
298,470037304,422002740,468193732
299,470037304,422002740,468193732
300,470037304,422002740,468193732
301,470037304,422002740,468193732
302,470037304,422002740,468193732
303,470037304,422002740,468193732
304,470037304,422002740,468193732
305,470037304,422002740,468193732
306,470037304,422002740,468193732
307,470037304,422002740,468193732
308,470037304,422002740,468193732
309,470037304,422002740,468193732
310,470037304,422002740,468193732
311,Null,422002740,Null
