w_await,node164,node165,node166
217,15.21,5.41,7.69
218,20.36,5.65,13.95
219,12.0967,7.91,1.415
220,14.3033,3.28,2.755
221,8.85667,5.62,11.9
222,15.9933,7.89,10.63
223,11.0333,4.52,4.045
224,11.4633,18.66,3.235
225,2.07,10.765,3.3
226,1.89,16.525,13.485
227,2.39333,3.725,2.78
228,13.0133,9.175,16.9
229,11.3,8.695,15.485
230,14.1233,2.905,13.075
231,4.68667,13.485,17.045
232,15.0033,11.755,5.325
233,11.3533,16.99,3.215
234,9.80333,2.815,9.83
235,3.72333,8.49,11.67
236,8.79,2.995,11.135
237,12.6233,12.64,15.89
238,11.1767,1.9,10.515
239,19.93,2.78,15.405
240,12.6567,2.7,12.5
241,9.69667,1.48,7.765
242,3.19333,4.485,18.455
243,9.96667,1.41,15.96
244,9.62,9.94,10.39
245,21.6467,1.36,8.6
246,10.7533,3.3,1.425
247,19.2233,1.44,11.085
248,17.57,1.515,10.675
249,23.7933,8.84,4.815
250,16.9933,3.315,14.115
251,17.76,6.105,3.295
252,11.8633,4.11,5.165
253,5.69,3.135,15.495
254,15.7233,1.305,11.045
255,28.5433,5.81,9.585
256,13.9433,12.22,6.465
257,5.69667,9.93,1.41
258,15.3333,13.675,12.055
259,19.2433,5.765,5.655
260,20.8967,1.295,2.645
261,12.9367,8.095,1.49
262,15.41,6.67,10.27
263,16.8533,3.03,9.63
264,5.78,3.47,11.84
265,27.36,1.575,4.06
266,8.31333,11.875,1.53
267,15.1333,9.44,3.14
268,13.7933,27.76,5.555
269,9.07667,6.065,9.25
270,11.97,7.41,2.09
271,7.83,10.055,4.515
272,10.2167,8.35,5.845
273,16.4567,8.71,14.37
274,12.4067,12.555,8.075
275,14.0633,15.615,2.86
276,18.5867,3.2,6.785
277,10.8833,12.845,1.495
278,8.14667,7.445,5.865
279,7.43333,13.42,15.27
280,9.27667,11.65,1.46
281,13.4167,3.08,4.605
282,8.09667,8.86,10.755
283,12.15,2.895,3.46
284,17.76,21.99,13.88
285,1.98,10.195,6.79
286,18.41,9.375,6.575
287,9.69333,10.195,11.36
288,9.63667,5.905,2.79
289,5.78,7.505,10.86
290,12.7367,13.34,2.985
291,2.12,8.31,3.24
292,8.52333,3.275,4.85
293,10.7,5.945,5.215
294,14.0733,2.77,13.79
295,6.13667,8.445,7.715
296,13.9967,5.51,3.07
297,10.2033,10.58,2.915
298,15.7867,1.56,12.8
299,17.4633,3.215,7.105
300,17.1333,6.825,1.405
301,14.0433,6.82,3.24
302,13.84,3.405,5.42
303,15.6467,2.98,3.635
304,12.26,11.285,1.42
305,16.4267,31.585,13.28
306,17.7,3.105,5.54
307,13.4967,8.585,5.02
308,12.8533,10.18,14.065
309,15.56,3.285,16.385
310,6.58,9.95,12.935
311,14.5533,4.18,4.38
312,8.10667,17.295,6.795
313,13.5067,4.72,13.32
314,17.8,2.92,13.15
315,4.97667,3.015,8.19
316,1.08333,9.81,19.045
317,12.7067,5.455,13.345
318,19.5667,15.53,11.035
319,18.8167,5.36,10.385
320,17.79,1.53,8.07
321,19.7067,5.925,6.235
322,9.33667,1.655,5.75
323,8.39333,7.79,18.125
324,20.07,2.785,9.01
325,9.52667,1.425,9.53
326,8.17,11.24,17.51
327,15.48,18.785,8.055
328,5.35,8.815,1.46
329,26.1167,1.595,10.88
330,14.4067,1.355,7.77
331,13.7833,12.29,9.95
332,14.63,8.695,15.41
333,16.5267,12.275,10.87
334,16.16,3.795,16.11
335,10.7867,3.12,4.3
336,12.48,1.31,5.41
337,7.35,3.87,12.74
338,11.2533,18.92,5.835
339,18.79,11.91,1.455
340,16.84,3.25,9.86
341,16.7533,6.79,10.62
342,19.4233,1.53,2.32
343,6.3,3.365,1.34
344,11.9433,8.365,5.735
345,4.92,5.37,11.355
346,7.10333,7.07,11.255
347,13.7167,5.185,14.575
348,8.91667,11.08,2.195
349,11.89,2.06,2.735
350,20.5533,5.63,17.525
351,14.3367,3.195,9.88
352,16.14,6.81,7.93
353,10.0,16.005,3.4
354,1.9,13.725,2.98
355,19.1633,11.36,12.455
356,19.4967,2.58,14.645
357,7.11,9.85,3.115
358,15.0567,15.88,6.355
359,11.4367,8.24,7.79
360,9.69333,5.765,10.76
361,11.47,10.93,10.02
362,9.42333,4.97,7.725
363,16.9633,8.185,1.575
364,5.07667,7.885,9.515
365,5.68,5.905,9.765
366,26.82,3.26,14.135
367,16.1933,4.425,9.31
368,9.40333,10.605,4.91
369,10.3167,11.84,5.97
370,15.32,5.065,4.38
371,9.02333,10.535,10.865
372,7.63333,1.505,3.285
373,1.82667,13.495,4.905
374,1.10333,12.665,16.21
375,15.18,1.39,14.025
376,12.2367,3.41,14.21
377,7.23333,8.625,10.81
378,13.1933,12.145,9.63
379,9.9,10.005,13.025
380,13.5433,17.015,10.855
381,4.42667,14.1,2.78
382,18.06,1.44,9.945
383,17.3,3.75,7.02
384,15.61,8.78,1.35
385,16.7867,3.81,4.89
386,12.0267,4.455,9.845
387,12.94,4.075,4.635
388,11.6233,10.895,9.515
389,17.7167,1.4,7.855
390,20.1767,2.7,7.195
391,13.6933,15.195,3.13
392,12.7633,11.94,6.425
393,20.4067,3.11,7.27
394,5.85,11.8,8.32
395,1.84,4.495,8.87
396,0.0,0.0,2.715
397,0.0,0.0,0.0
398,0.0,0.0,0.0
399,0.0,0.0,0.0
