stat_bytes_used,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
0,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
1,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
2,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
3,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
4,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
5,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
6,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
7,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
8,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
9,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
10,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
11,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
12,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
13,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
14,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
15,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
16,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
17,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
18,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
19,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
20,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
21,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
22,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
23,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
24,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
25,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
26,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
27,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
28,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
29,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
30,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
31,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
32,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
33,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
34,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
35,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
36,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
37,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
38,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
39,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
40,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
41,12477784064,9974054912,14757613568,15487971328,15668477952,14888112128,18159165440
42,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
43,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
44,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
45,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
46,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
47,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
48,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
49,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
50,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
51,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
52,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
53,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
54,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
55,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
56,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
57,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
58,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
59,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
60,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
61,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
62,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
63,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
64,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
65,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
66,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
67,12477784064,9974054912,14757613568,Null,Null,14888112128,18159165440
