%iowait,node156,node157
361,95.88,94.9
362,96.94,97.92
363,95.92,95.88
364,83.0,84.69
365,0.0,0.0
366,73.0,72.73
367,93.0,91.92
368,97.92,96.91
369,96.91,96.88
370,93.07,94.95
371,25.74,27.0
372,31.0,28.57
373,97.94,93.07
374,94.95,95.96
375,93.14,94.95
376,95.92,94.85
377,71.72,73.47
378,0.0,0.0
379,82.0,83.17
380,94.95,93.0
381,95.92,95.88
382,95.96,95.96
383,94.0,96.91
384,17.0,16.16
385,40.82,43.88
386,95.92,93.94
387,96.94,96.94
388,96.91,95.96
389,95.0,96.91
390,60.2,59.0
391,0.98,0.0
392,95.83,94.0
393,95.0,96.91
394,70.83,46.94
395,1.0,0.0
396,0.0,0.0
397,0.0,0.0
398,0.0,0.0
399,0.0,0.0
