op_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
109,0.020333,0.020628,0.021003,0.023336,0.010798,0.019817,0.009675
110,0.030345,0.014638,0.021457,0.024902,0.010671,0.014718,0.016302
111,0.012472,0,0.020353,0,0,0.024592,0.031129
112,0.017517,0,0.022266,0,0,0.018546,0.021526
113,0.024882,0.024972,0.024165,0.023078,0.017525,0.019976,0.021613
114,0.015544,0.016519,0.020872,0.021409,0.022472,0.020312,0.018843
115,0.014833,0.022951,0.022759,0,0,0.018164,0.024965
116,0,0.015526,0.02966,0.021316,0,0.017946,0.016368
117,0.024511,0,0.025228,0.016971,0,0.009753,0.022694
118,0.035408,0,0.010465,0.024457,0.018978,0.014185,0.015876
119,0.015955,0.020361,0.007673,0,0.020733,0,0.024367
120,0.013593,0,0.022916,0.021173,0.014529,0,0.019317
121,0,0,0.021917,0.012869,0,0.007726,0.012828
122,0.022922,0.02585,0.021838,0.021576,0,0.024506,0.020562
123,0.023477,0.020537,0.021872,0.024082,0.020088,0,0.029219
124,0.012587,0,0.020751,0.013529,0.015873,0.009785,0
125,0.022279,0,0.024266,0,0.020908,0.017528,0.024338
126,0.027739,0,0.020637,0,0.018535,0.017763,0.023335
127,0.024715,0.020923,0.021177,0.017627,0.014342,0.017129,0
128,0.023948,0.009371,0,0,0.024591,0.016569,0.028403
129,0.01202,0.020715,0.01397,0.023129,0,0.012711,0
130,0.018784,0.023719,0.024242,0,0.019975,0.02326,0.022387
131,0.015901,0.017546,0.022881,0,0.020517,0.019694,0.020245
132,0.032479,0.022039,0.009168,0.007378,0,0.020854,0.033214
133,0.026776,0.028642,0.016577,0.019436,0.02543,0.019176,0.024634
134,0.026323,0,0.026016,0.008118,0.024904,0.024426,0
135,0.018538,0.019193,0.024564,0.019481,0,0.016092,0.021808
136,0.012179,0,0.018091,0.020763,0.013387,0,0.019828
137,0.020496,0,0.013096,0,0.019399,0.020293,0.019885
138,0.011653,0,0.021465,0,0.019195,0.020191,0.02137
139,0,0,0.023257,0.022355,0,0.022094,0.015995
140,0.012665,0.015917,0.021375,0.030242,0.025999,0.021291,0.015917
141,0.025054,0.019353,0.020976,0,0.01846,0.024306,0.019234
142,0.025467,0.02235,0.017827,0.008914,0,0.020632,0.025647
143,0.014592,0.015115,0.020374,0,0,0,0.020527
144,0.01697,0,0.020544,0.020593,0.009056,0.020222,0.01391
145,0.012441,0,0.021261,0.025656,0,0.019973,0
146,0.017526,0.018676,0,0.007036,0.027014,0.021054,0
147,0.025097,0,0.015324,0,0.015534,0.032463,0.014289
148,0.02653,0.009437,0.016493,0,0.02854,0,0.009891
149,0.012633,0.022344,0.021373,0,0,0.020196,0.021616
150,0.011769,0.023868,0.02216,0,0.006438,0.006835,0.021658
151,0,0.024729,0.018942,0.020644,0,0.026351,0
152,0,0.025544,0.022914,0.007039,0.016425,0.016289,0.007896
153,0,0.017163,0.017015,0.010538,0.019908,0.021535,0.019052
154,0.012817,0,0,0.023228,0,0.022896,0.021614
155,0.02022,0,0.020688,0,0.009736,0.021373,0.021022
156,0,0.025293,0.016471,0,0.007926,0.012215,0.007198
157,0,0.018469,0.021248,0.008544,0,0.018318,0.011968
158,0.02163,0.019246,0.017943,0.019546,0,0.021515,0.013693
159,0.022225,0,0.023807,0.023195,0.020845,0.014603,0.01368
160,0.020298,0.019407,0,0,0.017499,0.018437,0
161,0.031935,0.027624,0.021269,0,0.02716,0.024701,0.011232
162,0.023482,0.020744,0.017883,0.010407,0.014096,0.015546,0
163,0.01671,0,0.013908,0,0.020759,0.019362,0
164,0.016577,0.019954,0.018649,0.007659,0.01603,0.009343,0
165,0.022693,0,0.01426,0.015286,0.008312,0.012416,0
166,0.026241,0,0.015224,0.008024,0.018431,0.013391,0.011491
167,0.011231,0,0.011948,0,0.017726,0,0.022982
168,0.007679,0,0.016618,0,0.027112,0.015835,0.014367
169,0.023306,0,0,0,0.026803,0.030917,0.017591
170,0.027439,0.013634,0.010502,0,0,0.017708,0
171,0.021914,0.023399,0,0.017539,0,0.025415,0.018446
172,0.018251,0.020942,0.012443,0.024977,0.016649,0.012397,0.022215
173,0.023596,0.021797,0.013552,0.021547,0.027661,0,0.023254
174,0.019019,0,0,0.023684,0.008585,0.011176,0.015774
175,0.008506,0,0.01799,0.010214,0.02231,0.02271,0.014932
176,0,0.015079,0,0.018474,0.017959,0.021169,0.01949
177,0.013279,0.024744,0.025174,0,0.011537,0.021857,0.056581
178,0,0.025125,0.027113,0.024394,0.014827,0.019893,0.017722
179,0.019363,0,0.026795,0.015339,0.027928,0.02856,0.018596
180,0.014354,0.011704,0.016972,0.019309,0.013512,0,0.015708
181,0.015281,0.02693,0.012165,0,0,0.019527,0.022036
182,0.019542,0.017757,0.022442,0,0,0.022014,0.016904
183,0.014621,0.0159,0.011019,0,0,0.02118,0.021056
184,0,0.020494,0.007508,0,0.007329,0.018394,0.019129
185,0.012225,0,0.017207,0.015681,0.017339,0.027212,0.023184
186,0.019787,0.019232,0.020939,0.024568,0,0.015602,0.011112
187,0.012282,0,0.028519,0,0,0.020463,0
188,0.014243,0.018517,0.021054,0.007977,0,0.022553,0.019243
189,0.023958,0.021662,0.015194,0,0.014432,0,0.021702
190,0.010511,0,0.021157,0.01781,0.015699,0.007038,0.015726
191,0.015797,0,0.025192,0.019889,0.017633,0,0.017552
192,0.018451,0,0.023886,0.014968,0.017559,0.016705,0
193,0.03744,0.019631,0.026714,0.020692,0.017859,0.025718,0.014856
194,0.022292,0,0.029234,0.017475,0.023811,0.014162,0.022085
195,0.0242,0.031269,0.020008,0.022098,0.023029,0,0.019011
196,0,0.021157,0.013009,0.02301,0.014947,0.010201,0.02548
197,0.016851,0.010293,0.018994,0,0.010281,0.01847,0
198,0.017496,0.018379,0.019458,0.020891,0.011906,0.022351,0.028384
199,0,0.021114,0.030773,0,0,0.015628,0
200,0.02387,0.016798,0.024387,0,0,0.016402,0.008662
201,0.018192,0,0.025004,0,0.031546,0.02247,0.02131
202,0.020561,0.007187,0.016632,0.021603,0,0.023397,0.025995
203,0.017866,0,0.016109,0.013086,0,0.014775,0
204,0.018604,0,0.027985,0.018435,0.019926,0.009125,0
205,0.022326,0.022067,0.013162,0.020827,0,0.022552,0.023766
206,0.020862,0,0.018757,0.024375,0.008494,0,0.018997
207,0.01454,0.013407,0.037111,0,0.009096,0.031019,0.014311
208,0.025222,0.024896,0.020104,0,0.01582,0.022078,0.019096
209,0.0361,0.022643,0.010797,0.008996,0.021202,0.015446,0
210,0.02255,0.021007,0.020723,0.016047,0.009437,0.020189,0.010732
211,0,0.007801,0.017153,0,0.006447,0.026293,0.034528
