txpck/s,node153,node154
259,580.2,65.0
260,133.0,161.39
261,164.36,979.21
262,955.45,1848.0
263,1711.88,1471.29
264,1291.0,1161.0
265,1081.0,690.0
266,648.0,387.13
267,353.0,168.0
268,165.35,355.45
269,330.0,1795.0
270,1694.0,1824.0
271,1599.01,554.0
272,480.0,1146.53
273,1040.0,1297.0
274,1208.91,79.21
275,81.37,51.49
276,59.0,998.0
277,955.45,1713.0
278,1491.0,1635.64
279,1529.0,1074.0
280,942.0,1162.0
281,1043.56,508.0
282,436.0,135.64
283,135.64,127.72
284,137.0,1513.0
285,1289.11,1865.0
286,1657.0,1186.0
287,1132.0,1182.0
288,1049.0,1060.4
289,976.0,332.0
290,301.98,51.49
291,53.0,293.07
292,235.64,1788.0
293,1614.85,1733.66
294,1555.0,1133.66
295,1056.0,1117.0
296,865.0,973.0
297,927.0,133.66
298,159.0,97.0
299,99.0,411.0
300,376.0,1852.48
301,1578.22,1555.0
302,1311.88,1146.0
303,1071.0,1058.42
304,1035.0,590.0
305,587.0,95.0
306,94.0,125.74
307,145.54,1462.0
308,1252.0,1876.0
309,1662.0,903.96
310,884.0,848.0
311,773.0,1159.0
312,1010.0,230.69
313,263.37,35.64
314,42.0,1404.0
315,1179.0,1299.01
316,1222.77,1550.5
317,1443.0,1015.0
318,990.1,1049.5
319,1036.0,345.0
320,342.0,64.36
321,51.0,144.0
322,157.43,1717.0
323,1399.0,1928.0
324,1759.0,845.0
325,846.53,1017.82
326,862.38,1105.94
327,985.15,207.92
328,238.0,91.09
329,90.1,534.0
330,404.85,1992.08
331,1866.0,1594.06
332,1496.0,1153.47
333,1007.0,923.0
334,961.39,836.63
335,837.0,52.0
336,74.0,102.97
337,92.08,709.0
338,573.0,1890.1
339,1738.0,1727.72
340,1768.63,1193.07
341,954.0,1042.0
342,901.0,863.0
343,817.0,74.26
344,68.0,85.0
345,75.0,773.27
346,551.49,1856.0
347,1731.0,1492.08
348,1407.0,1022.77
349,1059.0,1148.0
350,931.68,545.0
351,581.19,147.52
352,133.66,106.0
353,126.0,1356.0
354,1064.36,1847.52
355,1738.0,1339.6
356,1463.0,1071.0
357,930.39,1074.0
358,1024.0,390.1
359,392.08,239.6
360,225.0,219.8
361,114.85,1728.0
362,1709.0,1725.74
363,1755.0,1199.0
364,1230.0,903.96
365,838.0,893.0
366,679.21,105.0
367,218.81,111.0
368,116.0,1417.82
369,1147.0,2011.0
370,1871.57,960.4
371,1070.0,1049.5
372,910.89,1256.0
373,1303.0,423.0
374,484.16,193.0
375,191.0,821.57
376,681.0,1253.47
377,1195.0,1866.34
378,1710.89,1259.0
379,1250.0,959.0
380,1010.89,488.0
381,538.0,210.0
382,210.0,155.45
383,162.0,1056.44
384,870.0,1618.81
385,1549.0,1483.17
386,1465.35,793.0
387,749.0,951.49
388,913.0,173.27
389,247.0,170.0
390,175.0,466.0
391,298.02,1668.0
392,1551.0,1643.56
393,1706.93,995.0
394,997.0,1126.0
395,1000.0,713.0
396,871.29,126.73
397,134.65,135.0
398,120.0,1182.0
399,965.0,1409.0
