op_w_process_latency,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
105,0.078618,0.08072,0.112048,0.493701,0,0.12934
106,0.155669,0.155949,0.144934,0.140207,0.578054,0.348281
107,0.071955,0,0.105369,0.07851,0.064193,0.051072
108,1.964222,0,1.702419,0.123013,0.17933,0.149374
109,0.152486,0.135457,0.158895,0.153126,0.13743,0.101497
110,0.129788,0.140732,0.133504,2.361493,0,0
111,0.176005,0,0.155611,0.085002,0.209537,0.324869
112,1.315729,2.247766,2.041065,0.128512,0.098201,0.05489
113,0.12514,0.170896,0.170191,0.129151,0.137714,0.109574
114,0.131855,0.134283,0.16888,0,0,0.259391
115,0.184484,0.188612,0.182695,1.807741,2.140321,2.224634
116,2.229005,1.176251,1.532482,0.061526,0.077894,0.075877
117,0.121992,0.103683,0.159998,0.167055,0.177316,0.082694
118,0.156614,0.144983,0.185464,0.177797,0.169781,0.123265
119,0.164612,0.169724,0.178215,2.387991,1.982571,1.142854
120,1.992561,0,0,0.225079,0.106645,0.078145
121,0.303628,0.657566,0.435221,0.166279,0.095048,0.080702
122,0.098452,0.076934,0.079413,0.191433,0.188696,0.084557
123,0.126233,0.112327,0.129306,1.954338,2.010037,0
124,0.348557,0.278902,0.138135,0.190383,0.34929,0.971845
125,0,0,0,0.100841,0.077831,0.049504
126,0.165274,0.277078,0.191615,0.140066,0.099209,0.100989
127,0.137091,0.127955,0.095858,1.01633,0.315184,0.13414
128,0.165783,0.154457,0.15461,2.556242,0,0
129,1.695526,0,1.670974,0.092369,0.242048,0.311831
130,0.189011,0.302944,0.377747,0.134241,0.148229,0.10809
131,0.089075,0.08408,0.084573,0.173576,0.152844,0.128764
132,0.137237,0.169038,0.183136,1.649672,0,0
133,0,0,0,0.181054,0.293737,0.410149
134,0.878322,1.639478,1.87095,0.100147,0.071685,0.063796
135,0.077262,0.113218,0.130607,0.18544,0.15692,0.145592
136,0.140838,0.125606,0.167399,0,0.185983,0.140162
137,0.899261,0.893856,0,1.535809,1.655094,1.690174
138,1.186834,1.38913,2.43176,0.055914,0.12517,0.058845
139,0.062318,0.074834,0.080534,0.14909,0.104669,0.097713
140,0.127928,0.124299,0.150504,0.145978,0.140679,0.101785
141,0.210353,0.083826,0.164518,0,0.880675,0
142,2.228818,1.759373,0,0.258783,0.249291,2.145305
143,0.169874,0.379208,0.523321,0.085822,0.087093,0.061405
144,0.093574,0.086078,0.07949,0.133048,0.115378,0.076011
145,0.223713,0.238943,0.190733,0.426383,0.404792,0
146,0.494939,0.884271,0.495352,1.241501,2.1945,1.771445
147,0.388305,1.96385,0.877217,0.081611,0.131812,0.056033
148,0.084547,0.085197,0.078174,0.199557,0.121016,0.12646
149,0.163446,0.200997,0.146682,0.650087,0.546082,0.915013
150,1.272753,0.145881,0.402371,1.167245,1.781077,1.785041
151,1.812496,1.271487,1.636622,0.067397,0.064292,0.063365
152,0.110419,0.133219,0.121181,0.1313,0.189296,0.080663
153,0.142513,0.190205,0.162373,0.31347,0.229649,0.12332
154,0.254094,0.224971,0.19589,1.880157,0,1.171938
155,0.986495,1.143767,1.820719,0.114508,0.170384,0.098057
156,0.110617,0.171641,0.206123,0.095252,0.122441,0.066894
157,0.164408,0.158872,0.156469,0.211649,0.186735,0.1785
158,0.114853,0.164357,0.125508,0,0.333765,1.102486
159,1.806142,1.883608,1.80992,0.409518,0.828228,0.057036
160,0.102014,0.147529,0.129789,0.077415,0.082195,0.055022
161,0.148898,0.113842,0.085896,0.147253,0.139275,0.163773
162,0.177481,0.149134,0.162068,0,0.168568,0.102657
163,1.461361,1.482955,1.139363,1.017532,0.892299,1.884486
164,0.344449,1.435629,2.399884,0.078112,0.103962,0.068052
165,0.081972,0.073927,0.107312,0.151614,0.12269,0.140178
166,0.170737,0.167385,0.146593,0.28413,0.221035,0.178939
167,1.062765,1.064134,0.524284,1.475378,0,1.902965
168,0.169335,0.188988,0.38783,0.147536,0.169145,0.130046
169,0.087932,0.092716,0.068816,0.148319,0.100433,0.074072
170,0.187309,0.155155,0.153618,0.146794,0.145009,0.153288
171,0.406171,0.389614,0.1901,0,0,0.571004
172,0.407846,0.57896,1.161833,0.165942,0.239628,0.104205
173,0.078252,0.097485,0.093381,0.100423,0.089435,0.056805
174,0.164872,0.174277,0.191497,0.160918,0.144728,0.120863
175,0,0,0.604042,1.833041,0.404165,0.420134
176,1.737803,1.947806,1.817049,0.28236,0.464726,0.349814
