op_w_rlat,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
93,0.08977,0.085846,0.080403,1.69202,0,1.677564
94,0.149808,0.154785,0.145418,0.06391,0.063794,0.06146
95,0,0.194678,0.183478,0.121626,0.096577,0.112933
96,0.33539,1.251142,0,0.093682,0.111981,0.096272
97,0.089453,0.091582,0.255305,0,1.525619,0
98,0.132033,0.148534,0.142851,0.066289,0.068025,0.057279
99,0,0,0,0.107595,0.147766,0.139367
100,1.8684,2.287476,1.962262,0.109881,0.15189,0.159993
101,0.112906,0.093961,0.207078,0,0,0
102,0.144478,0.205736,0.183462,0.056949,0.078696,0.297811
103,0,0,0.447734,0.057959,0.069613,0.072027
104,0.495315,1.082143,1.515897,0.13093,0.159226,0.052673
105,0.087525,0.088531,0.119863,0.499298,0,0
106,0.180181,0.162013,0.151025,0.063603,0.06667,0.050927
107,0.080584,0,0.109756,0.083201,0.061788,0.055392
108,1.719754,0,1.706617,0.1149,0.154084,0.153363
109,0.165385,0.141388,0.172328,0.077775,0.074916,0.071268
110,0.133856,0.138885,0.140357,2.365866,0,0
111,0.219418,0,0.176792,0.084322,0.074715,0.077723
112,0.839955,0,0,0.131715,0.11942,0.063716
113,0.144239,0.177196,0.19301,0.102178,0.106655,0.108207
114,0.142197,0.135761,0.175669,0,0,0.254392
115,0.193671,0.18974,0.178773,2.201748,0,2.227863
116,1.397488,1.184323,0,0.067936,0.076623,0.068466
117,0.131358,0.108061,0.150237,0.094733,0.107931,0.077313
118,0.174862,0.147964,0.189676,0.186202,0.182343,0.107162
119,0.144002,0.172944,0.175428,2.388711,1.98396,1.143762
120,0,0,0,0.067612,0.125188,0.094154
121,0.369048,0.33367,0.483368,0.159824,0.089832,0.090319
122,0.124203,0.087198,0.085538,0.172653,0.18763,0.071919
123,0.118056,0.114883,0.135279,1.955404,2.010498,0
124,0.453927,0.203909,0.135989,0.191544,0.16302,0.093098
125,0,0,0,0.113332,0.093778,0.051804
126,0.154927,0.194502,0.128288,0.14579,0.112731,0.110864
127,0.144356,0.114271,0.104219,0,0.316014,0.158078
128,0.161638,0.151078,0.137777,2.560215,0,0
129,1.69627,0,1.672525,0.110634,0.351247,0.4145
130,0.219324,0.369938,0.467526,0.12427,0.128841,0.128039
131,0.09351,0.090673,0.082901,0.16208,0.138871,0.128804
132,0.154176,0.169068,0.188105,0,0,0
133,0,0,0,0.186496,0.069869,0.621576
134,0.85692,1.640354,1.900081,0.10196,0.069298,0.051076
135,0.06877,0.118333,0.142729,0.18383,0.154506,0.145351
136,0.145815,0.13082,0.159957,0,0.22259,0.143397
137,0.90135,0.895947,0,1.772898,1.596484,0
138,1.189309,1.39094,2.155399,0.059258,0.052829,0.064201
139,0.066699,0.079293,0.085935,0.176019,0.11145,0.117466
140,0.143621,0.133022,0.175419,0.151657,0.130408,0.07927
141,0.108847,0.085267,0.179713,0,0,0
142,0,0,0,0.116287,0.257169,0.357162
143,0.178263,0.615327,0.107873,0.07088,0.094423,0.071387
144,0.100279,0.094506,0.082696,0.112542,0.126901,0.078209
145,0.250536,0.24618,0.202213,0,0,0
146,0.497079,0,0.496439,1.423039,2.198873,1.773193
147,0.426888,1.970422,0.878629,0.09032,0.078785,0.063996
148,0.092938,0.083834,0.087214,0.138177,0.111777,0.161566
149,0.171405,0.203599,0.156844,0.653699,0.662382,0.919265
150,1.274143,0,0.418557,0.219755,0.647658,1.900026
151,1.441501,1.27304,1.637783,0.071499,0.059842,0.066579
152,0.120905,0.141782,0.133827,0.133098,0.164893,0.078849
153,0.183762,0.196478,0.154146,0.147779,0.180575,0.130976
154,0.255101,0.238715,0.200547,0,0,0
155,0.986698,0,0,0.138601,0.064602,0.052022
156,0.131766,0.178415,0.234649,0.105262,0.112993,0.069731
157,0.152764,0.14506,0.166317,0.166667,0.126556,0.121468
158,0.131623,0.134159,0.1229,0,0.334543,1.104068
159,0,0,0,0.150971,0.422846,0.140067
160,0.094742,0.14616,0.15126,0.06841,0.069186,0.04823
161,0.151908,0.119764,0.092785,0.162508,0.135744,0.170545
162,0.142584,0.163457,0.162582,0,0,0.107289
163,1.461612,0,1.441569,1.059723,0.961744,1.886365
164,0.362748,1.422976,2.401583,0.081027,0.075431,0.084795
165,0.088174,0.079607,0.118465,0.171904,0.133349,0.143254
166,0.1713,0.14112,0.148376,0.415702,0.330089,0.158758
167,1.064105,1.065891,0.90902,1.489993,0,1.903979
168,0.194434,0.212508,0.461404,0.065899,0.067604,0.167315
169,0.101448,0.103666,0.074054,0.118415,0.102016,0.073395
170,0.191765,0.142682,0.155381,0.212612,0.162708,0.164245
171,0,0,0.191475,0,0,0.707196
172,0.369888,0.720784,1.028491,0.091716,0.157546,0.068955
173,0.093606,0.102501,0.098557,0.094701,0.097649,0.064477
174,0.18146,0.175629,0.221688,0.192481,0.184876,0.109774
175,0,0,0,1.834148,0.407445,0.42113
176,1.98991,2.117861,1.819387,0.079257,0.457629,0.387941
177,0.074686,0.08779,0.103064,0.073138,0.071705,0.047117
178,0.145041,0.167708,0.198905,0.162767,0.152694,0.14528
179,0.312061,0.179517,0.21521,0.623763,0.329981,0.271794
180,1.191986,1.683189,1.688108,0.627965,1.705415,0
181,0.095068,0.102556,0.115483,0.06474,0.066102,0.053346
182,0.162341,0.145523,0.173993,0.161547,0.12519,0.132365
183,0.340735,0.123648,0.174159,0.521769,0.239124,0.147836
184,1.281898,0.807809,0,1.281417,1.736367,1.772268
185,0.08103,0.080446,0.144401,0.075475,0.061893,0.058782
186,0.133635,0.160041,0.140628,0.173861,0.15954,0.108479
187,0.150394,0.212204,0.181648,0.532814,0.410022,0.033621
188,0,0,0,1.54232,1.826599,1.79061
189,0.11954,0.08383,0.23694,0.076331,0.07063,0.051403
190,0.136031,0.143357,0.108538,0.124028,0.136664,0.175647
191,0.136011,0.105051,0.17422,0.253263,0.217506,0.497332
192,0,0,0,1.594194,0,0
193,0.322409,0.450637,0.730206,0.072985,0.220914,0.128277
194,0.080508,0.093748,0.092359,0.136119,0.126206,0.045567
