avgqu-sz,node164,node165,node166
216,0.466667,3.725,2.175
217,2.43333,3.06,0.625
218,3.34,0.0,3.05
219,2.54,1.44,0.0
220,0.593333,0.53,0.605
221,0.823333,4.735,4.39
222,0.616667,3.495,0.47
223,3.84333,0.26,4.35
224,2.89333,0.205,0.0
225,0.143333,0.91,1.305
226,0.56,5.13,4.43
227,0.306667,2.5,0.63
228,4.63667,2.74,4.115
229,1.93333,0.42,0.07
230,0.353333,0.995,0.505
231,0.156667,4.25,4.585
232,0.793333,1.325,0.15
233,3.17,3.015,0.98
234,3.00333,0.765,2.62
235,1.14667,1.945,1.23
236,0.126667,0.64,2.13
237,0.9,4.545,4.53
238,1.43,5.0,0.725
239,4.12333,0.055,3.85
240,2.47333,0.0,0.465
241,0.376667,0.255,0.82
242,0.71,4.125,5.965
243,0.633333,4.025,0.8
244,6.76333,0.48,5.385
245,2.00333,0.9,0.535
246,0.33,0.265,0.4
247,0.313333,2.975,4.91
248,1.06667,0.0,0.5
249,5.36,2.45,4.135
250,2.74,0.235,1.26
251,0.0,0.785,0.745
252,0.796667,1.39,2.48
253,0.943333,4.72,1.76
254,1.63333,2.875,0.845
255,6.41667,0.055,4.86
256,2.23333,1.2,0.54
257,0.153333,0.72,0.25
258,0.466667,5.47,3.285
259,0.613333,2.585,0.735
260,3.82667,0.0,3.09
261,2.13,0.165,0.615
262,0.0,0.79,0.785
263,0.603333,4.31,3.45
264,1.26,3.38,0.48
265,8.46667,0.305,4.995
266,2.19333,0.71,0.675
267,0.483333,0.685,0.48
268,0.603333,2.83,4.25
269,1.34667,2.545,0.725
270,3.64,2.93,3.46
271,8.11333,0.775,2.375
272,0.133333,1.62,0.49
273,0.193333,0.69,2.39
274,0.733333,3.31,4.45
275,0.323333,3.07,0.01
276,5.88333,0.0,4.1
277,1.67333,1.07,0.765
278,0.583333,0.995,1.3
279,0.163333,5.155,4.14
280,0.83,3.39,0.96
281,4.78,0.445,3.935
282,1.90333,0.71,0.245
283,0.0,0.97,1.47
284,0.556667,5.365,5.21
285,0.343333,4.485,0.605
286,4.60667,0.44,4.64
287,3.09,0.815,0.68
288,0.11,0.495,0.46
289,0.723333,1.55,3.115
290,1.04333,5.0,0.805
291,0.676667,4.72,1.005
292,8.42667,0.58,4.4
293,0.646667,0.96,1.235
294,0.4,0.775,0.77
295,1.23,6.24,3.95
296,0.656667,3.85,0.7
297,5.53333,0.385,4.21
298,2.14667,1.21,0.775
299,0.166667,0.91,1.365
300,0.48,3.745,3.245
301,1.16333,3.89,0.245
302,5.95,0.01,4.36
303,3.66667,0.55,0.445
304,0.0,0.485,0.715
305,0.273333,3.225,4.2
306,0.753333,3.985,0.83
307,1.19333,1.635,2.935
308,6.67667,1.05,1.97
309,0.05,1.15,0.42
310,0.376667,1.645,3.22
311,0.49,4.94,1.755
312,0.543333,4.275,1.02
313,7.19667,0.85,4.48
314,1.29667,0.195,0.575
315,0.0,0.315,0.37
316,0.283333,5.235,5.01
317,1.13333,4.365,0.68
318,4.69667,0.0,5.015
319,2.48333,0.215,0.495
