journal_queue_bytes,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt,node154_ceph-osd.3.asok.txt,node154_ceph-osd.4.asok.txt,node154_ceph-osd.5.asok.txt
162,147107,83148,134305,115124,185481,31979
163,31979,115128,51166,0,83148,0
164,63958,31980,38374,105908,6396,38376
165,89542,0,63956,179079,57562,12792
166,38376,134316,25582,179081,63959,19188
167,179083,115128,83143,147102,95939,25583
168,38376,38376,25583,25583,63957,0
169,6396,12792,0,0,6396,6396
170,134312,0,0,163471,102333,12792
171,121520,51168,121520,147101,159895,29160
172,153498,25584,70354,38375,204667,19188
173,6396,44772,44771,83147,38376,12792
174,31978,127920,127913,12792,127918,31979
175,147105,95940,159889,140708,0,57563
176,140709,38376,57560,76750,89542,51165
177,147862,153504,31979,0,0,19187
178,118698,31980,153496,70355,176264,76751
179,38373,19188,6396,83145,159895,19187
180,95938,172692,63955,159894,70354,12791
181,76751,0,134309,63954,6396,0
182,76749,0,19188,166290,44770,115882
183,0,70356,172685,163466,19188,51166
184,63958,57564,89540,89541,172689,57563
185,189050,70356,80323,166291,153501,70354
186,0,76752,31978,31980,6396,22764
187,6396,6396,140707,38374,19188,63959
188,44769,25584,6396,83145,108731,38374
189,83144,19188,38375,159893,137889,95933
190,57562,0,0,159897,121521,83142
191,125095,29160,6395,204665,153502,19187
192,0,140712,166286,57563,51166,31978
193,0,121524,0,134312,51166,31978
194,38376,0,89537,95938,131492,83147
195,89539,83148,153496,198270,127916,0
196,159898,99516,166289,147101,147105,83148
197,31980,0,44771,44771,63959,63960
198,31978,19188,38375,31980,44772,70356
199,63957,12792,19187,115124,159894,44770
200,0,54744,0,191874,31979,76748
201,31980,38376,140706,211060,89542,44770
202,159897,115128,134307,0,0,0
203,6396,31980,0,0,25583,12791
204,153497,83148,70349,166290,38375,6396
205,166293,83148,57560,63956,102335,38375
206,0,70356,159893,12791,51166,0
207,48346,140712,19185,95938,63960,6396
208,108728,159900,76749,147856,147105,48345
209,80327,51168,70350,166292,191875,51167
210,44770,0,0,44771,172687,51167
211,0,19188,153494,140704,31980,0
212,44770,125100,115122,63957,93118,44771
213,102334,121524,108729,108728,12791,6396
214,115126,134316,115125,6396,95934,12792
215,19188,121524,172685,12792,0,12792
216,121521,38376,0,0,38371,0
217,127919,76752,44769,115123,185482,31980
218,63958,25584,51165,102334,134314,63959
219,44771,0,12791,134312,25583,76750
220,137891,54744,0,0,57563,6396
221,22764,70356,121520,0,0,99514
222,41952,89544,19188,166289,147104,12792
223,102332,31980,57562,83145,115123,70355
224,195450,25584,0,83147,89542,51166
225,102332,95940,102333,19187,19188,12792
226,57562,121524,54740,112303,134309,83148
227,19188,44772,70352,99516,25584,0
228,108731,121524,38375,121522,19186,6396
229,127912,25584,105906,0,166292,0
230,25584,0,6395,108726,127917,86723
231,51167,63960,83144,70352,93118,89542
232,127916,0,0,70354,70353,44769
233,95940,102336,63955,95937,31979,12792
234,83145,0,0,95935,115125,63957
235,102335,147108,150675,19187,6396,0
236,0,125100,0,80328,19187,19187
237,63959,12792,0,19188,0,121521
238,108729,121524,108724,44771,76751,70356
239,12791,38376,63958,163469,179086,6396
240,12792,0,0,19188,204670,70353
241,0,51168,166286,0,0,0
242,121522,115128,76749,31978,0,44772
243,25584,95940,153497,153499,108728,95938
244,19188,6396,12791,31980,57561,108730
245,153502,95940,70353,31977,25584,57564
246,121517,51168,127911,38371,153499,6396
247,63957,44772,0,19188,204670,44770
248,166293,95940,44769,51166,31980,6396
249,31977,95940,150673,0,12792,19187
250,121522,57564,44769,191874,12792,63958
251,19188,108732,134305,89539,134310,12792
252,19187,19188,185472,51165,25583,38374
253,76750,140712,70354,38374,0,19188
254,70354,108732,25583,19188,182656,70356
255,19187,89544,121519,12792,102333,19188
256,76749,38376,57561,191872,19188,57562
257,140711,19188,0,44771,0,19188
258,121519,70356,134305,201841,115126,63957
259,223852,0,0,131495,0,51166
260,63957,147108,83145,134312,102334,31980
261,31979,0,0,63958,44769,38375
262,70356,0,86721,76752,31979,19188
263,157074,19188,25584,121514,83145,31979
264,19188,12792,19186,147105,159895,12792
265,0,0,63958,153497,83146,38374
266,157076,115128,76751,0,19187,38376
267,35556,102336,89540,118700,0,31978
268,25581,51168,12792,83147,25584,95940
269,134311,19188,44769,38374,195452,76752
270,76751,76752,115121,6396,76750,19188
271,25584,31980,19187,19188,147105,48347
272,41951,6396,63960,0,0,105908
273,44770,38376,6396,38375,73931,31979
274,0,44772,0,121521,80326,51166
275,25583,83148,93117,0,12791,0
276,83146,44772,76750,31980,115121,25584
277,25582,54744,57563,38371,102334,70354
278,31980,38376,0,83146,12792,19188
279,57562,38376,63954,80322,31980,0
280,25584,6396,19188,44769,0,83144
281,44771,51168,61137,83147,83147,12792
282,0,0,0,63959,144285,51167
283,0,0,0,31978,12792,0
284,0,0,0,115125,159897,57563
285,0,0,0,12792,83148,19187
286,0,0,0,95936,51167,25584
287,0,0,0,0,19188,25584
288,0,0,0,0,0,0
289,0,0,0,0,0,0
290,0,0,0,0,0,0
291,0,0,0,0,0,0
292,0,0,0,0,0,0
293,0,0,0,0,0,0
294,0,0,0,0,0,0
295,0,0,0,0,0,0
296,0,0,0,0,0,0
297,0,0,0,0,0,0
298,0,0,0,0,0,0
299,0,0,0,0,0,0
300,0,0,0,0,0,0
301,0,0,0,0,0,0
302,0,0,0,0,0,0
303,0,0,0,0,0,0
304,0,0,0,0,0,0
305,0,0,0,0,0,0
306,0,0,0,0,0,0
307,0,0,0,0,0,0
308,0,0,0,0,0,0
309,0,0,0,0,0,0
310,0,0,0,0,0,0
311,Null,0,Null,Null,Null,0
