apply_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
99,0.014545,0.012415,0.006537,0.004858,0.003529,0.006469,0.009104
100,0.02361,0.019961,0.022337,0.008851,0.005584,0.008789,0.008893
101,0.022656,0.005418,0.013635,0.004405,0.005192,0.019448,0.014184
102,0.005797,0.004599,0.004919,0.010393,0.0118,0.021442,0.010361
103,0.022441,0.012417,0.01024,0.013747,0.019072,0.007107,0.004282
104,0.011888,0.022638,0.021689,0.00925,0.007484,0.012082,0.015489
105,0.018656,0.018807,0.010002,0.009597,0.013117,0.006537,0.005914
106,0.016753,0.011898,0.016928,0.011219,0.009405,0.007421,0.00437
107,0.016196,0.008337,0.015944,0.01751,0.010297,0.007152,0.016528
108,0.017486,0.015642,0.015834,0.004631,0.00971,0.011223,0.012864
109,0.013485,0.019372,0.026672,0.005557,0.005917,0.004646,0.004926
110,0.016923,0.008127,0.019186,0.004932,0.003888,0.007235,0.00721
111,0.010409,0,0.017756,0.004461,0,0.012146,0.008876
112,0.012549,0,0.020707,0.003489,0.004456,0.014692,0.010912
113,0.0239,0.022512,0.020514,0.01218,0.012784,0.01334,0.007553
114,0.007765,0.016402,0.019923,0.012915,0.017759,0.008448,0.012033
115,0.010068,0.019442,0.012695,0.003856,0.004911,0.015947,0.004823
116,0.015915,0.01422,0.021247,0.003988,0,0.012238,0.013843
117,0.021466,0,0.017028,0.005506,0.00383,0.007889,0.006378
118,0.015902,0.015176,0.006932,0.007806,0.006897,0.012215,0.014135
119,0.013467,0.006139,0.015857,0.006056,0.004925,0.006449,0.010707
120,0.012632,0.013932,0.020828,0.003787,0.003628,0.011712,0.007786
121,0.014692,0,0.020371,0.004027,0,0.005595,0.008584
122,0.022072,0.019887,0.020776,0.014173,0.018304,0.012872,0.007763
123,0.0203,0.018664,0.011972,0.006137,0.005929,0.004342,0.013263
124,0.008674,0.014514,0.020115,0.006017,0.014518,0.00439,0
125,0.01947,0.019991,0.010535,0,0.003656,0.018038,0.013813
126,0.020153,0.023051,0.010354,0,0.004575,0.01027,0.014449
127,0.019431,0.008536,0.021456,0.004144,0.008499,0.005419,0
128,0.013176,0.00901,0.014479,0.006642,0.006117,0.009237,0.015104
129,0.010961,0.019239,0.008504,0.007714,0.009768,0.003697,0.003923
130,0.017139,0.015085,0.013532,0.00581,0.019385,0.007914,0.013614
131,0.015968,0.006312,0.019478,0.004067,0.004904,0.011243,0.019303
132,0.020166,0.017516,0.010461,0.008493,0.020308,0.018235,0.021493
133,0.015094,0.009202,0.011628,0.00528,0.021223,0.015567,0.012396
134,0.014675,0.003817,0.024767,0.005713,0.00999,0.010673,0.017173
135,0.013273,0.010196,0.023691,0.012931,0.010487,0.010199,0.017802
136,0.008954,0,0.016509,0.011743,0.010934,0,0.003769
137,0.004106,0.019287,0.009249,0.00935,0.011399,0.01469,0.010335
138,0.009669,0.017711,0.007282,0.003896,0.003852,0.019404,0.010842
139,0.024166,0,0.020565,0.012906,0.008682,0.008685,0.006502
140,0.004678,0.010476,0.019251,0.023087,0.009716,0.009103,0.005205
141,0.016153,0.013781,0.018063,0.010055,0.015771,0.018778,0.01833
142,0.021615,0.021526,0.015801,0.006017,0.008237,0.019754,0.011641
143,0.019911,0.014299,0.016297,0.008217,0.005781,0.006713,0.010054
144,0.013493,0.017674,0.012449,0.006363,0.003767,0.012569,0.008851
145,0.007579,0,0.019408,0.020855,0.009707,0.011279,0.017833
146,0.016934,0.013887,0.020287,0.007584,0.009176,0.006526,0.004883
147,0.021304,0,0.013247,0.009804,0.005582,0.002877,0.004778
148,0.024644,0.005025,0.011387,0.004637,0.014387,0.011132,0.006565
149,0.009437,0.020404,0.02041,0.004851,0.014626,0.010249,0.016473
150,0.011721,0.014685,0.019997,0.00758,0.004668,0.008379,0.003867
151,0.018132,0.01687,0.015176,0.007946,0.011487,0.005164,0.00715
152,0.009574,0.024383,0.007825,0.009082,0.007782,0.006127,0.006269
153,0.017944,0.009722,0.015996,0.006138,0.006684,0.013303,0.015939
154,0.005585,0.016984,0.004387,0.009164,0.016377,0.003956,0.003518
155,0.01403,0,0.01096,0.006351,0.008243,0.007354,0.006121
156,0.00572,0.02344,0.010915,0.004088,0.003985,0.009379,0.005876
157,0.007135,0.015974,0.006475,0.01055,0.005615,0.012264,0.008146
158,0.017876,0.016465,0.013067,0.005998,0.010333,0.003797,0.004831
159,0.01843,0,0.01371,0.008933,0.007591,0.006486,0.007865
160,0.017508,0.015923,0,0.007702,0.00443,0.009722,0.017713
161,0.031219,0.026279,0.014857,0.007335,0.010255,0.013841,0.006566
162,0.006282,0.017742,0.015669,0.00637,0.006399,0.007429,0
163,0.006309,0.017723,0.011414,0.017424,0.014978,0.012558,0.011665
164,0.010447,0.015591,0.01401,0.004494,0.005179,0.004124,0.00954
165,0.01121,0.02078,0.008947,0.004587,0.006484,0.007578,0.005825
166,0.022118,0.006704,0.012926,0.008358,0.008568,0.013261,0.007882
167,0.008251,0.008912,0.008367,0.008077,0.012091,0.011191,0.008751
168,0.010229,0.012055,0.013309,0.01307,0.011803,0.013252,0.010125
169,0.022517,0.014334,0.013844,0.003801,0.006414,0.008767,0.007602
170,0.026648,0.010464,0.013423,0.007194,0.010597,0.010432,0.016303
171,0.018526,0.01876,0.009628,0.00548,0.010789,0.019504,0.015941
172,0.006993,0.020295,0.00749,0.024191,0.010381,0.004949,0.005427
173,0.02205,0.022051,0.01261,0.010484,0.010837,0.009268,0.007243
174,0.013029,0.013773,0.01489,0.004061,0.005144,0.007444,0.003537
175,0.018541,0.019218,0.016025,0.007768,0.014424,0.008918,0.010422
176,0.016983,0.009601,0.009392,0.009217,0.013627,0.01392,0.015096
177,0.014041,0.016284,0.01593,0.003933,0.008171,0.007796,0.014413
178,0.010766,0.022164,0.025594,0.004752,0.003966,0.011602,0.013731
179,0.015218,0,0.021062,0.005656,0.005218,0.011601,0.011655
180,0.009472,0.01109,0.010117,0.008748,0.007218,0.004874,0.007492
181,0.007128,0.013327,0.007867,0.005988,0,0.010104,0.014639
182,0.015307,0.011245,0.020743,0.003693,0.008298,0.010142,0.013836
183,0.011351,0.010882,0.015682,0.003417,0,0.010111,0.008305
184,0,0.012945,0.010515,0.003367,0.005214,0.012446,0.009505
185,0.010387,0,0.003987,0.010172,0.008429,0.008875,0.005372
186,0.009101,0.016375,0.014472,0.010208,0.018701,0.006682,0.008447
187,0.014619,0.020981,0.027938,0.006716,0.01252,0.007075,0.016258
188,0.011123,0.016959,0.020361,0.004392,0.007944,0.011509,0.010589
189,0.022967,0.009939,0.011496,0.005871,0.004964,0.007286,0.011436
190,0.009001,0.004426,0.019573,0.010477,0.00591,0.008079,0.006788
191,0.024306,0.023411,0.023946,0.00833,0.009872,0.01368,0.009163
192,0.01594,0.021025,0.02288,0.005153,0.003827,0.013161,0.014471
