w_await,node164,node165,node166
217,35.7567,39.095,31.53
218,97.3267,0.0,57.26
219,41.6167,35.675,0.0
220,18.31,42.51,31.26
221,24.7533,66.485,73.065
222,22.6167,46.58,20.945
223,82.2733,23.0,71.655
224,40.1867,15.885,0.0
225,10.1433,34.96,33.75
226,10.5733,65.26,66.88
227,10.8133,21.565,16.19
228,76.91,107.315,61.155
229,25.1267,14.72,28.95
230,14.96,19.13,19.325
231,11.2133,39.2,59.195
232,33.93,88.66,103.25
233,54.3167,56.84,36.12
234,53.9133,15.3,63.32
235,35.3333,31.97,36.885
236,11.4233,25.77,38.185
237,33.28,71.04,86.075
238,34.7567,82.915,18.075
239,80.6233,6.94,66.445
240,48.3467,0.0,17.15
241,13.5933,19.575,15.455
242,20.4533,58.935,93.17
243,31.0,32.86,15.715
244,100.473,98.835,89.44
245,30.3333,16.685,23.07
246,23.4033,20.5,25.845
247,25.7367,46.445,66.745
248,24.41,0.0,22.02
249,73.3533,59.88,41.295
250,104.353,16.965,101.335
251,0.0,31.81,18.65
252,11.87,34.565,41.06
253,24.9833,62.28,49.525
254,34.2067,45.665,20.12
255,110.663,5.35,70.255
256,46.5033,36.415,18.315
257,9.33333,16.31,17.855
258,12.0733,81.28,67.425
259,22.7467,42.4,17.95
260,72.54,0.0,50.68
261,38.0533,7.0,15.025
262,0.0,35.765,32.655
263,23.4,79.925,71.215
264,23.4867,50.76,34.01
265,99.4933,67.835,61.39
266,23.6933,18.155,16.095
267,20.3567,33.65,34.51
268,27.89,19.675,79.875
269,36.1,102.55,35.98
270,41.84,66.83,45.975
271,141.983,30.405,103.79
272,74.04,36.785,18.22
273,9.68333,34.015,26.79
274,27.6233,76.785,100.51
275,23.0,45.17,32.165
276,89.2467,0.0,76.53
277,34.8733,16.725,15.15
278,10.8833,31.995,38.31
279,30.8667,83.585,61.475
280,24.4633,61.955,18.425
281,73.69,16.39,62.73
282,22.38,17.7,16.365
283,0.0,32.44,24.95
284,25.3733,53.63,83.805
285,23.77,52.57,16.915
286,63.1367,100.045,45.9
287,141.56,19.105,71.285
288,7.0,18.26,17.77
289,21.41,32.275,31.135
290,25.7333,84.415,120.97
291,25.5167,82.21,35.82
292,128.993,17.265,75.515
293,81.24,29.125,32.39
294,8.94333,28.77,37.715
295,33.7833,66.925,79.01
296,36.1533,57.06,36.36
297,87.0767,14.885,66.84
298,26.14,17.545,19.425
299,8.28333,34.385,34.6
300,23.7067,63.225,66.705
301,36.0767,54.015,20.035
302,104.473,0.0,54.48
303,44.5933,14.83,25.845
304,0.0,34.75,17.87
305,10.4867,46.65,62.42
306,33.43,96.415,15.64
307,17.44,62.41,30.07
308,116.097,27.27,80.54
309,6.33333,31.28,26.115
310,11.04,37.73,42.985
311,23.5933,73.215,95.56
312,31.9433,55.54,18.86
313,96.9233,16.045,77.645
314,37.6233,13.965,20.73
315,0.0,15.095,19.29
316,11.2767,73.425,88.74
317,36.36,52.565,38.675
318,89.42,0.0,74.42
319,31.8367,15.43,19.075
320,7.63,0.0,17.925
321,36.2933,68.455,69.285
322,37.23,57.655,24.785
323,67.3733,2.665,77.575
324,151.63,12.84,23.07
325,20.6667,32.885,33.69
326,11.1833,32.195,54.41
327,24.32,58.965,103.635
328,21.39,74.87,12.3
329,92.6667,0.0,70.73
330,22.3333,21.24,36.06
331,20.9067,17.335,33.59
332,24.9267,63.6,81.415
333,30.4633,59.735,17.7
334,131.633,14.43,64.165
335,49.8067,18.015,19.575
336,18.97,19.655,18.075
337,24.44,83.91,172.335
338,11.6,52.475,35.235
339,76.6667,19.575,58.56
340,144.873,19.535,21.175
341,10.3167,38.865,32.94
342,21.16,42.44,71.78
343,30.38,25.68,109.235
344,35.13,74.7,38.555
345,99.9467,16.61,62.95
346,11.8333,15.0,17.3
347,11.4233,7.955,33.875
348,11.36,78.22,67.81
349,30.8367,46.86,16.81
350,88.2367,15.57,67.12
351,37.0,16.915,14.76
352,22.8467,32.685,14.8
353,14.6667,102.87,55.755
354,24.5033,43.94,85.785
355,88.35,11.25,67.04
356,33.5133,35.895,18.095
357,11.6033,31.885,17.46
358,29.65,60.78,41.245
359,30.56,63.36,51.095
360,46.5733,52.275,50.535
361,132.16,22.475,11.0
362,0.0,38.94,20.525
363,21.9367,40.73,103.5
364,22.8267,64.96,110.1
365,24.6767,75.94,16.71
366,133.417,27.385,62.65
367,0.0,29.225,29.875
368,13.41,34.68,37.0
369,22.7933,65.8,58.16
370,35.0867,75.925,13.44
371,97.2167,16.73,44.67
372,74.5267,17.055,24.83
373,12.5667,34.01,20.08
374,11.7767,55.38,41.05
375,25.35,70.42,0.0
376,57.5567,14.275,57.46
377,90.7,23.605,17.585
378,8.86333,32.705,29.57
379,18.4133,56.62,41.255
380,37.74,44.265,133.915
381,34.0533,26.18,46.485
382,89.74,21.47,26.98
383,0.0,36.98,21.975
384,23.5867,47.135,52.685
385,32.89,64.8,81.635
386,25.23,68.095,16.73
387,100.223,15.3,57.78
388,62.4067,32.18,16.84
389,10.2633,20.54,32.075
390,25.1233,42.475,70.86
391,39.49,64.125,13.855
392,48.46,30.885,74.685
393,81.68,34.305,32.37
394,9.03333,35.195,30.7
395,12.5,68.55,72.56
396,0.0,68.435,18.115
397,37.3833,0.0,51.255
398,49.7267,0.0,0.0
399,0.0,0.0,0.0
