queue_transaction_latency_avg,node153_ceph-osd.0.asok.txt,node153_ceph-osd.1.asok.txt,node153_ceph-osd.2.asok.txt
193,1e-06,1e-06,1e-06
194,1e-06,1e-06,1e-06
195,1e-06,1e-06,1e-06
196,1e-06,1e-06,1e-06
197,0.0,1e-06,1e-06
198,1e-06,1e-06,1e-06
199,1e-06,1e-06,1e-06
200,0.0,1e-06,0.0
201,1e-06,1e-06,1e-06
202,1e-06,1e-06,1e-06
203,1e-06,1e-06,1e-06
204,1e-06,1e-06,1e-06
205,0,1e-06,1e-06
206,0.000795,0.001393,1e-06
207,1e-06,1e-06,0.001423
208,1e-06,1e-06,1e-06
209,1e-06,1e-06,1e-06
210,1e-06,1e-06,1e-06
211,1e-06,1e-06,1e-06
212,1e-06,1e-06,1e-06
213,1e-06,1e-06,1e-06
214,1e-06,1e-06,0.0
215,0.0,1e-06,1e-06
216,0.000597,1e-06,1e-06
217,1e-06,1e-06,1e-06
218,1e-06,1e-06,1e-06
219,0.0,3.7e-05,1e-06
220,1e-06,1e-06,1e-06
221,1e-06,1e-06,1e-06
222,0.0,1e-06,1e-06
223,1e-06,1e-06,1e-06
224,1e-06,1e-06,1e-06
225,1e-06,1e-06,1e-06
226,1e-06,1e-06,2e-06
227,1e-06,1e-06,1e-06
228,1e-06,1e-06,1e-06
229,1e-06,1e-06,1e-06
230,1e-06,1e-06,1e-06
231,1e-06,0.000163,1e-06
232,1e-06,0.0,1e-06
233,1e-06,1e-06,1e-06
234,0.0,0.0,1e-06
235,1e-06,1e-06,1e-06
236,1e-06,1e-06,1e-06
237,1e-06,1e-06,1e-06
238,0.0,1e-06,1e-06
239,1e-06,1e-06,1e-06
240,1e-06,0.0,1e-06
241,1e-06,1e-06,1e-06
242,0,0,1e-06
243,1e-06,1e-06,1e-06
244,1e-06,1e-06,1e-06
245,1e-06,1e-06,1e-06
246,0,0,1e-06
247,1e-06,1e-06,1e-06
248,1e-05,1e-06,1e-06
249,1e-06,1e-06,1e-06
250,1e-06,1e-06,1e-06
251,1e-06,1e-06,1e-06
252,1e-06,1e-06,1e-06
253,1e-06,1e-06,1e-06
254,1e-06,1e-06,1e-06
255,0.0,1e-06,1e-06
256,1e-06,1e-06,1e-06
257,1e-06,0.0,1e-06
258,0.0,1e-06,1e-06
259,1e-06,1e-06,1e-06
260,1e-06,1e-06,1e-06
261,1e-06,1e-06,1e-06
262,1e-06,1e-06,1e-06
263,1e-06,1e-06,1e-06
264,1e-06,1e-06,1e-06
265,1e-06,1e-06,1e-06
266,1e-06,1e-06,1e-06
267,1e-06,1e-06,1e-06
268,1e-06,1e-06,1e-06
269,1e-06,1e-06,1e-06
270,1e-06,1e-06,1e-06
271,1e-06,1e-06,1e-06
272,1e-06,1e-06,1e-06
273,1e-06,1e-06,1e-06
274,1e-06,0.0,1e-06
275,1e-06,1e-06,1e-06
276,0.0,1e-06,1e-06
277,1e-06,1e-06,1e-06
278,1e-06,1e-06,1e-06
279,1e-06,1e-06,1e-06
280,1e-06,1e-06,1e-06
281,1e-06,1e-06,1e-06
282,0,0,1e-06
283,0,0,0
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,0,0,0
293,0,0,0
294,0,0,0
295,0,0,0
296,0,0,0
297,0,0,0
298,0,0,0
299,0,0,0
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,0,0,0
307,0,0,0
308,0,0,0
309,0,0,0
310,Null,0,Null
