rxpck/s,node156,node157
382,25.25,25.25
383,16.0,16.49
384,38.0,38.38
385,20.41,20.41
386,29.59,29.29
387,13.27,13.27
388,25.77,25.25
389,14.0,14.43
390,41.84,41.0
391,19.61,20.41
392,23.96,23.0
393,15.0,15.46
394,35.42,34.69
395,13.0,12.87
396,30.69,31.31
397,29.29,29.29
398,31.68,32.0
399,44.0,44.0
