%util,node164,node165,node166
217,15.5,17.55,8.1
218,18.0333,0.0,20.2
219,9.03333,18.2,0.0
220,9.16667,8.05,8.6
221,10.1667,24.45,26.05
222,7.66667,17.8,7.7
223,20.3333,4.35,27.25
224,10.2333,2.6,0.0
225,2.0,11.65,16.8
226,7.46667,30.45,24.15
227,3.86667,7.15,8.35
228,24.3333,19.9,23.3
229,11.3333,5.55,2.55
230,5.43333,13.15,6.45
231,2.16667,25.3,18.45
232,10.3333,12.65,3.95
233,18.3333,12.95,13.55
234,11.7667,9.95,15.95
235,9.76667,24.6,16.4
236,1.83333,12.3,25.55
237,12.0667,21.7,18.75
238,11.6333,26.9,9.7
239,22.0,1.7,21.95
240,15.6333,0.0,6.1
241,7.83333,3.1,10.9
242,9.8,14.45,40.8
243,8.53333,15.55,8.95
244,32.4333,5.3,27.5
245,10.0,12.15,9.35
246,4.33333,3.45,7.85
247,5.06667,16.1,36.2
248,13.7,0.0,7.2
249,19.4333,14.75,16.45
250,11.8333,2.9,17.15
251,0.0,11.05,9.6
252,10.6,15.85,12.8
253,11.7,18.15,13.55
254,10.2333,15.45,10.05
255,29.4333,2.1,37.2
256,9.56667,16.0,7.8
257,1.56667,11.05,3.55
258,6.7,29.75,19.9
259,8.1,14.85,9.7
260,23.7,0.0,15.05
261,8.6,2.5,9.7
262,0.0,10.6,9.8
263,8.0,16.35,18.45
264,16.3333,21.6,6.9
265,38.4333,5.1,33.7
266,13.4667,9.8,9.25
267,8.2,9.2,6.1
268,8.8,10.2,16.8
269,17.8,19.35,9.2
270,17.5333,16.9,18.8
271,30.7333,12.15,17.3
272,2.33333,20.65,6.8
273,3.06667,9.6,13.95
274,9.6,18.35,20.15
275,4.56667,15.55,0.5
276,28.3333,0.0,19.5
277,7.8,14.35,11.15
278,7.26667,13.75,17.0
279,2.6,28.55,23.75
280,10.7,22.7,12.35
281,24.9,5.8,19.6
282,12.8,8.5,3.05
283,0.0,13.15,11.9
284,7.73333,21.4,35.25
285,4.33333,21.8,8.3
286,18.9,7.15,18.4
287,16.3667,11.15,10.75
288,0.966667,5.9,6.0
289,10.5333,20.5,15.6
290,12.6667,19.8,16.0
291,9.0,21.45,12.5
292,26.6667,7.6,25.75
293,9.36667,14.3,17.85
294,5.63333,11.05,9.95
295,15.3333,31.55,19.25
296,8.63333,23.5,9.2
297,24.8667,5.1,13.95
298,12.7333,15.55,10.2
299,1.96667,11.7,17.4
300,6.26667,28.1,20.6
301,15.1333,16.7,3.55
302,27.6667,0.1,17.5
303,13.6,7.5,5.7
304,0.0,6.15,10.0
305,3.63333,14.65,28.4
306,9.96667,16.8,11.15
307,8.8,10.95,10.7
308,30.8,15.05,19.65
309,1.3,18.2,8.45
310,5.26667,19.25,12.0
311,6.06667,31.2,14.25
312,7.76667,17.5,12.75
313,28.0,11.4,23.05
314,7.96667,2.95,7.7
315,0.0,5.05,5.65
316,3.36667,29.45,33.75
317,17.9667,19.75,9.35
318,22.0333,0.0,27.8
319,12.3,3.15,6.3
320,1.43333,0.0,6.7
321,7.0,19.4,29.0
322,11.5667,11.0,10.25
323,18.5667,0.7,40.5
324,22.7,2.95,14.3
325,4.2,5.6,8.55
326,6.13333,12.5,28.9
327,6.33333,13.5,15.2
328,10.1,20.05,2.45
329,33.8667,0.0,18.3
330,1.9,7.1,9.95
331,10.8333,9.25,14.3
332,4.56667,14.2,19.6
333,6.96667,14.1,9.4
334,36.4333,2.9,27.1
335,15.0667,15.3,3.4
336,8.6,3.2,6.5
337,13.1333,27.75,34.95
338,5.96667,18.1,18.75
339,21.1333,6.95,17.6
340,15.4667,3.7,4.95
341,5.43333,15.69,10.7
342,7.83333,14.6,15.35
343,11.6333,16.6,19.05
344,10.6,12.8,22.4
345,30.2333,8.35,7.1
346,4.93333,11.8,10.25
347,6.1,3.0,14.15
348,3.76667,24.2,25.35
349,9.3,11.25,2.7
350,30.6,2.95,14.7
351,1.26667,9.0,5.1
352,12.0333,13.7,14.2
353,2.56667,25.35,18.55
354,6.2,19.0,10.7
355,28.8333,4.7,26.55
356,7.66667,12.85,6.0
357,4.16667,6.35,2.82
358,5.93333,24.65,22.35
359,11.3667,18.2,13.45
360,16.1,7.6,25.8
361,21.0333,4.05,1.9
362,0.0,27.1,18.6
363,11.5,29.0,27.8
364,7.83333,7.9,18.9
365,6.7,16.65,8.75
366,37.6667,5.05,15.2
367,0.0,15.65,3.0
368,7.1,8.7,13.6
369,10.0,29.2,33.15
370,15.3667,14.5,3.45
371,34.0667,8.6,24.05
372,5.3,11.85,4.8
373,6.56667,20.4,16.95
374,4.03333,18.65,22.6
375,8.46667,14.8,5.4
376,18.2667,6.6,22.35
377,25.4333,3.9,12.5
378,5.33333,11.85,13.9
379,6.2,26.7,21.2
380,8.93333,13.55,11.6
381,7.36667,5.5,19.7
